Province,Organization,Type,URL,URL 2,License,Attribution,Libraries,Hospitals,GTFS,Buildings,Businesses,Police,Fire,Education,Parks,Community Centers
AB,Province of Alberta,Provincial,https://open.alberta.ca/opendata,,https://open.alberta.ca/licence,Contains information licensed under the Open Government Licence – Alberta.,,,,,,,,Yes,,
AB,Banff,Municipal,https://maps.banff.ca/opendata/,,http://banffmaps.ca/opendata/,Contains information licensed under the Open Government Licence - Banff,,,,Yes,,,,,,
AB,Canmore,Municipal,http://opendata-canmore.opendata.arcgis.com/,,https://s3.amazonaws.com/canmoregis/OpenData/Town+of+Canmore+Open+Data+Licence.pdf,Contains information licensed under the Town of Canmore Open Data Licence,,,,Yes,,,,,Yes,
AB,Chestermere,Municipal,https://www.arcgis.com/home/search.html?q=owner%3Acrp_chestermere&restrict=false&start=1&sortOrder=true&sortField=relevance,,No License Provided,,,,,Yes,,,,,,
AB,Calgary,Municipal,https://data.calgary.ca/,,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary,Yes,,Yes,,,Yes,,Yes,Yes,Yes
AB,Cochrane,Municipal,http://data-cochranegis.opendata.arcgis.com/,,https://www.cochrane.ca/947/Open-Data-Licence,Contains information licensed under the Open Data Licence – Town of Cochrane.,,,,Yes,,,,,Yes,
AB,Edmonton,Municipal,https://data.edmonton.ca/,,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information made available from the City of Edmonton under an open data license.,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes
AB,Airdrie,Municipal,http://data-airdrie.opendata.arcgis.com/,,http://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Contains information licensed under the Open Data Licence – City of Airdrie,,,Yes,Yes,,,,,,
AB,Lethbridge,Municipal,http://opendata.lethbridge.ca/,,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,Contains information made available from the City of Lethbridge under an open data license.,,,Yes,Yes,,Yes,Yes,,,
AB,Grand Prairie,Municipal,https://data.cityofgp.com/#!/year/default,,http://www.cityofgp.com/index.aspx?page=2332,Contains information licensed under the Open Data License – City of Grande Prairie.,,,,Yes,,,,,,
