Dataset name,Available,Open data,City/Region,Province/Territory,Source,License or Terms of Use,Attribution statement,Special note,OpenTabulate source file
Money services business registry,Y,Y,,,https://open.canada.ca/data/en/dataset/8beacccf-3b54-4d12-9cf7-24e2ada90a83,https://open.canada.ca/en/open-government-licence-canada,Contains information licensed under the Open Government Licence – Canada,Entity list of those engaged in: foreign exchange dealing; remitting or transmitting funds by any means; issuing or redeeming money orders. ,misc/msbregistry.json
Federal corporations,Y,Y,,,https://open.canada.ca/data/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,https://open.canada.ca/en/open-government-licence-canada,Contains information licensed under the Open Government Licence – Canada,Corporation list business corporations created under CBCA; not-for-profit corporation under CCA II or NFP; cooperatives created under COOP; board of trades created under BOTA; other corporations regulaed by Corporations Canada.,misc/open_data_cfrc{1..40}.json
2016 list of charities,N,Y, , ,https://open.canada.ca/data/en/dataset/7ef067c4-07a8-4882-ade3-643d00fd6c49,https://open.canada.ca/en/open-government-licence-canada,Contains information licensed under the Open Government Licence – Canada,Canadian charities that aare registered under Income Tax Act and eligible to issue official donation receipts.,
BC indigenous business listing,Y,Y,,BC,https://catalogue.data.gov.bc.ca/dataset/bc-indigenous-business-listings,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-license-bc,Contains information licensed under the Open Government Licence – British Columbia,Listing provided by the BC Indigenous Business and Investment Council.,misc/bcindigenous.json
Registre des entreprises,Y,Y,,QC,https://www.donneesquebec.ca/recherche/fr/dataset/registre-des-entreprises,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.fr,"Vous devez créditer l'Œuvre, intégrer un lien vers la licence et indiquer si des modifications ont été effectuées à l'Oeuvre. ",,qc/prov_of_quebec.json
Répertoire des commerces,Y,Y,Sherbrooke,QC,https://www.donneesquebec.ca/recherche/fr/dataset/repertoire-des-commerces,https://creativecommons.org/licenses/by/4.0/deed.fr,"Vous devez créditer l'Œuvre, intégrer un lien vers la licence et indiquer si des modifications ont été effectuées à l'Oeuvre. ",Business list including small home businesses and supermarkets.,qc/sherbrooke.json
Yellowknife business directory,Y,Y,Yellowknife,NT,http://opendata.yellowknife.ca/home/details/0ead7112-bafe-4c0d-b0ca-b2220cc6d2a9,https://www.yellowknife.ca/en/discovering-yellowknife/resources/geomatic_services/City_of_Yellowknife_Open_Data_LIcence__Terms_of_Use.pdf,Contains public sector datasets made available under the City of Yellowknife’s Open Data License v.1,Listing of businesses registered,nt/yellowknife.json
Brampton business directory,Y,Y,Brampton,ON,http://geohub.brampton.ca/datasets/brampton-business-directory,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Pages/Terms-of-Use.aspx,"Copyright © 2012, the City of Brampton (All rights reserved.). All intellectual property and other rights in and to the Dataset belong to the City of Brampton.",Employer census of all brick and mortar businesses operating within,on/brampton.json
Mississauga business directory,Y,Y,Mississauga,ON,http://data.mississauga.ca/datasets/0b353768119042e8866b6fece7317493_0,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,,Geographic locations of businesses,on/mississauga.json
Licensed businesses,N,Y,Greater Sudbury,ON,http://opendata.greatersudbury.ca/datasets/business-licenses,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,Contains information licensed under the Open Government Licence – City of Greater Sudbury,List of licensed businesses,on/greater_sudbury.json
Municipal licensing and standards – business licences and permits,Y,Y,Toronto,ON,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-catalogue/#fcc40488-98eb-953b-7fa1-a35dab2f818c,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Contains information licensed under the Open Government Licence – Toronto,List of licensed businesses including mobile businesses,on/toronto.json
Business licenses,Y,Y,Guelph,ON,http://data.open.guelph.ca/dataset/business-licence,http://data.open.guelph.ca/pages/open-government-licence,Contains information provided by the City of Guelph under an open government license,List of licensed businesses,on/guelph.json
Business directory,Y,Y,Kitchener,ON,https://open-kitchenergis.opendata.arcgis.com/datasets/business-directory,https://www.kitchener.ca/en/city-services/open-data.aspx#ODLicence,Contains information licensed under the Open Government Licence – The Corporation of the City of Kitchener,List of businesses currently operating,on/kitchener.json
Business directory,Y,Y,Durham,ON,http://opendata.durham.ca/datasets/business-directory,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector information made available under The Regional Municipality of Durham’s Open Data Licence,"A survey conducted by the Regional Municipality of Durham, Planning and Economic Development Department and its municipal partners. Contains detailed information such as employee counts, type and nature of the business, floor space, and so on. ",on/durham_region.json
