street_no,street_name,formatted_en,formatted_fr
162,fourth avenue,fourth av,fourth avenue
162,4th avenue,4th av,4th avenue
14,park square,park sq,park square
100,island park,island pk,island park
599,second street east,second st e,second street east
631,west 100 street north,w 100 st n,west 100 street north
735,confederation boulevard,confederation blvd,confederation boulevard
636,boulevard confederation,boulevard confederation,boul confederation
636,chemin albert,chemin albert,ch albert
636,albert chemin,albert chemin,albert chemin
303,chemin albert nord,chemin albert nord,ch albert n
631,ouest rue 100 nord,ouest rue 100 nord,ouest rue 100 n
