District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,1_to_6,7_to_9,10_to_12,ISCED1,ISCED2,ISCED3,ISCED020,ISCED010
82,8297024,'Na Aksa Gyilak'yoo,PO Box 544 STN Main,Terrace                       ,BC             ,V8G 4B5,Mr,Pier,De Paola,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 615-2844,250 615-2833,principal@kitsumkalum.com                                                                           ,63,September 30 2019,0,5,0,0,0,11,2,6,2,5,3,8,3,6,6,3,3,29,17,12,1,1,1,1,
27,2727012,100 Mile House Elementary,PO Box 460,100 Mile House                ,BC             ,V0K 2E0,Ms,Maria,Telford,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 395-2258,250 395-3621,maria.telford@sd27.bc.ca                                                                            ,351,September 30 2019,0,45,0,0,0,41,50,38,36,49,49,43,0,0,0,0,0,263,43,0,1,1,0,1,
27,2725035,100 Mile StrongStart Centre,PO Box 460,100 Mile House                ,BC             ,V0K 2E0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 395-2258,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
27,2727027,150 Mile Elementary,PO Box 259,150 Mile House                ,BC             ,V0K 2G0,Mr,Grant,Gustafson,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 296-3356,250 296-3291,grant.gustafson@sd27.bc.ca,188,September 30 2019,0,23,0,0,0,29,33,18,31,24,30,0,0,0,0,0,0,165,0,0,1,0,0,1,
5,597007,?A'q'amnik Primary School,7500 Mission Rd,Cranbrook                     ,BC             ,V1C 7E5,Mrs,Eryn,Geddes,Standard School                         ,K-6,Independent School,2.0,no,no,no,no,no,no,no,250 489-5183,250 489-5455,egeddes@aqam.net                                                                                    ,53,September 30 2019,0,10,0,0,0,8,8,7,8,6,6,0,0,0,0,0,0,43,0,0,1,0,0,1,
73,7399103,@ KOOL,1770 Springview Pl,Kamloops                      ,BC             ,V2E 1X9,Mr,Paul,Hembling,Distributed Learning Programs           ,"K-12, EU, SU, GA",Public School,,no,no,no,no,no,no,no,778 471-6061,250 377-2257,kool-clerical@sd73.bc.ca                                                                            ,587,September 30 2019,0,3,0,22,4,7,4,7,11,16,14,18,28,42,55,73,185,59,88,313,1,1,1,1,
33,3333033,A D Rundle Middle School,45660 Hocking Ave,Chilliwack                    ,BC             ,V2P 1A1,Mr,R. Scott,Wallace,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 792-4257,604 792-3457,scott_wallace@sd33.bc.ca                                                                            ,393,September 30 2019,0,0,0,0,0,0,0,0,0,0,141,131,121,0,0,0,0,141,252,0,1,1,0,,
73,7324039,A E Perry Elementary,1380 Sherbrooke Ave,Kamloops                      ,BC             ,V2B 1W9,Mrs,Deanna,Brady,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 376-6224,250 377-2226,dbrady@sd73.bc.ca                                                                                   ,321,September 30 2019,0,42,0,0,0,45,48,47,43,59,37,0,0,0,0,0,0,279,0,0,1,0,0,1,
73,7325427,A E Perry StrongStart Centre,1380 Sherbrooke Ave,Kamloops                      ,BC             ,V2B 1W9,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 376-6224,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
36,3636051,A H P Matthew Elementary,13367 97 Ave,Surrey                        ,BC             ,V3T 1A4,Ms,Ixchel,Bradely,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 588-3415,604 588-7122,bradley_i@surreyschools.ca,388,September 30 2019,0,48,0,0,0,44,54,51,43,39,66,43,0,0,0,0,0,297,43,0,1,1,0,1,
85,8585001,A J Elliott Elementary,PO Box 149,Sointula                      ,BC             ,V0N 3E0,Mrs,Melody,Watson,Standard School                         ,K-7,Public School,,no,no,no,no,yes,yes,no,250 973-6331,250 973-6553,mwatson@sd85.bc.ca                                                                                  ,31,September 30 2019,0,4,0,0,0,2,5,4,7,2,5,2,0,0,0,0,0,25,2,0,1,1,0,1,
