EI Code,EI name,Other Name for EI,Institution Type,Designation Status,Designation Reason,Date of Designation,Date of De-Designation,Address Line 1,Address Line 2,Address Line 3,City,Province,Postal Code,Country,Telephone Number Overseas,Telephone Number,Fax Number
BJAP,Bow Valley College,,Junior College,Designated,,1988-12-21,,345 6th Avenue SE ,,,Calgary,Alberta,T2G4G1,Canada,(403) 410-1400,(403) 410-1400,(403) 410-1400
BJAB,Burman University,,Junior College,Designated,,1988-12-21,,6730 University Drive,,,Lacombe,Alberta,T4L2E5,Canada,(403) 782-3381,(403) 782-3381,(403) 782-3381
BJAK,Concordia Lutheran Seminary,,Junior College,Designated,,1988-12-21,,7040 Ada Blvd.,,,Edmonton,Alberta,T5E4B4,Canada,(403) 479-8481,(403) 479-8481,(403) 479-8481
BJAC,Grande Prairie Regional College,,Junior College,Designated,,1988-12-21,,10726 - 106th Ave.,,,Grande Prairie,Alberta,T8V4C4,Canada,(780) 539-2911,(780) 539-2911,(780) 539-2911
BJAD,Grant Macewan University,,Junior College,Designated,,1988-12-21,,Financial Services,P.O. Box 1796,10700 - 104 Avenue,Edmonton,Alberta,T5J2P2,Canada,(780) 497-4304,(780) 497-4304,(780) 497-4304
BJAF,Lethbridge College,,Junior College,Designated,,1988-12-21,,3000 College Dr. South,,,Lethbridge,Alberta,T1K1L6,Canada,(403) 320-3372,(403) 320-3372,(403) 320-3372
BJAI,Medicine Hat College,,Junior College,Designated,,1988-12-21,,299 College Dr. S.E.,,,Medicine Hat,Alberta,T1A3Y6,Canada,(403) 529-3819,(403) 529-3819,(403) 529-3819
BJAG,Mount Royal University,,Junior College,Designated,,1988-12-21,,MRU Fees Office,4825 Mount Royal- Gate SW,,Calgary,Alberta,T3E6K6,Canada,(403) 440-6306,(403) 440-6306,(403) 440-6306
BJAQ,Norquest College,,Junior College,Designated,,1988-12-21,,10215 - 108 Street,,,Edmonton,Alberta,T5J 1L6,Canada,7804222020,7804222020,7804222020
BJAR,Northern Lakes College,,Junior College,Designated,,1992-01-22,,C/O Main Campus,Bag 3000,,Grouard,Alberta,T0G 1C0,Canada,7808498616,7808498616,7808498616
BJAS,Portage College,,Junior College,Designated,,1988-12-21,,P.0. Box 417,,,Lac La Biche,Alberta,T0A2C0,Canada,(403) 623-5551,(403) 623-5551,(403) 623-5551
BJAH,Red Deer College,,Junior College,Designated,,1988-12-21,,56 Ave. & 32nd St. Box 5005,2nd St.,,Red Deer,Alberta,T4N 5H5,Canada,4033423300,4033423300,4033423300
BZAA,Yellowhead Tribal College,,Miscellaneous,Designated,,2016-09-08,,10045-156 Street,The Orange Hub,,Edmonton,Alberta,T5P 2P7,Canada,(780) 484-0303,(780) 484-0303,(780) 484-0303
BPQF,ABES (Alberta Business and Educational Services)-Calgary,ABES (2017) Ltd.,Private Institution,Designated,,2018-05-15,,10- 221-18 Street SE,,,Calgary,Alberta,T2E6J5,Canada,4032328758,4032328758,4032328758
BPNC,ABM College ,,Private Institution,Designated,,2011-10-31,,112 - 28th Street SE,,,Calgary,Alberta,T2A 6J9,Canada,(403) 7194300,(403) 7194300,(403) 7194300
BPPF,ACCData Computer Systems and Training,,Private Institution,Designated,,2016-08-05,,305-9804-100 Avenue,,,Grande Prairie,Alberta,T8V0T8,Canada,5872999444,5872999444,5872999444
BPUY,AGA Academy,,Private Institution,Designated,,2020-10-02,,1111 - 33 Street NE,,,Calgary,Alberta,T2A 6T2,Canada,(403) 598-5865,(403) 598-5865,(403) 598-5865
BPVC,Academy of Healthcare Services,,Private Institution,Designated,,2020-11-25,,Suite 203 9915 51 Avenue,,,Edmonton,Alberta,T6E 0A8,Canada,780-832-3279,780-832-3279,780-832-3279
BPHS,Academy of Learning (Edmonton South),,Private Institution,Designated,,1994-07-28,,5650-23 Ave,,,Edmonton,Alberta,T6L6N2,Canada,(403) 433-1717,(403) 433-1717,(403) 433-1717
BPJW,Academy of Learning - Airdrie,,Private Institution,Designated,,1999-04-26,,Main Campus,#201 2002 Luxstone,Blvd,Airdrie,Alberta,T4B3K8,Canada,(403) 912-3430,(403) 912-3430,(403) 912-3430
BPKW,Academy of Learning - Calgary NE,,Private Institution,Designated,,2008-02-27,,Suite 260 495-36 St,NE,,Calgary,Alberta,T2A6K3,Canada,(403) 569-8973,(403) 569-8973,(403) 569-8973
BPKX,Academy of Learning - Calgary South,,Private Institution,Designated,,2008-02-27,,220 8228 MacLeod Trail,SE,,Calgary,Alberta,T2H2B8,Canada,(403) 252-8973,(403) 252-8973,(403) 252-8973
BPIK,Academy of Learning - Edmonton Downtown,,Private Institution,Designated,,1996-04-30,,10010 - 100 Street,,,Edmonton,Alberta,T5J0N3,Canada,(780) 424-1144,(780) 424-1144,(780) 424-1144
BPHR,Academy of Learning - Edmonton West,,Private Institution,Designated,,1994-07-28,,17718 - 64 Ave,,,Edmonton,Alberta,T5T4J5,Canada,(780) 496-9428,(780) 496-9428,(780) 496-9428
BPLQ,Academy of Learning - High River,,Private Institution,Designated,,2009-02-13,,#4,28 12 Ave,SE,High River,Alberta,T1V1T2,Canada,(403) 652-2116,(403) 652-2116,(403) 652-2116
BPUQ,Academy of Learning Airdrie,,Private Institution,Designated,,2020-03-23,,#203- 28 Gateway Drive NE,,,Airdrie,Alberta,T4B 0J6,Canada,,,
BPPG,Academy of Learning-Brooks,,Private Institution,Designated,,2016-08-31,,Unit C 212 - 2nd Avenue West,,,Brooks,Alberta,T1R 1B7,Canada,4037932294,4037932294,4037932294
BPTI,Academy of Learning-Medicine Hat,,Private Institution,Designated,,2004-08-06,,115 3030 13 Ave.,S.E.,,Medicine Hat,Alberta,T1B1E3,Canada,(403) 526-5833,(403) 526-5833,(403) 526-5833
BPII,Academy of Learning-Red Deer,,Private Institution,Designated,,1995-01-01,,2965 Bremner Avenue,,,Red Deer,Alberta,T4R1S2,Canada,(403) 347-6676,(403) 347-6676,(403) 347-6676
