"þÿ""School #""",School name,Division Name,Division Code,Address Line 1,Address Line 2,city,postalCode,email,infoString,gradeString,trackString,fax,phone,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
1653,HOLY GHOST SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,319 SELKIRK AVENUE,,WINNIPEG,R2W 2L8,schooloffice@holyghostschool.ca,( 14)-1653-0181, K-8, ,2045824870.0,2045821053,0,1,1,1,0
1241,OUR LADY OF VICTORY SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,249 ARNOLD AVENUE,,WINNIPEG,R3L 0W4,olv@victoryedu.com,(  9)-1241-0181, K-8, ,2044533081.0,2044527632,0,1,1,1,0
1244,ST. CHARLES INTERPAROCHIAL SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,331 ST. CHARLES STREET,,WINNIPEG,R3K 1T6,sec@stccs.ca,( 21)-1244-0181, K-8, ,2048372326.0,2048371520,0,1,1,1,0
1430,ST. EDWARD'S SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,836 ARLINGTON STREET,,WINNIPEG,R3E 2E4,stedwardssecretary@mts.net,( 11)-1430-0181, K-6, ,2047750011.0,2047748773,0,1,1,0,0
1829,ST. IGNATIUS SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,239 HARROW STREET,,WINNIPEG,R3M 2Y3,school@stignatius.mb.ca,( 14)-1829-0181, N-8, ,2044753961.0,2044751386,1,1,1,1,0
1729,ST. JOHN BREBEUF SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,605 RENFREW STREET,,WINNIPEG,R3N 1J8,schooloffice@sjbcommunity.ca,( 18)-1729-0181, K-8, ,2049287455.0,2044892115,0,1,1,1,0
1478,ST. MARY'S ACADEMY,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,550 WELLINGTON CRESCENT,,WINNIPEG,R3M 0C1,,( 42)-1478-0181, 7-12, ,2044532417.0,2044770244,0,0,0,1,1
1232,ST. MAURICE SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,1639 PEMBINA HIGHWAY,,WINNIPEG,R3T 2G6,info@stmaurice.mb.ca,( 39)-1232-0181, K-12, ,2044524050.0,2044534020,0,1,1,1,1
1832,ST. PAUL'S HIGH SCHOOL,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,181,2200 GRANT AVENUE,,WINNIPEG,R3P 0P8,contact-us@stpauls.mb.ca,( 41)-1832-0181, 9-12, ,2048312340.0,2048312300,0,0,0,1,1
2202,ACADIA COLONY SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 358,,CARBERRY,R0K 0H0,,(  2)-2202-0153, K-12, ,2048343570.0,2048343524,0,1,1,1,1
1117,BROOKDALE SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,GENERAL DELIVERY,,BROOKDALE,R0K 0G0,bds@bpsd.mb.ca,(  3)-1117-0153, K-8, ,2043542346.0,2043542166,0,1,1,1,0
1434,CARBERRY COLLEGIATE,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 518,,CARBERRY,R0K 0H0,cci_office@bpsd.mb.ca,( 24)-1434-0153, 5-12, ,2048343440.0,2048342172,0,0,1,1,1
2098,FAIRWAY COLONY SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,P.O.BOX 330,,DOUGLAS,R0K 0R0,,(  1)-2098-0153, K-12, ,2047634234.0,2047634103,0,1,1,1,1
1292,HAZEL M. KELLINGTON SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 696,,NEEPAWA,R0J 1H0,hmk@bpsd.mb.ca,( 32)-1292-0153, K-5, ,2044763449.0,2044762323,0,1,1,0,0
1184,J. M. YOUNG SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,GENERAL DELIVERY,,EDEN,R0J 0M0,jmyoung@bpsd.mb.ca,(  4)-1184-0153, K-8, ,2049663508.0,2049663487,0,1,1,1,0
1573,NEEPAWA AREA COLLEGIATE,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 430,,NEEPAWA,R0J 1H0,naci_office@bpsd.mb.ca,( 41)-1573-0153, 6-12, ,2044762765.0,2044763305,0,0,1,1,1
2320,NEEPAWA MIDDLE SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,275 HOSPITAL STREET,,NEEPAWA,R0J 1H0,,()-2320-0153, 5-8, ,2040000000.0,2040000000,0,0,1,1,0
1645,R. J. WAUGH ELEMENTARY,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 639,,CARBERRY,R0K 0H0,rjw_office@bpsd.mb.ca,( 12)-1645-0153, K-4, ,2048343749.0,2048342828,0,1,1,0,0
1574,RIVERBEND COLONY SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,RIVERBEND COLONY,BOX 344,CARBERRY,R0K 0H0,riverbcs@bpsd.mb.ca,(  2)-1574-0153, K-12, ,2048343590.0,2048342266,0,1,1,1,1
1734,RIVERSIDE COLONY SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,RIVERSIDE COLONY,BOX 1360,NEEPAWA,R0J 1H0,riverside@bpsd.mb.ca,(  1)-1734-0153, K-12, ,2043682221.0,2043682263,0,1,1,1,1
2236,ROLLING ACRES SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 38,,BIRNIE,R0J 0J0,,(  1)-2236-0153, K-12, ,,2049663496,0,1,1,1,1
