District,School Number,Schools,Address,Municipality,Province,Postal Code,Grade,Language(s),Telephone,Fax,Web Site,Principal,Email,Vice-Principal,Email.1,ISCED1,ISCED2,ISCED3
ASD-N,4299.0,Bathurst Transition Center,115 Main Street,Bathurst,NB,E2A 1A6,6--12,English,,,,,,,,1,1,1
ASD-N,,Bengals II,145 Main Street,Rexton,NB,E4W 2A6,9--12,English,,,,,,,,0,1,1
ASD-N,3899.0,Campbellton Learning Center,29 Roseberry Street,Campbellton,NB,E3N 2G3,9--12,English,,,,,,,,0,1,1
DSF-NE,,Centre d'apprentissage (La Traversée),"1, rue Aberdeen",Campbellton,NB,E3N 2J3,9--12,French,,,,,,,,0,1,1
DSF-S,,Centre de formation secondaire de Bouctouche,"5, boulevard Irving",Bouctouche,NB,E4S 3J3,9--12,French,,,,,,,,0,1,1
DSF-S,,Centre de formation secondaire de Richibucto,"Édifice du CCNB 149, rue Acadie - Unité 203",Richibucto,NB,E4W 3V5,9--12,French,,,,,,,,0,1,1
DSF-S,,Centre de formation secondaire de Shédiac,"84, rue Festival",Shediac,NB,E4P 1S4,9--12,French,,,,,,,,0,1,1
DSF-NE,,Centre KC Irving (École secondaire Népisiguit),"850, rue Sainte-Anne",Bathurst,NB,E2A 6X2,10--12,French,,,,,,,,0,0,1
DSF-NO,,Classe alternative (Cité des Jeunes),"625, rue Victoria, Suite 101",Edmundston,NB,E3V 3M8,9--12,French,,,,,,,,0,1,1
DSF-NO,,Classe alternative (École Marie-Gaétane),"16, rue Fraser",Kedgwick,NB,E8B 1E6,9--12,French,,,,,,,,0,1,1
DSF-NO,,Classe alternative (Polyvalente Thomas-Albert),"101, chemin St-André",Saint-André,NB,E3Y 3N4,9--12,French,,,,,,,,0,1,1
ASD-S,2064.0,Compass Education Support Program,55 Westmorland Street,Saint John,NB,E2J 2E3,9--12,English,,,http://woodlawn.nbed.nb.ca,,,,,0,1,1
ASD-S,,Compass-Sussex,15 Vail Court,Sussex,NB,E4E 2R9,9--12,English,,,,,,,,0,1,1
ASD-N,,Dalhousie Learning Center,410 William Street,Dalhousie,NB,E8C 2X4,9--12,English,,,,,,,,0,1,1
ASD-W,2600.0,Fredericton Education Centre (Enterprise Centre),300 Priestman Street Enterprise Centre (Fredericton High School),Fredericton,NB,E3B 4X6,6--12,English,,,,,,,,1,1,1
ASD-E,,J.M.A. Armstrong/Salisbury Middle (LC),55 Douglas Street,Salisbury,NB,E4J 2B4,9--12,English,,,,,,,,0,1,1
ASD-E,,Petitcodiac Regional School (LC),1 Corey Avenue P. O. Box 2502,Petitcodiac,NB,E4Z 6H4,9--12,English,,,,,,,,0,1,1
DSF-NE,,PHARE Caraquet,C.P. 5751,Caraquet,NB,E1W 1B7,9--12,French,,,,,,,,0,1,1
DSF-NE,,PHARE Néguac,"700, rue Principale",Néguac,NB,E9G 1N4,9--12,French,,,,,,,,0,1,1
DSF-NE,,PHARE Shippagan,"201, rue Hôtel de Ville",Shippagan,NB,E8S 1L1,9--12,French,,,,,,,,0,1,1
DSF-NE,,PHARE Tracadie-Sheila,"C.P. 3680, Succ. Bureau Chef",Tracadie-Sheila,NB,E1X 1G5,9--12,French,,,,,,,,0,1,1
DSF-NE,,Programme Essentiel (École secondaire Népisiguit),"915, rue Sainte-Anne",Bathurst,NB,E2A 6X1,8--12,French,,,,,,,,0,1,1
ASD-N,,Pulamoo II,155 Pleasant Street,Miramichi,NB,E1V 1Y3,,,,,,,,,,,,
ASD-E,,Tantramar Regional High School (LC),223 Main Street,Sackville,NB,E4L 3A7,9--12,English,,,,,,,,0,1,1
ASD-E,201.0,Therapeutic Education Support Site,125 Park Street,Moncton,NB,E1C 2B4,9--12,English,,,http://web1.nbed.nb.ca/sites/ASD-E/schools/bas/,,,,,0,1,1
ASD-N,,Tommies II,139 Duke Street,Miramichi,NB,E1N 1H6,9--12,English,,,,,,,,0,1,1
