strID,strDST,strSEC,strNM,strAD1,strAD2,StrCM,strCT,strPC,strGR,strILEn,strILFr,strURL,intBuilt,geometry,latitude,longitude
1228,DSF-S,Francophone,École Mont Carmel,"1545, Route 525",NULL,Sainte-Marie-de-Kent,Kent,E4S 2H2,"Maternelle, 1-8",French,Français,http://mont-carmel.nbed.nb.ca,1992,POINT (-64.82560578300239 46.41469453495976),46.41469453495976,-64.82560578300239
4010,ASD-N,Anglophone,Harcourt School,155 West Side Harcourt Rd.,NULL,Harcourt,Kent,E4T 2Y3,"Kindergarten, 1-5",English,Anglais,http://harcourtschool.nbed.nb.ca,1951,POINT (-65.24954791807662 46.47267762887244),46.47267762887244,-65.24954791807662
1226,DSF-S,Francophone,École Clément-Cormier,"37, avenue Richard",NULL,Bouctouche,Kent,E4S 3T5,9-12,French,Français,http://ecc.nbed.nb.ca/,1969,POINT (-64.72410658939373 46.47555160988755),46.475551609887546,-64.72410658939373
1202,DSF-S,Francophone,École Dr-Marguerite-Michaud,"42, avenue Richard",NULL,Bouctouche,Kent,E4S 3N1,"Maternelle, 1-8",French,Français,http://edmm.nbed.nb.ca,1988,POINT (-64.72257481833978 46.47376375117349),46.473763751173486,-64.72257481833978
1206,DSF-S,Francophone,École Blanche-Bourgeois,"29, chemin Cocagne Cross",NULL,Cocagne,Kent,E4R 2J1,"Maternelle, 1-8",French,Français,http://blanche-bourgeois.nbed.nb.ca,1996,POINT (-64.61581399365811 46.34761686064437),46.347616860644365,-64.61581399365811
1227,DSF-S,Francophone,École Camille-Vautour,"7, avenue Clément",NULL,Saint-Antoine,Kent,E4V 1E2,"Maternelle, 1-8",French,Français,http://camille-vautour.nbed.nb.ca,1992,POINT (-64.75362401081814 46.35959504914758),46.35959504914758,-64.75362401081814
1213,DSF-S,Francophone,École Notre-Dame,"3860, Route 115",NULL,Notre-Dame,Kent,E4V 2J2,"Maternelle, 1-8",French,Français,http://notre-dame.nbed.nb.ca/,1958,POINT (-64.73485047297989 46.30704659495783),46.30704659495783,-64.73485047297989
1331,DSF-S,Francophone,Polyvalente Louis-J.-Robichaud,"435, rue Main",NULL,Shediac,Westmorland,E4P 0S6,9-12,French,Français,http://ljr.nbed.nb.ca,1969,POINT (-64.53157539399479 46.21863169265833),46.21863169265833,-64.53157539399479
1315,DSF-S,Francophone,École Mgr-François-Bourgeois,"294, avenue Belliveau",NULL,Shediac,Westmorland,E4P 1H6,"Maternelle, 1-8",French,Français,http://mfb.nbed.nb.ca,1987,POINT (-64.53770118191564 46.22255028119081),46.22255028119081,-64.53770118191564
1317,DSF-S,Francophone,École Père-Edgar-T.-LeBlanc,"1351, Route 133",NULL,Grand-Barachois,Westmorland,E4P 8C8,"Maternelle, 1-8",French,Français,http://petl.nbed.nb.ca,2000,POINT (-64.42154211837928 46.2239160698712),46.2239160698712,-64.42154211837928
1356,DSF-S,Francophone,École Donat-Robichaud,"2632, chemin Acadie",NULL,Cap-Pelé,Westmorland,E4N 1E3,"Maternelle, 1-8",French,Français,http://donat-robichaud.nbed.nb.ca,1977,POINT (-64.27354422903296 46.21773523106069),46.217735231060686,-64.27354422903296
1411,ASD-E,Anglophone,Tantramar Regional High School,223 Main Street,NULL,Sackville,Westmorland,E4L 3A7,9-12,"English, French Immersion","Anglais, Immersion française",http://trhs.nbed.nb.ca,1968,POINT (-64.36943260790596 45.91008019578281),45.91008019578281,-64.36943260790596
1402,ASD-E,Anglophone,Marshview Middle School,19 Queen's Road,NULL,Sackville,Westmorland,E4L 4G4,5-8,"English, French Immersion","Anglais, Immersion française",http://marshview.nbed.nb.ca/,1949,POINT (-64.36988197221605 45.89182220007994),45.89182220007994,-64.36988197221605
1417,ASD-E,Anglophone,Salem Elementary School,70 Queen's Road,NULL,Sackville,Westmorland,E4L 4G9,"Kindergarten, 1-4","English, French Immersion","Anglais, Immersion française",http://salem.nbed.nb.ca,1980,POINT (-64.37584572737349 45.88899708761306),45.888997087613056,-64.37584572737349
1401,ASD-E,Anglophone,Dorchester Consolidated School,18 Harrop Avenue,NULL,Dorchester,Westmorland,E4K 2X9,"Kindergarten, 1-8",English,Anglais,http://dorchester.nbed.nb.ca/,1949,POINT (-64.51616808471053 45.89531849986339),45.895318499863386,-64.51616808471053
1416,ASD-E,Anglophone,Port Elgin Regional School,33 Moore Road,NULL,Port Elgin,Westmorland,E4M 2E6,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://portelgin.nbed.nb.ca,1996,POINT (-64.094881317241 46.04881224189057),46.048812241890566,-64.094881317241
1340,DSF-S,Francophone,École Abbey-Landry,"432, rue Centrale",NULL,Memramcook,Westmorland,E4K 3S5,"Maternelle, 1-8",French,Français,http://abbey-landry.nbed.nb.ca,1961,POINT (-64.56767943005048 45.98085631823601),45.980856318236015,-64.56767943005048
1572,ASD-E,Anglophone,Arnold H. McLeod School,280 Storey Road East,NULL,Moncton,Westmorland,E1A 5Z3,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://ahm.nbed.nb.ca,1983,POINT (-64.75444017042408 46.10991901561903),46.109919015619035,-64.75444017042408
1571,ASD-E,Anglophone,Lewisville Middle School,45 McAuley Drive,NULL,Moncton,Westmorland,E1A 5R8,6-8,"English, French Immersion","Anglais, Immersion française",http://lewisville.nbed.nb.ca/,1980,POINT (-64.7413812008663 46.10708117855407),46.10708117855407,-64.7413812008663
1541,ASD-E,Anglophone,Mountain View School,2586 Route 115,NULL,Irishtown,Westmorland,E1H 2M4,"Kindergarten, 1-5",English,Anglais,http://mountainview.nbed.nb.ca,1963,POINT (-64.80408583386655 46.20959853601595),46.209598536015946,-64.80408583386655
1539,ASD-E,Anglophone,Moncton High School,140 Longfellow Drive,NULL,Moncton,Westmorland,E1H 0G4,9-12,"English, French Immersion","Anglais, Immersion française",http://monctonhigh.nbed.nb.ca/,2015,POINT (-64.79104984305297 46.16436786640184),46.16436786640184,-64.79104984305297
1559,ASD-E,Anglophone,Sunny Brae Middle School,170 Curry Street,NULL,Moncton,Westmorland,E1A 3W1,5-8,"English, French Immersion","Anglais, Immersion française",http://sunnybrae.nbed.nb.ca,1956,POINT (-64.77748076771071 46.1072971182773),46.1072971182773,-64.77748076771071
1514,ASD-E,Anglophone,Forest Glen School,43 Keenan Drive,NULL,Moncton,Westmorland,E1A 3P8,"Kindergarten, 1-4","English, French Immersion","Anglais, Immersion française",http://forestglenschool.nbed.nb.ca,1965,POINT (-64.77337878130322 46.12162356843541),46.12162356843541,-64.77337878130322
1360,DSF-S,Francophone,École L'Odyssée,"60, promenade Léopold F. Belliveau",NULL,Moncton,Westmorland,E1A 8V4,9-12,French,Français,http://Lodyssee.nbed.nb.ca,2005,POINT (-64.79111841411007 46.11898160749294),46.11898160749294,-64.79111841411007
1359,DSF-S,Francophone,École Le Mascaret,"50, promenade Léopold F. Belliveau",NULL,Moncton,Westmorland,E1A 8V3,6-8,French,Français,http://Lemascaret.nbed.nb.ca,2005,POINT (-64.79134318628124 46.11940580956607),46.11940580956607,-64.79134318628124
1350,DSF-S,Francophone,École Saint-Henri,"101, avenue Gross",NULL,Moncton,Westmorland,E1C 7H3,"Maternelle, 1-5",French,Français,http://saint-henri.nbed.nb.ca,1949,POINT (-64.81003495561478 46.104728978163),46.104728978163,-64.81003495561478
1547,ASD-E,Anglophone,Queen Elizabeth School,31 Lynch Street,NULL,Moncton,Westmorland,E1C 3L5,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://queenelizabeth.nbed.nb.ca,1953,POINT (-64.80361288275923 46.10105687116393),46.101056871163934,-64.80361288275923
