ndistid,nschid,school,principal,email,community,district16,region2016,sub_desc,k,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,fourth,total,sch_size,Grade 4-6,Grade K-3,Grades K-6,Grades 7-12,phone,fax,address1,address2,address3,distregion,prov,tstreet
100,001,St. Peter's School,Madeline Keefe,madelinekeefe@nlesd.ca,Black Tickle,Labrador,Labrador,Coastal,1,1,1,0,3,0,1,0,0,4,0,0,0,0,11,10-24,4,3,7,4,471-8828,471-8838,Black Tickle,"Black Tickle, NL",A0K 1N0,NLESD - Labrador Region,NL,P.O. Box 40
100,002,Henry Gordon Academy,Lindsey Lethbridge,lindseylethbridge@nlesd.ca,Cartwright,Labrador,Labrador,Coastal,2,6,5,4,9,4,8,8,6,7,3,5,5,0,72,50-99,21,17,38,34,938-7291,938-7467,P.O. Box 300,"Cartwright, NL",A0K 1V0,NLESD - Labrador Region,NL,P. O. Box 300
100,022,William Gillett Academy,Pamela Campbell,pamelacampbell@nlesd.ca,"Charlottetown, LAB",Labrador,Labrador,Coastal,5,2,0,3,3,3,8,2,2,3,5,2,7,0,45,25-49,14,10,24,21,949-0223,949-0302,P.O. Box 149,"Charlottetown, LAB",A0K 5Y0,NLESD - Labrador Region,NL,P. O. Box 149
100,004,Queen of Peace Middle School,Lindsay Bennett,lindsaybennett@nlesd.ca,Happy Valley-Goose Bay,Labrador,Labrador,Eastern,0,0,0,0,98,101,101,91,0,0,0,0,0,0,391,300-399,300,0,300,91,896-5315,896-5056,"P.O. Box 1900, Stn B","Happy Valley-Goose Bay, NL",A0P 1E0,NLESD - Labrador Region,NL,"P.O. Box 1900, Stn. B"
100,005,Peacock Primary School,Jennifer White,jenniferwhite@nlesd.ca,Happy Valley-Goose Bay,Labrador,Labrador,Eastern,101,97,108,82,0,0,0,0,0,0,0,0,0,0,388,300-399,0,388,388,0,896-3896,896-6014,"P.O. Box 2163, Stn B","Happy Valley-Goose Bay, NL",A0P 1E0,NLESD - Labrador Region,NL,"P. O. Box 2163, Stn. ""B"""
100,477,Mealy Mountain Collegiate,Paula Kelly,paulakelly@nlesd.ca,Happy Valley-Goose Bay,Labrador,Labrador,Eastern,0,0,0,0,0,0,0,0,90,85,98,79,79,2,433,400-499,0,0,0,433,896-3366,896-4684,"Box 492, Station C","Happy Valley-Goose Bay, NL",A0P 1C0,NLESD - Labrador Region,NL,"P. O. Box 492, Stn. ""C"""
100,007,Amos Comenius Memorial School,Dean Coombs,deancoombs@nlesd.ca,Hopedale,Labrador,Labrador,Coastal,9,13,8,17,17,8,6,10,8,5,12,11,9,0,133,100-199,31,47,78,55,933-3815,933-3805,P.O. Box 105,"Hopedale, NL",A0P 1G0,NLESD - Labrador Region,NL,P.O. Box 105
100,008,A. P. Low Primary,Rose Neville,roseneville@nlesd.ca,Labrador City,Labrador,Labrador,Western,94,115,94,114,0,0,0,0,0,0,0,0,0,0,417,400-499,0,417,417,0,944-5231,944-5580,600 Bartlett Drive,"Labrador City, NL",A2V 1G6,NLESD - Labrador Region,NL,600 Bartlett Drive
100,010,Menihek High School,Debora Pitcher,deborapitcher@nlesd.ca,Labrador City,Labrador,Labrador,Western,0,0,0,0,0,0,0,0,115,96,107,104,98,4,524,500-599,0,0,0,524,944-7731,944-6834,613 Lakeside Drive,"Labrador City, NL",A2V 2W9,NLESD - Labrador Region,NL,613 Lakeside Drive
100,487,Labrador Straits Academy,Colleen O'Brien,colleenobrien@nlesd.ca,L'Anse au Loup,Labrador,Labrador,Coastal,5,12,10,6,11,4,10,15,10,19,10,7,10,0,129,100-199,25,33,58,71,927-5411,927-5521,P.O. Box 10,"L'Anse au Loup, NL",A0K 3L0,NLESD - Labrador Region,NL,31A Main St.
100,012,J.C. Erhardt Memorial School,Dion Rideout,dionrideout@nlesd.ca,Makkovik,Labrador,Labrador,Coastal,6,4,7,11,3,6,9,4,5,4,4,5,7,0,75,50-99,18,28,46,29,923-2275,923-2106,P.O. Box 134,"Makkovik, NL",A0P 1J0,NLESD - Labrador Region,NL,P. O. Box 134
100,040,St. Mary's All Grade,Verna Brown,vernabrown@nlesd.ca,Mary's Harbour,Labrador,Labrador,Coastal,4,2,1,1,3,1,4,4,3,1,6,3,4,0,37,25-49,8,8,16,21,921-6245,921-6358,P.O. Box 127,"Mary's Harbour, NL",A0K 3P0,NLESD - Labrador Region,NL,P. O. Box 127
100,013,Mud Lake School,Lisa Bursey,lisabursey@nlesd.ca,Mud Lake,Labrador,Labrador,Eastern,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,<10,0,2,2,0,896-8632,896-4884,General Delivery,"Mud Lake, NL",A0P 1K0,NLESD - Labrador Region,NL,
100,014,Jens Haven Memorial,Jacob Larkin,jacoblarkin@nlesd.ca,Nain,Labrador,Labrador,Coastal,15,17,13,17,17,17,12,17,17,9,17,8,17,0,193,100-199,46,62,108,85,922-2813,922-2119,General Delivery,"Nain, NL",A0P 1L0,NLESD - Labrador Region,NL,3 School Street
100,041,Raymond Ward Memorial,Megan Poole,meganpoole@nlesd.ca,Norman Bay,Labrador,Labrador,Coastal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,<10,0,0,0,1,988-4207,988-4207,General Delivery,"Norman Bay, NL",A0K 5Y0,NLESD - Labrador Region,NL,General Delivery
100,015,Lake Melville School,Shane Morgan,shanemorgan@nlesd.ca,North West River,Labrador,Labrador,Eastern,8,12,15,9,7,11,14,6,9,6,8,6,3,0,114,100-199,32,44,76,38,497-8241,497-8250,P.O. Box 40,"North West River, NL",A0P 1M0,NLESD - Labrador Region,NL,P. O. Box 40
100,046,Bayside Academy,Thompson Flynn,tomflynn@nlesd.ca,Port Hope Simpson,Labrador,Labrador,Coastal,6,2,3,3,4,6,5,7,8,7,3,5,3,0,62,50-99,15,14,29,33,960-0252,960-0375,P.O. Box 100,"Port Hope Simpson, NL",A0K 4E0,NLESD - Labrador Region,NL,P. O. Box 100
100,016,B.L. Morrison,Carmen Sheppard,carmensheppard@nlesd.ca,Postville,Labrador,Labrador,Coastal,4,1,4,2,5,1,0,3,4,1,1,2,4,0,32,25-49,6,11,17,15,479-9811,479-9796,P.O. Box 76,"Postville, NL",A0P 1N0,NLESD - Labrador Region,NL,P.O. Box 76
100,050,Basque Memorial,Sarah Hedderson,sarahhedderson@nlesd.ca,Red Bay,Labrador,Labrador,Coastal,0,1,0,0,1,0,2,0,0,0,0,0,0,0,4,<10,3,1,4,0,920-2066,920-2180,P.O. Box 107,"Red Bay, NL",A0K 4K0,NLESD - Labrador Region,NL,P. O. Box 107
100,017,Northern Lights Academy,Gervas House,gervashouse@nlesd.ca,Rigolet,Labrador,Labrador,Coastal,3,11,6,1,6,7,8,4,2,5,6,7,3,0,69,50-99,21,21,42,27,947-3350,947-3429,P.O. Box 89,"Rigolet, NL",A0P 1P0,NLESD - Labrador Region,NL,P.O. Box 89
100,054,St. Lewis Academy,Susan Poole,susanpoole@nlesd.ca,St. Lewis,Labrador,Labrador,Coastal,1,3,0,1,3,2,1,3,3,2,3,1,3,0,26,25-49,6,5,11,15,939-2245,939-2364,P.O. Box 108,"St. Lewis, NL",A0K 4W0,NLESD - Labrador Region,NL,P. O. Box 108
100,381,J.R. Smallwood Middle School,Darryn Cramm,darryncramm@nlesd.ca,Wabush,Labrador,Labrador,Western,0,0,0,0,120,119,100,97,0,0,0,0,0,0,436,400-499,339,0,339,97,282-3251,282-3016,P.O. Box 5000,"Wabush, NL",A0R 1B0,NLESD - Labrador Region,NL,P. O. Box 5000
200,125,Copper Ridge Academy,Chris Mills,chrismills@nlesd.ca,Baie Verte,Western,Western,Green Bay/White Bay,17,16,14,21,25,24,29,21,30,26,18,24,24,0,289,200-299,78,68,146,143,532-4288,532-4199,"Box 430, 9 Columbus Drive","Baie Verte, NL",A0K 1B0,NLESD - Eastern Region,NL,P.O. Box 430
200,057,St. Peter's Academy,Carol Ann Eldridge,carolanneldridge@nlesd.ca,Benoit's Cove,Western,Western,Central,14,8,12,13,9,15,13,12,15,16,0,0,0,0,127,100-199,37,47,84,43,789-2761,789-3288,Box 95,"Benoit's Cove, NL",A0L 1A0,NLESD - Western Region,NL,P. O. Box 95
200,091,Burgeo Academy,Corey Penney,coreypenney@nlesd.ca,Burgeo,Western,Western,Southern,10,5,5,7,7,4,7,8,5,9,5,5,9,0,86,50-99,18,27,45,41,886-2590,886-2161,P. O. Box 310,"Burgeo, NL",A0N 2H0,NLESD - Western Region,NL,P. O. Box 310
200,092,Grandy's River Collegiate,Jennah Childs,jennahchilds@nlesd.ca,Burnt Islands,Western,Western,Southern,5,1,3,5,4,8,8,5,2,7,13,9,8,0,78,50-99,20,14,34,44,698-3582,698-3180,Box 40,"Burnt Islands, NL",A0M 1B0,NLESD - Western Region,NL,Box 40
200,096,Our Lady of the Cape School,Andrew Elliott,andrewelliott@nlesd.ca,Cape St. George,Western,Western,Southern,3,8,3,5,5,2,6,5,7,0,0,0,0,0,44,50-99,13,19,32,12,644-2180,644-2005,875 Oceanview Drive,"De Grau, Cape St. George",A0N 1T1,NLESD - Western Region,NL,875 Oceanview Dr.
200,097,St. James Elementary,Denise Francis,denisefrancis@nlesd.ca,Channel-Port Aux Basques,Western,Western,Southern,62,48,32,46,40,45,34,0,0,0,0,0,0,0,307,200-299,119,188,307,0,695-3001,695-9589,Box 1060,"Port aux Basques, NL",A0M 1C0,NLESD - Western Region,NL,P. O. Box 1060
200,099,St. James Regional High,Justin Blackler,justinblackler@nlesd.ca,Channel-Port Aux Basques,Western,Western,Southern,0,0,0,0,0,0,0,35,40,38,61,61,65,0,300,300-399,0,0,0,300,695-3551,695-9704,Box 910,"Port Aux Basques, NL",A0M 1C0,NLESD - Western Region,NL,P. O. Box 910
200,024,James Cook Memorial,Niketa Rose,niketarose@nlesd.ca,Cook's Harbour,Western,Western,Northern,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,<10,1,2,3,0,249-4196,249-3053,P.O. Box 10,"Cook's Harbour, NL",A0K 1Z0,NLESD - Western Region,NL,P. O. Box 10
200,060,Ecole C.C. Loughlin Elementary,Helen Coleman,helencoleman@nlesd.ca,Corner Brook,Western,Western,Central,67,74,66,68,60,54,63,0,0,0,0,0,0,0,452,400-499,177,275,452,0,639-8988,639-1496,Citadel Drive,"Corner Brook, NL",A2H 5M4,NLESD - Western Region,NL,Citadel Drive
200,066,J. J. Curling Elementary,Brian Higdon,brianhigdon@nlesd.ca,Corner Brook,Western,Western,Central,30,42,38,40,39,40,61,0,0,0,0,0,0,0,290,200-299,140,150,290,0,785-2814,785-2042,Woodbine Ave,"Corner Brook, NL",A2H 3P2,NLESD - Western Region,NL,Woodbine Avenue
200,069,Sacred Heart Elementary,Frank Humber,frankhumber@nlesd.ca,Corner Brook,Western,Western,Central,35,17,20,31,25,24,33,0,0,0,0,0,0,0,185,100-199,82,103,185,0,785-5119,785-2257,Curling St,"Corner Brook West, NL",A2H 3K8,NLESD - Western Region,NL,473 Curling Street
200,485,Corner Brook Regional High,Steve Barrett,stevebarrett@nlesd.ca,Corner Brook,Western,Western,Central,0,0,0,0,0,0,0,0,0,0,228,264,279,12,783,700-799,0,0,0,783,634-5258,634-8969,12 University Drive,"Corner Brook, NL",A2H 5G4,NLESD - Western Region,NL,12 University Dr.
200,498,Eastside Elementary,Robert Matthews,robertmatthews@nlesd.ca,Corner Brook,Western,Western,Central,53,61,67,72,80,70,89,0,0,0,0,0,0,0,492,400-499,239,253,492,0,,,St. John's Avenue,"Corner Brook,  NL",A2H 2E5,NLESD - Western Region,NL,St. Johns Avenue
200,955,Corner Brook Intermediate,Peter Burt,peterburt@nlesd.ca,Corner Brook,Western,Western,Central,0,0,0,0,0,0,0,185,203,220,0,0,0,0,608,600-699,0,0,0,608,639-9541,639-9551,St. John's Avenue,"Corner Brook, NL",A2H 2E5,NLESD - Western Region,NL,11 Mount Bernard Ave
200,388,Long Range Academy,Michelle Patey,michellepatey@nlesd.ca,Cow Head,Western,Western,Central,7,4,7,9,11,6,7,9,11,7,8,10,3,0,99,100-199,24,27,51,48,243-2252,243-2169,P.O. Box 10,"Cow Head, NL",A0K 2A0,NLESD - Western Region,NL,P. O. Box 10
