Region Cd,Region Name,Sch Cd,School Name,Start Gr,End Gr,Mailing Address,City,Postal Code,Civic Address,City.1,Postal Code.1,School Email,Phone,Fax,Principal
51,Cape Breton Victoria Regional Centre for Education,96,Baddeck Academy,PP,12,PO Box 310 ,Baddeck NS,B0E 1B0,320 Shore Rd ,Baddeck NS,B0E 1B0,barbmac@gnspes.ca,902-295-2359,902-295-1263,Barbara MacDonald
51,Cape Breton Victoria Regional Centre for Education,93,Boularderie Elementary School,PP,5,12065 Kempt Rd ,Boularderie NS,B1X 1J9,12065 Kempt Rd ,Boularderie NS,B1X 1J9,laveryb1@gnspes.ca,902-674-2716,902-674-0117,Brenda Lavery
51,Cape Breton Victoria Regional Centre for Education,101,Bras d'Or Elementary School,PP,5,10 Alder Pt. Rd ,Bras d`Or NS,B1Y 2K1,10 Alder Pt. Rd ,Bras d`Or NS,B1Y 2K1,kubleks@gnspes.ca,902-736-4000,902-736-1091,Sheila Kublek
51,Cape Breton Victoria Regional Centre for Education,640,Breton Education Centre,06,12,667 8th St ,New Waterford NS,B1H 3T4,667 8th St ,New Waterford NS,B1H 3T4,daucoin@gnspes.ca,902-862-6432,902-862-7330,Danielle Aucoin-Coleman
51,Cape Breton Victoria Regional Centre for Education,995,Brookland Elementary School ,PP,5,153 Cottage Rd ,Sydney NS,B1P 2E5,153 Cottage Rd ,Sydney NS,B1P 2E5,jlively@gnspes.ca,902-562-0768,902-563-4560,Francis Lively
51,Cape Breton Victoria Regional Centre for Education,107,Cabot Education Centre,06,12,32039 Cabot Trail ,Neil's Harbour NS,B0C 1N0,32039 Cabot Trail ,Neil's Harbour NS,B0C 1N0,simmsdj@gnspes.ca,902-336-2266,902-336-2525,Donald Simms
51,Cape Breton Victoria Regional Centre for Education,962,Cape Smokey Elementary School ,PR,5,PO Box 269 ,Ingonish NS,B0C 1K0,39 Brandon Lane ,Ingonish NS,B0C 1K0,hardym2@gnspes.ca,902-285-2638,902-285-2892,Maxine Hardy
51,Cape Breton Victoria Regional Centre for Education,1169,CBVRCE Adult High School,10,12,290 Whitney Ave ,Sydney NS,B1P 5A6,290 Whitney Ave ,Sydney NS,B1P 5A6,hpatters@gnspes.ca,902-562-5178,902-562-1605,Heather Patterson
51,Cape Breton Victoria Regional Centre for Education,186,Coxheath Elementary School ,PP,5,30 Mt. Florence St ,Coxheath NS,B1R 1T8,30 Mt. Florence St ,Coxheath NS,B1R 1T8,tleblan1@gnspes.ca,902-562-4961,902-562-6192,Trevor LeBlanc
51,Cape Breton Victoria Regional Centre for Education,1101,Cusack School,PP,5,500 Birch Hill Dr ,Sydney NS,B1P 3V9,500 Birch Hill Dr ,Sydney NS,B1P 3V9,orychoa1@gnspes.ca,902-564-0431,902-562-6871,Amber Orychock
51,Cape Breton Victoria Regional Centre for Education,996,Donkin School,PP,8,81 Centre Ave ,Donkin NS,B0A 1G0,81 Centre Ave ,Donkin NS,B0A 1G0,jacksonbm@gnspes.ca,902-737-2120,902-737-1018,Brenda Jackson
51,Cape Breton Victoria Regional Centre for Education,98,Dr. T.L. Sullivan School,PP,8,256 Park Rd ,Florence NS,B1Y 1N2,256 Park Rd ,Florence NS,B1Y 1N2,yorkec1@gnspes.ca,902-736-6273,902-736-8844,Charles Yorke
51,Cape Breton Victoria Regional Centre for Education,1153,Ferrisview Elementary School ,PP,5,83 Archibald Ave ,North Sydney NS,B2A 2W9,83 Archibald Ave ,North Sydney NS,B2A 2W9,boutj@gnspes.ca,902-794-7137,902-794-6237,John Boutilier
