,School,Designated Special Education Private School?,Renewal Date of Designation or Recognition,Biannual Renewal?,Grade Level,Civic Address Line 1,Civic Address Line 2,Civic Address Line 3,Mailing Address Line 1,Mailing Address Line 2,Mailing Address Line 3,Phone,Fax,URL,Location,ISCED020,ISCED1,ISCED2,ISCED3
0,Armbrae Academy,No,07/31/2022,No,Gr P-12,1400 Oxford Street,Halifax NS,B3H 3Y8,,,,902 423-7920,902 423-9731,www.armbrae.ns.ca,"1400 Oxford Street Halifax NS
(44.6364, -63.596143)",1,1,1,1
1,Bridgeway Academy - Dartmouth,Yes,07/31/2021,Yes,Gr P-12,3 Valleyford Avenue,Dartmouth NS,B2X1W8,,,,902 464-0134,902 464-1147,www.bridgeway-academy.com,"3 Valleyford Avenue Dartmouth NS
(44.685981, -63.540895)",1,1,1,1
2,Bridgeway Academy - Stellarton,Yes,07/31/2021,Yes,Gr P-9,33 Acadia Avenue,Stellarton NS,B0K 1S0,PO Box 510,Stellarton NS,B0K 1S0,902 752-3630,,www.bridgeway-academy.com,"33 Acadia Avenue Stellarton NS
(45.557044, -62.662067)",1,1,1,0
3,Bridgeway Academy - Truro,Yes,07/31/2021,Yes,Gr P-12,40 Douglas Street,Truro NS,B2N 2E7,,,,902 843-9178,902 464-1147,www.bridgeway-academy.com,"40 Douglas Street Truro NS
(45.358759, -63.274948)",1,1,1,1
4,Bridgeway Academy - Yarmouth,Yes,07/31/2021,Yes,Gr 7-12,25 Beaton Street,Yarmouth NS,B5A 2W2,,,,902 748-1004,902 464-1147,www.bridgeway-academy.com,"25 Beaton Street Yarmouth NS
(43.842822, -66.115387)",0,0,1,1
5,Churchill Academy,Yes,07/31/2021,Yes,Gr 4-12,5 Crichton Avenue,Dartmouth NS,B2Y 1P1,,,,902 446-3410,902 464-9061,www.churchillacademy.ca,"5 Crichton Avenue Dartmouth NS
(44.671848, -63.564353)",0,1,1,1
6,DEVI International Boarding School,No,07/31/2022,No,Gr 4-12,227 Medway River Road,"Mill Village, NS",B0J 2H0,,,,902 935-2125,,www.devischool.org,"227 Medway River Road Mill Village B0J 2H0, NS
(44.6551341, -63.570505)",0,1,1,1
7,Halifax Grammar School,No,07/31/2020,No,Gr P-12,945 Tower Road,Halifax NS,B3H 2Y2,,,,902 431-8573,902 423-9315,www.hgs.ns.ca,"945 Tower Road Halifax NS
(44.632512, -63.578131)",1,1,1,1
8,King's View Academy,No,07/31/2020,No,Gr 7-12,1649 Brunswick Street,Halifax NS,B1S 1T7,,,,902 429-5434,902 429-5433,www.kingsviewacademy.com,"1649 Brunswick Street Halifax NS
(44.645742, -63.576312)",0,0,1,1
9,King's-Edgehill School,No,07/31/2021,No,Gr 7-12,33 King's-Edgehill Lane,Windsor NS,B0N 2T0,,,,902 798-2278,902 798-2105,www.kes.ns.ca,"33 King's-Edgehill Lane Windsor NS
(44.983311, -64.136037)",0,0,1,1
10,Landmark East School,Yes,06/01/2019,Yes,Gr 2-12,708 Main Street,Wolfville NS,B4P 1G4,,,,902 542-2237,902 542-4147,www.landmarkeast.org,"708 Main Street Wolfville NS
(45.087053, -64.379394)",0,1,1,1
11,Sacred Heart School of Halifax,No,07/31/2021,No,P-12,5820 Spring Garden Road,Halifax NS,B3H 1X8,,,,902 422-4459,902 423-7691,www.shsh.ca,"5820 Spring Garden Road Halifax NS
(44.641614, -63.582297)",1,1,1,1
12,Shambhala School,No,07/31/2020,No,Gr P-12,5450 Russell Street,Halifax NS,B3K 1W9,,,,902 454-6100,902 454-6157,www.Shambhalaschool.org,"5450 Russell Street Halifax NS
(44.66188, -63.596629)",1,1,1,1
13,West Island College International - Class Afloat,No,07/31/2020,No,7-12,97 Kaulbach Street,Lunenburg NS,B0J 2C0,,,,902 634-1895,902 634-7155,www.classafloat.com,"97 Kaulbach Street Lunenburg NS
(44.37982, -64.313079)",0,0,1,1
