,Ed Body,COMMUNITY,SCHOOL,GRADE,ENGLISH,IMMERSION,FRENCH,PRINCIPAL,E-MAIL,PHONE,FAX,MAILING ADDRESS
0,BDEC,Paulatuk,Angik School,JK-12,JK-12,,,Julie Clark,jclark@bdec.nt.ca,867-580-3201,867-580-3105,Angik School PO BOX 100 PAULATUK NT  X0E 1N0
1,BDEC,Fort Mcpherson,Chief Julius School,JK-12,JK-12,,,Shirley Snowshoe- Peterson,shirley_peterson@bdec.learnnet.nt.ca,867-952-2131,867-952-2516,Chief Julius School PO BOX 26 FORT MCPHERSON NT  X0E 0J0
2,BDEC,Tsiigehtchic,Chief Paul Niditchie School,JK-9,JK-9,,,Nicolas Kapot,nkopot@bdec.nt.ca,867-953-3211,867-953-3705,Chief Paul Niditchie School GENERAL DELIVERY TSIIGEHTCHIC NT  X0E 0B0
3,BDEC,Inuvik,East Three Elementary School,JK-6,JK-6,JK-6,,Elizabeth McNeil,elizabeth_mcneil@bdec.learnnet.nt.ca,867-777-7180,867-777-2261,East Three Elementary School PO BOX 1470 INUVIK NT  X0E 0T0
4,BDEC,Inuvik,East Three Secondary School,12-Jul,12-Jul,12-Jul,,Krista Cudmore,krista_cudmore@bdec.learnnet.nt.ca,867-777-3030,867-777-4390,East Three Secondary School BAG SERVICE #3 INUVIK NT  X0E 0T0
5,BDEC,Ulukhaktok,Helen Kalvak Elihakvik,JK-12,JK-12,,,Patrick MacIntyre,pmacintyre@bdec.nt.ca,867-396-3804,867-396-3054,Helen Kalvak Elihakvik PO BOX 162 ULUKHAKTOK NT  X0E 0S0
6,BDEC,Sachs Harbour,Inualthuyak School,JK-9,JK-9,,,Stephen Keoughan,stephen_keoughan@bdec.learnnet.nt.ca,867-690-4241,867-690-3500,Inualthuyak School GENERAL DELIVERY SACHS HARBOUR NT  X0E 0Z0
7,BDEC,Tuktoyaktuk,Mangilaluk School,JK-12,JK-12,,,Ephraim Warren,ephraim_warren@bdec.learnnet.nt.ca,867-977-2255,867-977-2532,Mangilaluk School PO BOX 5000 TUKTOYAKTUK NT  X0E 1C0
8,BDEC,Aklavik,Moose Kerr School,JK-12,JK-12,,,Vivian Wirth,vivian_wirth@bdec.learnnet.nt.ca,867-978-2536,867-978-2829,Moose Kerr School PO BOX 120 AKLAVIK NT  X0E 0A0
9,CSF,Yellowknife,cole Allain St-Cyr,JK-12,,,JK-12,Sylvie Larose,sylvie.larose@csftno.com,867-873-3223,867-920-4647,cole Allain St-Cyr 48 TAYLOR ROAD YELLOWKNIFE NT  X1A 3X2
10,CSF,Hay River,cole Borale,JK-12,,,JK-12,Richard Letourneau,richard.letourneau@csftno.com,867-874-6972,867-874-6912,cole Borale 145 PROMENADE RIVERVIEW HAY RIVER NT  X0E 0R8
11,DDEA,Detah,Kaw Tay Whee School,JK-9,JK-9,,,Lea Lamoureux,lea.lamoureux@yk1.nt.ca,867-873-4303,867-873-4420,Kaw Tay Whee School PO BOX 40 YELLOWKNIFE NT  X1A 2N1
12,DDEC,Sambaa Ke,Charles Tetcho School,JK-9,JK-9,,,Jasna Finlay,jfinlay@ddec.ca,867-206-2242,867-206-2516,Charles Tetcho School PO BOX 60 SAMBAA KE NT  X0E 1Z0
13,DDEC,Nahanni Butte,Charles Yohin School,JK-10,JK-10,,,Steven Macfadyen,smacfadyen@ddec.ca,867-602-2200,867-602-2202,Charles Yohin School GENERAL DELIVERY NAHANNI BUTTE NT  X0E 0N0
14,DDEC,Wrigley,Chief Julian Yendo School,JK-9,JK-9,,,Blair Sellers,bsellars@ddec.ca,867-581-3401,867-581-3131,Chief Julian Yendo School GENERAL DELIVERY WRIGLEY NT  X0E 1E0
15,DDEC,Fort Providence,Deh Gh Elem. & Second. School,JK-12,JK-12,,,Angela Griffin,agriffin@ddec.ca,867-699-3131,867-699-3525,Deh Gh Elementary & Secondary School PO BOX 320 FORT PROVIDENCE NT  X0E 0L0
16,DDEC,Fort Liard,Echo-Dene School,JK-12,JK-12,,,Ragu Kanagalingam,rkana@ddec.ca,867-770-4486,867-770-3300,Echo-Dene School GENERAL DELIVERY FORT LIARD NT  X0G 0A0
17,DDEC,Kakisa,Kakisa Lake School,JK-9,JK-9,,,Doyle Manuel,dmanuel@ddec.ca,867-825-2026,867-825-2905,Kakisa Territorial School PO BOX 4426 HAY RIVER NT  X0E 1G3
18,DDEC,Fort Simpson,dl K Elementary School (Bompas Elementary School),JK-6,JK-6,,,Marty Leach,mleach@ddec.ca,867-695-2609,867-695-2639,dl K Elementary School (Bompas Elementary School) PO BOX 499 FORT SIMPSON NT  X0E 0N0
19,DDEC,Fort Simpson,dl K Regional High School (Thomas Simpson Secondary School),12-Jul,12-Jul,,,Marty Leach,mleach@ddec.ca,867-695-3320,867-695-3330,dl K Regional High School (Thomas Simpson Secondary School) PO BOX 252 FORT SIMPSON NT  X0E 0N0
20,DDEC,Jean Marie River,Louie Norwegian School,JK-9,JK-9,,,Ellisa Garrett,egarrett@ddec.ca,867-809-2030,867-809-2071,Louie Norwegian School GENERAL DELIVERY JEAN MARIE RIVER NT  X0E 0N0
21,NDEA,Ndil,K'lem Dene School,JK-12,JK-12,,,Meagan Wowk,meagan.wowk@yk1.nt.ca,867-920-7260,867-669-7762,K'lem Dene School PO Box 236 NDIL NT  X1A 2N2
22,SDEC,Tulita,Chief Albert Wright School,JK-12,JK-12,,,Spencer Dean Bernard,sbernard@sahtudec.ca,867-588-4361,867-588-3912,Chief Albert Wright School PO BOX 126 TULITA NT  X0E 0K0
23,SDEC,Fort Good Hope,Chief T'Selehye School,JK-12,JK-12,,,John Hamilton,jhamilton@sahtudec.ca,867-598-2288,867-598-2025,Chief T'Selehye School PO BOX 99 FORT GOOD HOPE NT  X0E 0H0
24,SDEC,Colville Lake,Colville Lake School,JK-12,JK-12,,,Louella Arigo,larigo@sahtudec.ca,867-709-2300,867-709-2311,Colville Lake School PO BOX 52 COLVILLE LAKE NT  X0E 1L0
25,SDEC,Norman Wells,Mackenzie Mountain School,JK-12,JK-12,,,Michael Duclos,mduclos@sahtudec.ca,867-587-2286,867-587-2118,Mackenzie Mountain School PO BOX 270 NORMAN WELLS NT  X0E 0V0
26,SDEC,Dlne,ehtseo Ayha School,JK-12,JK-12,,,Kim Hagarty,khagarty@sahtudec.ca,867-589-3391,867-589-4020,ehtseo Ayha School PO BOX 179 DLNE NT  X0E 0G0
27,SSDEC,K'atlode-eche First Nation Reserve,Chief Sunrise Education Centre,JK-12,JK-12,,,Deborah Reid,dreid@ssdec.nt.ca,867-874-6444,867-874-3678,Chief Sunrise Education Centre PO BOX 3055 HAY RIVER DENE RESERVE NT  X0E 1G4
28,SSDEC,Fort Resolution,Deninu School,JK-12,JK-12,,,Lynette De Maries,ldemaries@ssdec.nt.ca,867-394-4501,867-394-3201,Deninu School GENERAL DELIVERY FORT RESOLUTION NT  X0E 0M0
