Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Identified as Gifted,Percentage of Students Receiving Special Education Services,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),902344,Algoma Education Connection Secondary School,Public,Alternative,Secondary,English,9-12,,,550 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4J4,705-945-7194,705-945-7173,http://www.adsb.on.ca,www.adsb.on.ca,220,46.53477,-84.3077,0,100,0,0,30,0,,,,,,,,,,,,,N/D,,N/R,,N/R,,25,15,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),019186,Anna McCrea Public School,Public,Not applicable,Elementary,English,JK-8,,,250 Mark St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3M7,705-945-7106,705-945-7221,http://www.adsb.on.ca/sites/schools/amc/default.aspx,www.adsb.on.ca,195,46.50593,-84.2873,0,100,0,0,10,0,69%,-8.0,66%,8.0,72%,-9.0,80%,0.0,80%,13.0,40%,-13.0,,,,,,,10,60,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),067679,Arthur Henderson Public School,Public,Not applicable,Elementary,English,JK-3,,,2 Henderson Lane 2,Bruce Mines,Bruce Mines,Ontario,P0R1C0,705-785-3483,705-785-3220,http://www.adsb.on.ca/sites/schools/art/default.aspx,www.adsb.on.ca,SP,46.301829999999995,-83.7802,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/D,,N/D,,N/D,,,,,,,,SP,SP,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),043362,Ben R McMullin Public School,Public,Not applicable,Elementary,English,JK-8,,,24 Paradise Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B5K2,705-945-7108,705-945-7205,http://www.adsb.on.ca/sites/schools/brm/default.aspx,www.adsb.on.ca,165,46.52455,-84.29799999999999,10,100,10,10,20,0,47%,3.0,41%,3.0,29%,-15.0,45%,-29.0,55%,-10.0,23%,1.0,,,,,,,30,30,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),054542,Blind River Public School,Public,Not applicable,Elementary,English,JK-8,,,19 Hanes Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-7752,705-356-0271,http://www.adsb.on.ca/sites/schools/bli/default.aspx,www.adsb.on.ca,150,46.184540000000005,-82.9576,0,100,5,0,20,0,43%,-7.0,36%,0.0,21%,-29.0,58%,6.0,58%,-7.0,25%,-5.0,,,,,,,20,20,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),490822,Boreal French Immersion Public School,Public,Not applicable,Elementary,English,JK-8,,,232 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4H6,705-945-7149,705-945-7349,http://rosedale.adsb.on.ca/,www.adsb.on.ca,455,46.52447,-84.3107,0,100,0,5,10,0,N/D,,N/D,,40%,,88%,10.0,85%,12.0,73%,28.0,,,,,,,20,35,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),137967,Central Algoma Intermediate School,Public,Not applicable,Elementary,English,7-8,,,32 Kensington Road,Huron Shores,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,http://www.adsb.on.ca/sites/schools/cis/default.aspx,www.adsb.on.ca,180,46.340070000000004,-83.9369,0,100,0,0,35,0,,,,,,,,,,,,,,,,,,,20,30,2020-09-04,0,0,0,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),285552,Central Algoma Public School,Public,Not applicable,Elementary,English,JK-6,,220,5 Margaret St,Johnson,Desbarats,Ontario,P0R1E0,705-782-6233,705-782-0260,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40,www.adsb.on.ca,120,46.34875,-83.9253,0,100,0,0,25,0,83%,16.0,58%,-9.0,50%,-17.0,73%,3.0,77%,20.0,73%,23.0,,,,,,,30,30,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891347,Central Algoma Secondary School,Public,Not applicable,Secondary,English,9-12,,,32 Kensington Rd,Johnson,Desbarats,Ontario,P0R1E0,705-782-6263,705-782-4288,http://www.adsb.on.ca/sites/schools/cas/default.aspx,www.adsb.on.ca,330,46.33811,-83.9355,0,100,0,0,30,0,,,,,,,,,,,,,69%,-20.0,35%,-10.0,71%,5.0,20,20,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),093548,Central Avenue Public School,Public,Not applicable,Elementary,English,JK-8,,,81 Central Ave,Elliot Lake,Elliot Lake,Ontario,P5A2G4,705-848-3951,705-848-4805,http://www.adsb.on.ca/sites/schools/cen/default.aspx,www.adsb.on.ca,275,46.3904,-82.6588,0,100,0,0,20,0,19%,-13.0,22%,-13.0,19%,-13.0,46%,9.0,41%,-3.0,7%,-8.0,,,,,,,30,20,2020-09-04,1,1,1,1,0
