School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
3sixty Education,882408,Offers credits toward the Ontario Secondary School Diploma (OSSD),,101,,141 Brunel Road,Mississauaga,Ontario,L4Z1X3,647-494-4340,647-494-4341,Toronto and Area Regional Office,www.3sixtyeducation.ca,Secondary,All Year Round,Site based only,No
A R S Armenian Private School,880655,Offers credits toward the Ontario Secondary School Diploma (OSSD),Raffi Sarkissian,,,50 Hallcrown Place,Toronto,Ontario,M2J1P7,416-491-2675,416-491-8559,Toronto and Area Regional Office,www.arsarmenianschool.ca,Elem/Sec,Not applicable,,No
A+ Academy of Advancement,885186,Offers credits toward the Ontario Secondary School Diploma (OSSD),Badsha Alam,200,,2425 Eglinton Ave East Ave,Toronto,Ontario,M1K5G8,416-857-1654,416-907-3300,Toronto and Area Regional Office,www.aplusacademy.ca,Elem/Sec,All Year Round,Internet/Site Based,Independent and Private School Forum
A21 Academy,669367,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jessica Dean,,,8787 McHugh,Windsor,Ontario,N8S0A1,519-900-6021,,London Regional Office,www.A21Academy.com,Elem/Sec,All Year Round,Internet/Site Based,OFIS
Abacus Montessori & Private School,669111,,Jayanthi Rajagopalan,1,,4 CREDIT UNION DR.,NORTH YORK,Ontario,M4A2S6,416-494-4650,416-494-4650,Toronto and Area Regional Office,www.abacusmontessori.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
ABC Montessori Private School,877417,,Raj Vekaria,,,305 Matheson Boulevard East,Mississauga,Ontario,L4Z1X8,905-568-8989,905-568-0958,Toronto and Area Regional Office,http://www.abcmontessori.com,Elementary,Not applicable,Site based only,No
"Abelard Centre for Education, The",877808,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michelle Lefolii,4th floor,,557 Church Street,Toronto,Ontario,M4Y2E2,416-944-0661,416-944-8902,Toronto and Area Regional Office,http://www.abelardschool.org/,Elem/Sec,Not applicable,,No
Above and Beyond Learning Experience Inc,665161,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michelle White,202,,1220 Stellar Drive,Newmarket,Ontario,L3Y7B9,905-953-2253,844-320-4838,Barrie Regional Office,www.ablearning.org,Elem/Sec,All Year Round,Site based only,No
Abraar,878987,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nimao Ali,,,1085 Grenon Ave,Ottawa,Ontario,K2B8L7,613-820-0044,613-820-1495,Ottawa Regional Office,http://www.abraarschool.com,Elem/Sec,Not applicable,Site based only,No
Abraar School - Elementary,889470,,Mohammed Saleem,,,70 Fieldrow Street,Ottawa,Ontario,K2G2Y7,613-226-1396,613-226-2745,Ottawa Regional Office,www.abraarschool.com,Elementary,Not applicable,Site based only,OFIS
Abu Huraira Center Academy,886295,,Deqa Farah,,,270 Yorkland Boulevard,Toronto,Ontario,M2J5C9,416-752-1200,,Toronto and Area Regional Office,http://ahcacademy.com/,Elementary,Not applicable,Site based only,No
Abubakr Education Academy,883960,,Fauzia Manjra,,,2665 Lawrence Ave East,Scarborough,Ontario,M1P2S2,416-750-2253,416-750-1616,Toronto and Area Regional Office,,Elementary,Not applicable,,No
Acacia International High School,668358,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ana Mohamed,12,,2 Rosemount Ave,York,Ontario,M9N3B3,416-712-8864,,Toronto and Area Regional Office,www.acischool.ca,Secondary,All Year Round,,No
Academia Stella Maris,884149,,,,,45 des Benevoles Street,Limoges,Ontario,K0A2M0,343-883-6600,,Ottawa Regional Office,www.academiastellamaris.ca,Elementary,Not applicable,Site based only,No
Academic Vision,885545,,Stefanie Pereira,3,,39 Main St N,Markham,Ontario,L3P1X3,647-688-1415,,Barrie Regional Office,www.academicvision.ca,Secondary,Not applicable,Site based only,No
Académie de la Capitale,878731,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lucie Lalonde,200,,1010 Morrison Drive,Ottawa,Ontario,K2H8K7,613-721-3872,613-721-8189,Ottawa Regional Office,http://www.acadecap.org,Elem/Sec,All Year Round,Site based only,IB World School
Académie Providence Soeurs Antonines,666548,,Félicité Daou,,,998 Frances rue,Ottawa,Ontario,K1K3L5,613-744-8489,613-744-6762,Ottawa Regional Office,www.academieprovidence.ca,Elementary,Not applicable,Site based only,Bureau Pédagogique des Sœurs Antonines
Académie Ste Cécile International,876275,Offers credits toward the Ontario Secondary School Diploma (OSSD),Benjamin Cooper,,,925 Cousineau Rd,Windsor,Ontario,N9G1V8,519-969-1291,519-969-7953,London Regional Office,http://www.academiestececile.ca,Elem/Sec,All Year Round,Site based only,OFIS
"Academy for Gifted Children, The (PACE)",876330,Offers credits toward the Ontario Secondary School Diploma (OSSD),Janice Gruchy,,,12 Bond Cres,Richmond Hill,Ontario,L4E3K2,905-773-0997,905-773-4722,Barrie Regional Office,http://www.pace.on.ca,Elem/Sec,Not applicable,Site based only,No
Academy of Excellence,883027,Offers credits toward the Ontario Secondary School Diploma (OSSD),Giti Fatemi,,,128 Willowdale Ave,Toronto,Ontario,M2N4Y2,416-733-9813,416-733-9813,Toronto and Area Regional Office,academyofexcellence.ca,Secondary,All Year Round,Site based only,No
Academy of Learning College,668763,,Percy Dastur,,,1469 PRINCESS ST,Kingston,Ontario,K7M3E9,613-544-8973,613-544-8980,Ottawa Regional Office,aolkingston.com,Elem/Sec,Not applicable,Internet/Site Based,No
Academy of Math and English,668977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jeff McNair,103,,5101 Dundas Street West St,ETOBICOKE,Ontario,M9A5G8,416-242-9410,647-342-4034,Toronto and Area Regional Office,www.mathandenglish.com,Secondary,Not applicable,Site based only,No
Academy of New Echo Education,668797,,Di Chang,Upper,,1041 McNicoll Avenue,Scarborough,Ontario,M1W3W6,647-346-3091,,Toronto and Area Regional Office,www.anee-academy.com,Elementary,Not applicable,Internet/Site Based,No
ACE Acumen High School,884091,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Wu,102,,1440 Don Mills Road,Toronto,Ontario,M3B3M1,416-756-7227,416-756-2732,Toronto and Area Regional Office,www.aceacumen.ca,Secondary,All Year Round,,Independent and private school forum
Ace Acumen Online School,668878,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ningyuan Duo,,,131 Brunel Road,Mississauga,Ontario,L4Z1X3,416-551-6256,,Toronto and Area Regional Office,www.aceacumenonlineschool.com,Secondary,All Year Round,Internet based only,ISPF
Ace Scholars Academy,881882,Offers credits toward the Ontario Secondary School Diploma (OSSD),Priya Saini,201,,9990 Gore Road,Brampton,Ontario,L6P0A7,905-913-2411,905-913-2114,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Acheron College (Beaver Creek/Fenbrook),884408,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Johnson,,1240,2000 Beaver Creek Drive,Gravenhurst,Ontario,P1P1W9,705-687-1736,705-687-1841,Barrie Regional Office,,Secondary,All Year Round,Site based only,No
Acheron College (Collins Bay),880977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rod LeBlanc,,190,1455 Bath Road,Kingston,Ontario,K7L4V9,613-536-6295,613-536-4023,Ottawa Regional Office,,Secondary,All Year Round,,No
Acheron College (Grand Valley),669520,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Stuart,,,1575 Homer Watson Blvd.,Kitchener,Ontario,N2P2C5,519-895-8342,519-895-8230,London Regional Office,,Elem/Sec,All Year Round,Internet/Site Based,No
Acheron College (Joyceville/Pittsburgh),881692,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rod LeBlanc,,,3766 HWY 15 Joyceville,Kingston,Ontario,K0H1Y0,613-536-6598,613-536-6694,Ottawa Regional Office,,Secondary,All Year Round,,No
