OBJECTID;DT_MAJ_GDUNO;CD_IMM;CD_CS;NUM_IMM_CS;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;STAT_PROP_IMM;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;TYPE_CS;STYLE_CART
46;20201019;712074;712000;074;Rose-des-Vents, la;355, avenue de la Jeunesse;;10043;Rimouski;V;G5M1J2;1;1;0;0;0;Propriété de la CS;-68.46032;48.507544;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
47;20201019;711044;711000;044;Sainte-Irène;359, rue Principale;;07040;Sainte-Irène;P;G0J2P0;0;0;0;0;1;Propriété de la CS;-67.593224;48.434444;Éducation aux adultes;Franco;4_Imm_Franco_Fp_Adulte
48;20201019;712016;712000;016;Aux-Quatre-Vents;203, rue de l'Église;;09055;Saint-Octave-de-Métis;P;G0J3B0;1;1;0;0;0;Propriété de la CS;-68.080709;48.600222;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
49;20201019;712018;712000;018;Envol, l';41, du Couvent;;09048;Métis-sur-Mer;V;G0J1S0;1;1;0;0;0;Propriété de la CS;-67.964933;48.682145;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
50;20201019;811003;811000;003;Iris, aux;575, chemin du Bassin;;01023;Les Îles-de-la-Madeleine;M;G4T0C3;1;1;0;0;0;Propriété de la CS;-61.931938;47.221709;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
51;20201019;811005;811000;005;Notre-Dame-du-Sacré-Coeur;7, chemin de l'Église;;01023;Les Îles-de-la-Madeleine;M;G4T7C3;1;1;0;0;1;Propriété de la CS;-61.523973;47.560153;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
52;20201019;812005;812000;005;De l'Anse;398, 1re Avenue Ouest;;04037;Sainte-Anne-des-Monts;V;G4V1G9;1;1;0;0;0;Propriété de la CS;-66.519792;49.123071;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
53;20201019;813015;813000;015;Le Phare;110 route Clemville;;02047;Port-Daniel--Gascons;M;G0C2N0;1;1;0;0;0;Propriété de la CS;-64.981238;48.16554;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
54;20201019;813021;813000;021;Centre d'éducation des adultes l'Odyssée;501, rue Saint-Pie-X;;05032;Paspébiac;V;G0C2K0;0;0;0;1;1;Propriété de la CS;-65.257539;48.057043;Formation professionnelle - Éducation aux adultes;Franco;4_Imm_Franco_Fp_Adulte
55;20201019;712021;712000;021;Marie-Élisabeth;105, rue Plourde;;09025;Saint-Gabriel-de-Rimouski;M;G0K1M0;1;1;0;0;0;Propriété de la CS;-68.175426;48.423088;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
