OBJECTID,DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+
44,20201019,24600,École primaire Nussim,École Nussim du conseil de bande de Betsiamites,"4, rue Pulis C.P. 70",,96802,Pessamit,R,G0H1B0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-68.639676,48.941325,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
50,20201019,25600,École primaire Tshishteshinu,École primaire Tshishteshinu du conseil des Montagnais de Sept-Iles et Maliotenam,C. P. 430,,97804,Maliotenam,R,G0G2B0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-66.195302,50.21554,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
3,20201019,1600,École des pêches et de l'aquaculture,École des pêches et de l'aquaculture du Québec,"167, Grande-Allée Est C.P. 220",,2015,Grande-Rivière,V,G0C1V0,0,0,1,1,0,École gouvernementale,Gouvernemental,,-64.489245,48.395821,Secondaire - Formation professionnelle,1_Gouv,0,0,1,1,1
4,20201019,2600,École Amishk,École Amishk,"525, Uapileu",,91802,Mashteuiatsh,R,G0W2H0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-72.231613,48.577166,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
7,20201019,3600,Éc. secondaire de Pointe-Bleue,École secondaire Kassinu Mamu,507 rue Uapileu,,91802,Mashteuiatsh,R,G0W2H0,0,0,1,1,1,École gouvernementale,Gouvernemental,,-72.23134,48.576776,Secondaire - Formation professionnelle - Éducation aux adultes,1_Gouv,0,0,1,1,1
10,20201019,4600,École Wahta',École Wahta',"20, rue de l'Ours ",,23802,Wendake,R,G0A4V0,1,1,0,0,0,École gouvernementale,Gouvernemental,www.cnhw.qc.ca,-71.358567,46.864574,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
13,20201019,6600,"École Nationale du meuble, l'ébénisterie",École Nationale du meuble et de l'ébénisterie,"765, rue Notre-Dame Est ",,39062,Victoriaville,V,G6P4B3,0,0,1,1,0,École gouvernementale,Gouvernemental,http://victoriaville.ecolenationaledumeuble.ca,-71.93995,46.064478,Secondaire - Formation professionnelle,1_Gouv,0,0,1,1,1
17,20201019,7600,École Nikanik,École Nikanik,20 rue Waratinak,,90802,Wemotaci,R,G0X3R0,0,0,1,0,0,École gouvernementale,Gouvernemental,,-73.791461,47.900822,Secondaire,1_Gouv,0,0,1,1,0
18,20201019,8600,École Seskitin-Wemotaci,École Seskitin-Wemotaci,"39, rue Kenosi",,90802,Wemotaci,R,G0X3R0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-73.785481,47.903185,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
23,20201019,9600,École Simon P. Ottawa,École Simon P. Ottawa,"150, rue Wapoc ",,62802,Manawan,R,J0K1M0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-74.39054,47.222499,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
28,20201019,15600,École secondaire Otapi,École secondaire Otapi,"470, rue Otapi",,62802,Manawan,R,J0K1M0,0,0,1,0,0,École gouvernementale,Gouvernemental,,-74.394851,47.21608,Secondaire,1_Gouv,0,0,1,1,0
31,20201019,16600,École primaire Niska,École primaire Niska,"70, rue Niska ",,90804,Obedjiwan,R,G0W3B0,1,1,1,0,0,École gouvernementale,Gouvernemental,,-74.939492,48.654602,Préscolaire - Primaire - Secondaire,1_Gouv,1,1,1,1,0
34,20201019,17600,École secondaire Mikisiw,École secondaire Mikisiw,"92, rue Tcikatnaw ",,90804,Obedjiwan,R,G0W3B0,0,0,1,1,0,École gouvernementale,Gouvernemental,,-74.940843,48.659527,Secondaire - Formation professionnelle,1_Gouv,0,0,1,1,1
35,20201019,18600,École Migwan,École Migwan,70 rue Migwan,,88802,Pikogan,R,J9T3A3,1,1,0,0,0,École gouvernementale,Gouvernemental,,-78.119933,48.597759,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
