OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;TYPE_ORGNS;RESEAU;SITE_WEB;CD_ORGNS_RESP;NOM_ORGNS_RESP;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
42;20201019;024501;Académie Marie-Claire;Académie Marie-Claire;18190, boulevard Elkas;;66102;Kirkland;V;H9J3Y4;0;1;0;0;0;Installation;Privé;www.amcca.ca;024500;Académie Marie-Claire;-73.883374;45.443047;Primaire;2_Priv_Bat_Prim
43;20201019;024502;A. Marie-Claire, C. secondaire;Académie Marie-Claire, Campus secondaire;18190, boulevard Elkas;;66102;Kirkland;V;H9J3Y4;0;0;1;0;0;Installation;Privé;www.amcca.ca;024500;Académie Marie-Claire;-73.883374;45.443047;Secondaire;3_Priv_Bat_Secondaire
46;20201019;025501;Académie Marie-Laurier, Campus Brossard;Académie Marie-Laurier, Campus Brossard;1555, avenue Stravinski;;58007;Brossard;V;J4X2H5;1;1;1;0;0;Installation;Privé;www.marielaurier.com;025500;Académie Marie-Laurier;-73.492023;45.443681;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
47;20201019;025502;Académie Marie-Laurier, Campus Longueuil;Académie Marie-Laurier, Campus Longueuil;4410, rue Leckie;;58227;Longueuil;V;J3Y9E7;1;1;0;0;0;Installation;Privé;www.marielaurier.com;025500;Académie Marie-Laurier;-73.432031;45.519258;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
48;20201019;025503;Ac. Marie-Laurier, Collège Marie-Laurier;Académie Marie-Laurier, Collège Marie-Laurier;4405, rue Leckie;;58227;Longueuil;V;J3Y9E7;0;0;1;0;0;Installation;Privé;www.marielaurier.com;025500;Académie Marie-Laurier;-73.431878;45.51843;Secondaire;3_Priv_Bat_Secondaire
49;20201019;025504;Académie Marie-Laurier, Campus Candiac;Académie Marie-Laurier, Campus Candiac;151, boulevard Jean-Leman;;67020;Candiac;V;J5R4V5;1;1;0;0;0;Installation;Privé;;025500;Académie Marie-Laurier;-73.504814;45.377992;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
2;20201019;001501;Ac. Antoine Manseau;Académie Antoine Manseau;20, St-Charles-Borromée Sud C.P. 410;;61025;Joliette;V;J6E3Z9;0;0;1;0;0;Installation;Privé;www.amanseau.qc.ca;001500;Académie Antoine Manseau;-73.435402;46.02699;Secondaire;3_Priv_Bat_Secondaire
6;20201019;003501;L'Académie Beth Rivkah pour filles;L'Académie Beth Rivkah pour filles;5001, rue Vézina;;66023;Montréal;V;H3W1C2;1;1;1;0;0;Installation;Privé;;003500;L'Académie Beth Rivkah pour filles;-73.645687;45.494799;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
9;20201019;004501;Académie Chrétienne Rive Nord;Académie Chrétienne Rive Nord;790, 18e Avenue;;65005;Laval;V;H7R4P3;1;1;1;0;0;Installation;Privé;;004500;Académie Chrétienne Rive Nord;-73.851856;45.558793;Préscolaire - Primaire - Secondaire;5_Priv_Bat_Presc_Prim_Sec
12;20201019;006501;Académie François-Labelle;Académie François-Labelle;1227, rue Notre-Dame;;60013;Repentigny;V;J5Y3H2;1;1;0;0;0;Installation;Privé;www.academiefrancoislabelle.qc.ca;006500;Académie François-Labelle;-73.407863;45.778173;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
15;20201019;007501;Académie Ibn Sina, Campus présc. prim.;Académie Ibn Sina, Campus préscolaire et primaire;6500, 39e Avenue;;66023;Montréal;V;H1T2W8;1;1;0;0;0;Installation;Privé;www.ibnsina.ca;007500;Académie Ibn Sina;-73.571898;45.572364;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
16;20201019;007502;Académie Ibn Sina, Campus secondaire;Académie Ibn Sina, Campus secondaire;12190, avenue Brunet;;66023;Montréal;V;H1G5H2;0;0;1;0;0;Installation;Privé;www.ibnsina.ca;007500;Académie Ibn Sina;-73.635928;45.60964;Secondaire;3_Priv_Bat_Secondaire
20;20201019;009502;Académie Kells, campus secondaire;Académie Kells, campus secondaire;6865, boulevard De Maisonneuve Ouest;;66023;Montréal;V;H4B1T1;0;0;1;0;0;Installation;Privé;www.kells.ca;009500;Académie Kells;-73.631288;45.45948;Secondaire;3_Priv_Bat_Secondaire
21;20201019;009505;Académie Kells, campus présco. et prim.;Académie Kells, campus préscolaire et primaire;2290, boulevard Cavendish;;66023;Montréal;V;H4B2M7;1;1;0;0;0;Installation;Privé;www.kells.ca;009500;Académie Kells;-73.626665;45.462068;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
22;20201019;009506;Académie Kells;Académie Kells;6645, boulevard de Maisonneuve Ouest;;66023;Montréal;V;H4B2Y3;0;0;1;0;0;Installation;Privé;www.kells.ca;009500;Académie Kells;-73.626486;45.462141;Secondaire;3_Priv_Bat_Secondaire
