# of SCH,SCHOOL DIVISION NAME,DAN #,SCHOOL/PROGRAM NAME,ADDRESS,TOWN/CITY,PC,PHONE,GRADE RANGE, K-12 Total ,ISCED020,ISCED1,ISCED2,ISCED3
62.0,Chinook SD 211,2410121.0,Abbey Hutterite School,BOX 37,ABBEY,S0N 0A0,306-689-2260,Gr. 2-9, <10 ,0,1,1,0
,Chinook SD 211,710523.0,Bone Creek Hutterite,BOX 93,GULL LAKE,S0N 1A0,306-297-4104,Gr. 1-9,15,0,1,1,0
,Chinook SD 211,1710613.0,Box Elder Hutterite School,BOX 841,MAPLE CREEK,S0N 1N0,306-662-3481,Gr. K-10,12,1,1,1,1
,Chinook SD 211,2410213.0,Burstall School,BOX 9,BURSTALL,S0N 0H0,306-679-2230,Gr. K-8,41,1,1,1,0
,Chinook SD 211,711123.0,Butte Hutterite School,BOX 120,BRACKEN,S0N 0G0,306-298-2249,Gr. 1-9,19,0,1,1,0
,Chinook SD 211,1511303.0,Cabri School,BOX 349,CABRI,S0N 0J0,306-587-2229,Gr. K-12,128,1,1,1,1
,Chinook SD 211,2310821.0,Capeland Hutterite School,PO BOX 1809 STN MAIN,SWIFT CURRENT,S9H 4J8,306-784-2211,Gr. 1-10,25,0,1,1,1
,Chinook SD 211,1610613.0,Carmichael Hutterite School,BOX 30,GULL LAKE,S0N 1A0,306-672-3499,Gr. K-9,16,1,1,1,0
,Chinook SD 211,1550201.0,Central School,121  DUFFERIN STREET W,SWIFT CURRENT,S9H 0R2,306-778-9255,Gr. K-8,232,1,1,1,0
,Chinook SD 211,810113.0,Consul School,BOX 179,CONSUL,S0N 0P0,306-299-2044,Gr. K-12,76,1,1,1,1
,Chinook SD 211,810213.0,Creston Bench Hutterian School,BOX 33,SHAUNAVON,S0N 2M0,306-297-2648,Gr. K-10,16,1,1,1,1
,Chinook SD 211,1710313.0,Cypress Hutterite School,BOX 716,MAPLE CREEK,S0N 1N0,306-662-3149,Gr. K-12,15,1,1,1,1
,Chinook SD 211,1710113.0,Downie Lake Hutterite School,BOX 326,MAPLE CREEK,S0N 1N0,306-662-3462,Gr. K-10,11,1,1,1,1
,Chinook SD 211,1610703.0,Earview Hutterian School,PO BOX 1809 STN MAIN,SWIFT CURRENT,S9H 4J8,306-672-3434,Gr. 1-9,11,0,1,1,0
,Chinook SD 211,810313.0,East Fairwell Hutterian School,BOX 546,EASTEND,S0N 0T0,306-295-3288,Gr. 2-12,20,0,1,1,1
,Chinook SD 211,810413.0,Eastend School,BOX 69,EASTEND,S0N 0T0,306-295-3601,Gr. K-12,94,1,1,1,1
,Chinook SD 211,1511343.0,école Centennial School,2220 WOODROW LLOYD PLACE,SWIFT CURRENT,S9H 5R2,306-778-9240,Gr. K-8,562,1,1,1,0
,Chinook SD 211,2410413.0,Estuary Hutterite School,BOX 760,LEADER,S0N 1H0,306-628-4116,Gr. 1-10,25,0,1,1,1
,Chinook SD 211,1550501.0,Fairview School,859  5TH AVENUE SW,SWIFT CURRENT,S9H 3H6,306-778-9265,Gr. K-8,268,1,1,1,0
,Chinook SD 211,1710413.0,Fox Valley School,BOX 208,FOX VALLEY,S0N 0V0,306-666-2144,Gr. K-12,118,1,1,1,1
,Chinook SD 211,1510111.0,Friesen Hutterite School,PO BOX 216,WALDECK,S0H 4J0,306-784-2797,Gr. K-K, <10 ,1,0,0,0
,Chinook SD 211,810513.0,Frontier School,BOX 126,FRONTIER,S0N 0W0,306-296-2040,Gr. K-12,148,1,1,1,1
,Chinook SD 211,810111.0,Garden Plane Colony School,PO BOX 150,FRONTIER,S0N 0W0,,Gr. K-10,24,1,1,1,1
,Chinook SD 211,710533.0,Grassy Hill Hutterite School,PO BOX 417,TOMPKINS,S0N 2S0,306-622-2083,Gr. K-9,11,1,1,1,0
,Chinook SD 211,1610223.0,Gull Lake School,BOX 599,GULL LAKE,S0N 1A0,306-672-4186,Gr. K-12,247,1,1,1,1
,Chinook SD 211,1711113.0,Haven Hutterite School,PO BOX 668,LEADER,S0N 1H0,306-628-3340,Gr. 1-9,23,0,1,1,0
,Chinook SD 211,1610313.0,Hazlet School,BOX 90,HAZLET,S0N 1E0,306-678-2133,Gr. K-12,66,1,1,1,1
,Chinook SD 211,2310523.0,Herbert School,BOX 670,HERBERT,S0H 2A0,306-784-2454,Gr. K-12,191,1,1,1,1
,Chinook SD 211,2310623.0,Hodgeville School,BOX 160,HODGEVILLE,S0H 2B0,306-677-2393,Gr. K-12,55,1,1,1,1
,Chinook SD 211,,Home-based School,,,,,Gr. K-11,135,1,1,1,1
,Chinook SD 211,711213.0,Hulbert Hutterite School,BOX 37,PONTEIX,S0N 1Z0,306-625-3655,Gr. K-9,18,1,1,1,0
,Chinook SD 211,2410613.0,Leader Composite School,BOX 610,LEADER,S0N 1H0,306-628-3895,Gr. K-12,222,1,1,1,1
,Chinook SD 211,1710833.0,Maple Creek Composite School,PO BOX 369,MAPLE CREEK,S0N 1N0,306-662-2655,Gr. 6-12,246,0,1,1,1
,Chinook SD 211,1570403.0,Maverick School,580 6TH AVE SE,SWIFT CURRENT,S9H 3P6,306-778-9260,Gr. 10-12,73,0,0,0,1
,Chinook SD 211,1510213.0,McMahon Colony School,P.O. BOX 490,SWIFT CURRENT,S9H 3V3,306-627-3616,Gr. 1-9,12,0,1,1,0
,Chinook SD 211,2310633.0,Norfolk Hutterite School,BOX 357,HODGEVILLE,S0H 2B0,306-677-2256,Gr. K-10,16,1,1,1,1
,Chinook SD 211,1550901.0,O.M. Irwin School,999  GEORGE STREET E,SWIFT CURRENT,S6H 1Z3,306-778-9270,Gr. K-8,348,1,1,1,0
,Chinook SD 211,710813.0,Pelletier Hill Hutterite School,R.R. #1,ADMIRAL,S0N 0B0,306-297-6304,Gr. K-9,19,1,1,1,0
,Chinook SD 211,1510113.0,Pennant Colony School,BOX 38,PENNANT,S0N 1X0,,Gr. K-10,11,1,1,1,1
,Chinook SD 211,710623.0,Ponteix School,BOX 630,PONTEIX,S0N 1Z0,306-625-3277,Gr. K-12,110,1,1,1,1
,Chinook SD 211,1511213.0,Ruskin Hutterian School,PO BOX 894 STN MAIN,SWIFT CURRENT,S9H 3W8,306-773-0217,Gr. K-10, <10 ,1,1,1,1
,Chinook SD 211,710513.0,Sand Lake Hutterite Elementary,BOX 278,VAL MARIE,S0N 2T0,306-298-2006,Gr. 1-8,18,0,1,1,0
,Chinook SD 211,711013.0,Shaunavon High School,BOX 1148,SHAUNAVON,S0N 2M0,306-297-2733,Gr. 8-12,147,0,0,1,1
,Chinook SD 211,710911.0,Shaunavon Public School,BOX 1628,SHAUNAVON,S0N 2M0,306-297-2751,Gr. K-7,162,1,1,1,0
,Chinook SD 211,1710821.0,Sidney Street School,BOX 69,MAPLE CREEK,S0N 1N0,306-662-2510,Gr. K-5,213,1,1,0,0
,Chinook SD 211,810411.0,Sierra Hutterite School,BOX 33,SHAUNAVON,S0N 2M0,306-295-1200,Gr. K-9,12,1,1,1,0
,Chinook SD 211,2310531.0,Southland Hutterite School,BOX 459,HERBERT,S0H 2A0,306-784-2606,Gr. K-9,20,1,1,1,0
,Chinook SD 211,1710213.0,Spring Creek Hutterite School,BOX 29,WALSH,T0J 3L0,(403) 937-3798,Gr. K-10,17,1,1,1,1
,Chinook SD 211,1511323.0,Spring Lake Hutterite School,BOX 35,SWIFT CURRENT,S9H 3V5,306-627-3510,Gr. K-9,15,1,1,1,0
,Chinook SD 211,1510711.0,Stewart Valley School,BOX 70,STEWART VALLEY,S0N 2P0,306-773-2141,Gr. K-8,37,1,1,1,0
,Chinook SD 211,1510813.0,Success School,BOX 10,SUCCESS,S0N 2R0,306-773-7906,Gr. K-9,54,1,1,1,0
,Chinook SD 211,710713.0,Sunset Hutterite School,BOX 67,ADMIRAL,S0N 0B0,306-297-2218,Gr. K-9,16,1,1,1,0
,Chinook SD 211,1570304.0,Swift Current Comprehensive High School,1100  11TH AVENUE NE,SWIFT CURRENT,S9H 2V6,306-773-2801,Gr. 9-12,"1,018",0,0,1,1
