# of SCH,SCHOOL DIVISION NAME,DAN #,SCHOOL/PROGRAM NAME,ADDRESS,TOWN/CITY,PC,PHONE,GRADE RANGE, K-12 Total ,ISCED020,ISCED1,ISCED2,ISCED3
62,Chinook SD 211,2410121,Abbey Hutterite School,BOX 37,ABBEY,S0N 0A0,306-689-2260,Gr. 2-9, <10 ,0,1,1,0
,Chinook SD 211,710523,Bone Creek Hutterite,BOX 93,GULL LAKE,S0N 1A0,306-297-4104,Gr. 1-9,15,0,1,1,0
,Chinook SD 211,1710613,Box Elder Hutterite School,BOX 841,MAPLE CREEK,S0N 1N0,306-662-3481,Gr. K-10,12,1,1,1,1
,Chinook SD 211,2410213,Burstall School,BOX 9,BURSTALL,S0N 0H0,306-679-2230,Gr. K-8,41,1,1,1,0
,Chinook SD 211,711123,Butte Hutterite School,BOX 120,BRACKEN,S0N 0G0,306-298-2249,Gr. 1-9,19,0,1,1,0
,Chinook SD 211,1511303,Cabri School,BOX 349,CABRI,S0N 0J0,306-587-2229,Gr. K-12,128,1,1,1,1
,Chinook SD 211,2310821,Capeland Hutterite School,PO BOX 1809 STN MAIN,SWIFT CURRENT,S9H 4J8,306-784-2211,Gr. 1-10,25,0,1,1,1
,Chinook SD 211,1610613,Carmichael Hutterite School,BOX 30,GULL LAKE,S0N 1A0,306-672-3499,Gr. K-9,16,1,1,1,0
,Chinook SD 211,1550201,Central School,121  DUFFERIN STREET W,SWIFT CURRENT,S9H 0R2,306-778-9255,Gr. K-8,232,1,1,1,0
,Chinook SD 211,810113,Consul School,BOX 179,CONSUL,S0N 0P0,306-299-2044,Gr. K-12,76,1,1,1,1
,Chinook SD 211,810213,Creston Bench Hutterian School,BOX 33,SHAUNAVON,S0N 2M0,306-297-2648,Gr. K-10,16,1,1,1,1
,Chinook SD 211,1710313,Cypress Hutterite School,BOX 716,MAPLE CREEK,S0N 1N0,306-662-3149,Gr. K-12,15,1,1,1,1
,Chinook SD 211,1710113,Downie Lake Hutterite School,BOX 326,MAPLE CREEK,S0N 1N0,306-662-3462,Gr. K-10,11,1,1,1,1
,Chinook SD 211,1610703,Earview Hutterian School,PO BOX 1809 STN MAIN,SWIFT CURRENT,S9H 4J8,306-672-3434,Gr. 1-9,11,0,1,1,0
,Chinook SD 211,810313,East Fairwell Hutterian School,BOX 546,EASTEND,S0N 0T0,306-295-3288,Gr. 2-12,20,0,1,1,1
,Chinook SD 211,810413,Eastend School,BOX 69,EASTEND,S0N 0T0,306-295-3601,Gr. K-12,94,1,1,1,1
,Chinook SD 211,1511343,école Centennial School,2220 WOODROW LLOYD PLACE,SWIFT CURRENT,S9H 5R2,306-778-9240,Gr. K-8,562,1,1,1,0
,Chinook SD 211,2410413,Estuary Hutterite School,BOX 760,LEADER,S0N 1H0,306-628-4116,Gr. 1-10,25,0,1,1,1
,Chinook SD 211,1550501,Fairview School,859  5TH AVENUE SW,SWIFT CURRENT,S9H 3H6,306-778-9265,Gr. K-8,268,1,1,1,0
