Unnamed: 0,name,address,phone,grades,ISCED020,ISCED1,ISCED2,ISCED3
0,Aurora Virtual School,"4201 4th Avenue, Whitehorse Y1A 5A1",867-456-6777,K to 12,1,1,1,1
1,Aurora Virtual School,"4201 4th Avenue, Whitehorse Y1A 5A1",867-456-6777,K to 12,1,1,1,1
2,Centre scolaire secondaire communautaire Paul-Émile-Mercier (CSSC Mercier),"20 Falcon Drive, Whitehorse Y1A 6B2",867-667-8150,7 to 12,0,0,1,1
3,Chief Zzeh Gittlit School,"Box 93, Old Crow Y0B 1N0",867-966-3151,K to 9,1,1,1,0
4,Christ the King Elementary School,"20 Nisutlin Drive, Whitehorse Y1A 3S5",867-667-3527,K to 7,1,1,1,0
5,Del Van Gorder School,"Box 160, Faro Y0B 1K0Campbell",867-994-2760,K to 12,1,1,1,1
6,École Émilie-Tremblay,"20 Falcon Drive, Whitehorse Y1A 6B2",867-667-8150,k to 6,1,1,0,0
7,École Whitehorse Elementary School,"4181 4th Avenue, Whitehorse Y1A 1J7",867-667-8083,K to 7,1,1,1,0
8,Elijah Smith Elementary School,"1399 Hamilton Boulevard, Whitehorse Y1A 6G3",867-667-5992,K to 7,1,1,1,0
9,Eliza Van Bibber School,"Box 30, Pelly Crossing Y0B 1P0",867-537-3231,K to 12,1,1,1,1
10,F.H. Collins Secondary School,"1001 Lewes Boulevard, Whitehorse Y1A 3J1",867-667-8665,8 to 12,0,0,1,1
11,Gadzoosdaa Student Residence,"15 Selkirk Street, Whitehorse Y1A 3J5",867-667-8067,10 to 12,0,0,0,1
12,Ghùch Tlâ Community School,"202 Austin Street, Carcross Y0B 1B0",867-821-2929,K to 9,1,1,1,0
13,Golden Horn Elementary School,"Lot 209 Duncan Drive, Whitehorse Y1A 7A1",867-667-8130,K to 7,1,1,1,0
14,Grey Mountain Primary School,"186 Alsek Road, Whitehorse Y1A 4N9",867-667-5189,K to 3,1,1,0,0
15,Hidden Valley Elementary School,"5 MacPherson Road, Whitehorse Y1A5S3",867-667-8164,K to 7,1,1,1,0
16,Holy Family Elementary School,"55 Wann Road, Whitehorse Y1A5X4",867-667-3500,K to 7,1,1,1,0
17,Individual Learning Centre,"Suite 500, 4201-4th Avenue, Whitehorse Y1A 5A1",867-667-8288,9 to 12,0,0,1,1
18,J.V. Clark School,"302 7th Avenue, Mayo Y0B 1M0",867-996-2275,K to 12,1,1,1,1
19,Jack Hulland Elementary School,"1304 Fir Street, Whitehorse Y1A 4C4",867-667-8496,K to 7,1,1,1,0
20,Johnson Elementary School,"801 Ravenhill Drive, Watson Lake Y0A 1C0",867-536-7333,K to 7,1,1,1,0
21,Khàtìnas.àxh Community School,"#1 School Road, Teslin Y0A 1B0",867-390-2570,K to 9,1,1,1,0
22,Kluane Lake School,Destruction Bay Y0B 1H0,867-841-4506,K to 8,1,1,1,0
23,Nelnah Bessie John School,"Box 68, Beaver Creek Y0B 1A0",867-862-7250,K to 9,1,1,1,0
24,Porter Creek Secondary School,"1405 Hickory Street, Whitehorse Y1A 4M4",867-667-8044,8 to 12,0,0,1,1
25,Robert Service School,"967 – 5th Avenue, Dawson City Y0B 1G0",867-993-5435,K to 12,1,1,1,1
26,Ross River School,"241 Ross River Avenue, Ross River Y0B 1S0",867-996-2216,K to 12,1,1,1,1
27,Selkirk Elementary School,"5 Selkirk Street, Whitehorse Y1A 3J5",867-667-3688,K to 7,1,1,1,0
28,St. Elias Community School,"100 St. Elias Street, Haines Junction Y0B 1L0",867-634-2231,K to 12,1,1,1,1
29,Takhini Elementary School,"526 Range Road, Whitehorse Y1A 3A3",867-667-3625,K to 7,1,1,1,0
30,Tantalus School,"121 Tantalus Crescent, Carmacks Y0B 1C0",867-863-5371,K to 12,1,1,1,1
31,Teen Parent Centre,"1001B Lewes Blvd, Whitehorse Y1A 5P9",867-667-3421,8 to 12,0,0,1,1
32,Vanier Catholic Secondary School,"16 Duke Street, Whitehorse Y1A 4M2",867-667-5901,8 to 12,0,0,1,1
33,Watson Lake Secondary School,"210 Robert Campbell Highway, Watson Lake Y0A 1C0",867-536-2501,8 to 12,0,0,1,1
34,Wood Street Centre,411 Wood Street,867-667-8413,9 to 12,0,0,1,1
