idx,facility_name,source_id,authority_type,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
0,Special Centre,1,Provincial,N,N,N,10044 - 108 Street Edmonton AB T5J5E6,Edmonton,AB,T5J5E6,Province of Alberta,10044 108 street edmonton ab t5j5e6,10044,108 street
1,Prairiehome Colony School,9,Public,Y,Y,N,6302 - 56 Street Taber AB T1G1Z9,Taber,AB,T1G1Z9,Province of Alberta,6302 56 street taber ab t1g1z9,6302,56 street
2,Spring Valley Colony School,11,Public,Y,Y,N,Box 10 Cardston AB T0K0K0,Cardston,AB,T0K0K0,Province of Alberta,cardston ab t0k0k0,,
3,FFCA High School Campus,12,Charter,N,Y,Y,2116 McKay Road N.W. Calgary AB T3B1C7,Calgary,AB,T3B1C7,Province of Alberta,2116 mckay road nw calgary ab t3b1c7,2116,mckay road nw
4,The Chinese Academy,13,Private School,N,N,Y,"#191, 1518 Centre Street N.E. Calgary AB T2E2R9",Calgary,AB,T2E2R9,Province of Alberta,#191 1518 centre street ne calgary ab t2e2r9,1518,centre street ne
5,Tompkins Mennonite School,14,Private School,N,N,N,P.O. Box 988 La Crete AB T0H2H0,La Crete,AB,T0H2H0,Province of Alberta,la crete ab t0h2h0,,
6,Centre High,17,Public,N,N,Y,Suite 200 10310 - 102 Avenue Edmonton AB T5J5A2,Edmonton,AB,T5J5A2,Province of Alberta,10310 102 avenue edmonton ab t5j5a2,10310,102 avenue
7,The Academy at King Edward,18,Public,Y,Y,Y,8525 - 101 Street Edmonton AB T6E3Z4,Edmonton,AB,T6E3Z4,Province of Alberta,8525 101 street edmonton ab t6e3z4,8525,101 street
8,Westlock Outreach,19,Public,N,Y,Y,"#1, 9919 - 106 Street Westlock AB T7P2K1",Westlock,AB,T7P2K1,Province of Alberta,#1 9919 106 street westlock ab t7p2k1,9919,106 street
9,Trinity Learning Centre,20,Separate,N,N,Y,405 - 18 Street S. Lethbridge AB T1J3E5,Lethbridge,AB,T1J3E5,Province of Alberta,405 18 street s lethbridge ab t1j3e5,405,18 street s
