idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
0,'Na Aksa Gyilak'yoo,8297024,Independent School,K-12,Standard School,PO Box 544 STN Main Terrace BC V8G 4B5,PO Box 544 STN Main,Terrace,BC,V8G 4B5,Province of British Columbia,stn main terrace bc v8g 4b5,,
1,100 Mile House Elementary,2727012,Public School,K-7,Standard School,PO Box 460 100 Mile House BC V0K 2E0,PO Box 460,100 Mile House,BC,V0K 2E0,Province of British Columbia,100 mile house bc v0k 2e0,,
2,100 Mile StrongStart Centre,2725035,StrongStart BC,Pre-K,Early Learning Program,PO Box 460 100 Mile House BC V0K 2E0,PO Box 460,100 Mile House,BC,V0K 2E0,Province of British Columbia,100 mile house bc v0k 2e0,,
3,150 Mile Elementary,2727027,Public School,K-6,Standard School,PO Box 259 150 Mile House BC V0K 2G0,PO Box 259,150 Mile House,BC,V0K 2G0,Province of British Columbia,150 mile house bc v0k 2g0,,
4,?A'q'amnik Primary School,597007,Independent School,K-6,Standard School,7500 Mission Rd Cranbrook BC V1C 7E5,7500 Mission Rd,Cranbrook,BC,V1C 7E5,Province of British Columbia,7500 mission rd cranbrook bc v1c 7e5,7500,mission rd
5,@ KOOL,7399103,Public School,"K-12, EU, SU, GA",Distributed Learning Programs,1770 Springview Pl Kamloops BC V2E 1X9,1770 Springview Pl,Kamloops,BC,V2E 1X9,Province of British Columbia,1770 springview pl kamloops bc v2e 1x9,1770,springview pl
6,A D Rundle Middle School,3333033,Public School,08-Jun,Standard School,45660 Hocking Ave Chilliwack BC V2P 1A1,45660 Hocking Ave,Chilliwack,BC,V2P 1A1,Province of British Columbia,45660 hocking ave chilliwack bc v2p 1a1,45660,hocking ave
7,A E Perry Elementary,7324039,Public School,K-6,Standard School,1380 Sherbrooke Ave Kamloops BC V2B 1W9,1380 Sherbrooke Ave,Kamloops,BC,V2B 1W9,Province of British Columbia,1380 sherbrooke ave kamloops bc v2b 1w9,1380,sherbrooke ave
8,A E Perry StrongStart Centre,7325427,StrongStart BC,Pre-K,Early Learning Program,1380 Sherbrooke Ave Kamloops BC V2B 1W9,1380 Sherbrooke Ave,Kamloops,BC,V2B 1W9,Province of British Columbia,1380 sherbrooke ave kamloops bc v2b 1w9,1380,sherbrooke ave
9,A H P Matthew Elementary,3636051,Public School,K-7,Standard School,13367 97 Ave Surrey BC V3T 1A4,13367 97 Ave,Surrey,BC,V3T 1A4,Province of British Columbia,13367 97 ave surrey bc v3t 1a4,13367,97 ave
10,A J Elliott Elementary,8585001,Public School,K-7,Standard School,PO Box 149 Sointula BC V0N 3E0,PO Box 149,Sointula,BC,V0N 3E0,Province of British Columbia,sointula bc v0n 3e0,,
11,A J McLellan Elementary,3636178,Public School,K-7,Standard School,16545 61 Ave Surrey BC V3S 5V4,16545 61 Ave,Surrey,BC,V3S 5V4,Province of British Columbia,16545 61 ave surrey bc v3s 5v4,16545,61 ave
12,A L Fortune Secondary,8389002,Public School,12-Jul,Standard School,500 Bass Ave Enderby BC V0E 1V2,500 Bass Ave,Enderby,BC,V0E 1V2,Province of British Columbia,500 bass ave enderby bc v0e 1v2,500,bass ave
13,A S Matheson Elementary,2323031,Public School,K-6,Standard School,2090 Gordon Dr Kelowna BC V1Y 3H9,2090 Gordon Dr,Kelowna,BC,V1Y 3H9,Province of British Columbia,2090 gordon dr kelowna bc v1y 3h9,2090,gordon dr
14,A S Matheson StrongStart Centre,2325033,StrongStart BC,Pre-K,Early Learning Program,2090 Gordon Dr Kelowna BC V1Y 3H9,2090 Gordon Dr,Kelowna,BC,V1Y 3H9,Province of British Columbia,2090 gordon dr kelowna bc v1y 3h9,2090,gordon dr
15,A W Neill StrongStart Centre,7025172,StrongStart BC,Pre-K,Early Learning Program,5055 Compton Rd Port Alberni BC V9Y 7B5,5055 Compton Rd,Port Alberni,BC,V9Y 7B5,Province of British Columbia,5055 compton rd port alberni bc v9y 7b5,5055,compton rd
16,A W Neill Elementary,7070028,Public School,K-7,Standard School,5055 Compton Rd Port Alberni BC V9Y 7B5,5055 Compton Rd,Port Alberni,BC,V9Y 7B5,Province of British Columbia,5055 compton rd port alberni bc v9y 7b5,5055,compton rd
17,A.R. MacNeill Secondary,3838064,Public School,12-Aug,Standard School,6611 No. 4 Rd Richmond BC V6Y 2T2,6611 No. 4 Rd,Richmond,BC,V6Y 2T2,Province of British Columbia,6611 no 4 rd richmond bc v6y 2t2,6611,no 4 rd
18,Aatse Davie School,8797074,Independent School,K-12,Standard School,PO Box 79 Fort Ware BC V0J 3B0,PO Box 79,Fort Ware,BC,V0J 3B0,Province of British Columbia,fort ware bc v0j 3b0,,
19,Abbotsford Christian School,3496069,Independent School,K-12,Standard School,35011 Old Clayburn Rd Abbotsford BC V2S 7L7,35011 Old Clayburn Rd,Abbotsford,BC,V2S 7L7,Province of British Columbia,35011 old clayburn rd abbotsford bc v2s 7l7,35011,old clayburn rd
20,Abbotsford Middle School,3434025,Public School,08-Jun,Standard School,33231 Bevan Ave Abbotsford BC V2S 0A9,33231 Bevan Ave,Abbotsford,BC,V2S 0A9,Province of British Columbia,33231 bevan ave abbotsford bc v2s 0a9,33231,bevan ave
21,Abbotsford Senior Secondary School,3434022,Public School,12-Sep,Standard School,33355 Bevan Ave Abbotsford BC V2S 0E7,33355 Bevan Ave,Abbotsford,BC,V2S 0E7,Province of British Columbia,33355 bevan ave abbotsford bc v2s 0e7,33355,bevan ave
22,Abbotsford Traditional Middle School,3434020,Public School,08-Jun,Standard School,2272 Windsor St Abbotsford BC V2T 6M1,2272 Windsor St,Abbotsford,BC,V2T 6M1,Province of British Columbia,2272 windsor st abbotsford bc v2t 6m1,2272,windsor st
23,Abbotsford Traditional Senior Secondary,3434061,Public School,12-Sep,Standard School,2272 Windsor St Abbotsford BC V2T 6M1,2272 Windsor St,Abbotsford,BC,V2T 6M1,Province of British Columbia,2272 windsor st abbotsford bc v2t 6m1,2272,windsor st
24,Abbotsford Virtual School,3499101,Public School,"K-12, GA",Distributed Learning Programs,33952 Pine St Abbotsford BC V2S 2P3,33952 Pine St,Abbotsford,BC,V2S 2P3,Province of British Columbia,33952 pine st abbotsford bc v2s 2p3,33952,pine st
25,Aberdeen Elementary,3434026,Public School,K-5,Standard School,2975 Bradner Rd Abbotsford BC V4X 1K6,2975 Bradner Rd,Abbotsford,BC,V4X 1K6,Province of British Columbia,2975 bradner rd abbotsford bc v4x 1k6,2975,bradner rd
26,Aberdeen Elementary,7324071,Public School,K-7,Standard School,2191 Van Horne Dr Kamloops BC V1S 1L9,2191 Van Horne Dr,Kamloops,BC,V1S 1L9,Province of British Columbia,2191 van horne dr kamloops bc v1s 1l9,2191,van horne dr
27,Aberdeen Hall Preparatory School,2396689,Independent School,K-5,Standard School,950 Academy Way Kelowna BC V1V 3A4,950 Academy Way,Kelowna,BC,V1V 3A4,Province of British Columbia,950 academy way kelowna bc v1v 3a4,950,academy way
28,Aberdeen Hall Senior,2396825,Independent School,12-Jun,Standard School,890 Academy Way Kelowna BC V1V 3A4,890 Academy Way,Kelowna,BC,V1V 3A4,Province of British Columbia,890 academy way kelowna bc v1v 3a4,890,academy way
29,Acwsalcta Band School,4997170,Independent School,K-12,Standard School,PO Box 778 Bella Coola BC V0T 1C0,PO Box 778,Bella Coola,BC,V0T 1C0,Province of British Columbia,bella coola bc v0t 1c0,,
30,Adam Robertson Elementary,886004,Public School,K-7,Standard School,PO Box 1549 421 9 Ave n Creston BC V0B 1G0,PO Box 1549 421 9 Ave n,Creston,BC,V0B 1G0,Province of British Columbia,421 9 ave n creston bc v0b 1g0,421,9 ave n
31,Adams Road Elementary,3636153,Public School,K-7,Standard School,18228 68 Ave Surrey BC V3S 9H5,18228 68 Ave,Surrey,BC,V3S 9H5,Province of British Columbia,18228 68 ave surrey bc v3s 9h5,18228,68 ave
32,Admiral Seymour Elementary,3939032,Public School,K-7,Standard School,1130 Keefer St Vancouver BC V6A 1Z3,1130 Keefer St,Vancouver,BC,V6A 1Z3,Province of British Columbia,1130 keefer st vancouver bc v6a 1z3,1130,keefer st
33,Admiral Seymour StrongStart Centre,3925416,StrongStart BC,Pre-K,Early Learning Program,1130 Keefer St Vancouver BC V6A 1Z3,1130 Keefer St,Vancouver,BC,V6A 1Z3,Province of British Columbia,1130 keefer st vancouver bc v6a 1z3,1130,keefer st
34,Adolescent Psychiatric Program,2395064,Public School,No Enrolment Reported,Short Term PRP,1940 Underhill St Kelowna BC V1X 5X7,1940 Underhill St,Kelowna,BC,V1X 5X7,Province of British Columbia,1940 underhill st kelowna bc v1x 5x7,1940,underhill st
35,Adolescent Psychiatric Unit Prog,3695058,Public School,No Enrolment Reported,Short Term PRP,14033 92 Ave Surrey BC V3V 0B7,14033 92 Ave,Surrey,BC,V3V 0B7,Province of British Columbia,14033 92 ave surrey bc v3v 0b7,14033,92 ave
36,Adult Education SD#23,2323000,Public School,"12, SU, GA",Continuing Education,1825 Richter St Kelowna BC V1Y 2M8,1825 Richter St,Kelowna,BC,V1Y 2M8,Province of British Columbia,1825 richter st kelowna bc v1y 2m8,1825,richter st
37,Adult Learning Centre,7979000,Public School,"11-12, SU, GA",Continuing Education,1033 Nagle St Duncan BC V9L 2E6,1033 Nagle St,Duncan,BC,V9L 2E6,Province of British Columbia,1033 nagle st duncan bc v9l 2e6,1033,nagle st
38,Advance Alternate,3599201,Public School,12-Nov,Alternate Programs,26850 29 Ave Aldergrove BC V4W 3C1,26850 29 Ave,Aldergrove,BC,V4W 3C1,Province of British Columbia,26850 29 ave aldergrove bc v4w 3c1,26850,29 ave
39,Agassiz Centre for Education,7899183,Public School,12-Aug,Alternate Programs,PO Box 69 Agassiz BC V0M 1A0,PO Box 69,Agassiz,BC,V0M 1A0,Province of British Columbia,agassiz bc v0m 1a0,,
40,Agassiz Christian School,7896105,Independent School,K-7,Standard School,7571 Morrow Rd Agassiz BC V0M 1A2,7571 Morrow Rd,Agassiz,BC,V0M 1A2,Province of British Columbia,7571 morrow rd agassiz bc v0m 1a2,7571,morrow rd
41,Agassiz Elem-Secondary,7876003,Public School,12-Jul,Standard School,PO Box 1100 Agassiz BC V0M 1A0,PO Box 1100,Agassiz,BC,V0M 1A0,Province of British Columbia,agassiz bc v0m 1a0,,
42,Agnes L Mathers Elementary Secondary,5050004,Public School,K-7,Standard School,PO Box 227 Sandspit BC V0T 1T0,PO Box 227,Sandspit,BC,V0T 1T0,Province of British Columbia,sandspit bc v0t 1t0,,
43,Agnes L Mathers StrongStart Centre,5025149,StrongStart BC,Pre-K,Early Learning Program,PO Box 227 Sandspit BC V0T 1T0,PO Box 227,Sandspit,BC,V0T 1T0,Province of British Columbia,sandspit bc v0t 1t0,,
44,Airport Elementary,7171077,Public School,K-7,Standard School,PO Box 40 Lazo BC V0R 2K0,PO Box 40,Lazo,BC,V0R 2K0,Province of British Columbia,lazo bc v0r 2k0,,
45,Al-Hidayah School,4096747,Independent School,K-7,Standard School,7 - 6th St New Westminster BC V3L 2Y7,7 - 6th St,New Westminster,BC,V3L 2Y7,Province of British Columbia,7 6th st new westminster bc v3l 2y7,7,6th st
46,Alberni District Secondary,7070001,Public School,12-Aug,Standard School,4000 Roger St Port Alberni BC V9Y 0B1,4000 Roger St,Port Alberni,BC,V9Y 0B1,Province of British Columbia,4000 roger st port alberni bc v9y 0b1,4000,roger st
47,Alberni Elementary,7070006,Public School,K-7,Standard School,4645 Helen St Port Alberni BC V9Y 6P6,4645 Helen St,Port Alberni,BC,V9Y 6P6,Province of British Columbia,4645 helen st port alberni bc v9y 6p6,4645,helen st
48,Albert McMahon Elementary,7575028,Public School,K-6,Standard School,32865 Cherry Ave Mission BC V2V 2V1,32865 Cherry Ave,Mission,BC,V2V 2V1,Province of British Columbia,32865 cherry ave mission bc v2v 2v1,32865,cherry ave
49,Albion Elementary,4242005,Public School,K-7,Standard School,10031 240th St Maple Ridge BC V2W 1G2,10031 240th St,Maple Ridge,BC,V2W 1G2,Province of British Columbia,10031 240th st maple ridge bc v2w 1g2,10031,240th st
