idx,facility_name,source_id,authority_type,address_str,province,ISCED4+,provider,address_str_clean,street_no,street_name
0,"College of the North Atlantic, Bay St. George campus",JJAB,Junior College,"Stephenville Campus, P.O. Box 5400, 432 Massachusetts Drive, Stephenville, Newfoundland and Labrador, Canada, (709) 643-7730",NL,1,Employment and Social Development Canada,stephenville campus 432 massachusetts drive stephenville newfoundland and labrador canada 643 7730,432,massachusetts drive
1,Centre for Nursing Studies,JNAE,Nursing Schools,"100 Forest Road, Southcott Hall, Room 1007, St. John's, Newfoundland and Labrador, Canada, 7097776644",NL,1,Employment and Social Development Canada,100 forest road southcott hall room 1007 st john's newfoundland and labrador canada 7097776644,100,forest road southcott hall
2,"Keyin College, St. John's",JPAC,Private Institution,"P.O. Box 13609 Stn. A, 44 Austin Street, St. John's, Newfoundland and Labrador, Canada, (709) 579-1061",NL,1,Employment and Social Development Canada,stn a 44 austin street st john's newfoundland and labrador canada 579 1061,44,austin street
3,Eastern Academy,JPAE,Private Institution,"22 Pearl Place, St. John's, Newfoundland and Labrador, Canada, (709) 722-8580",NL,1,Employment and Social Development Canada,22 pearl place st john's newfoundland and labrador canada 722 8580,22,pearl place
4,Academy Canada - Corner Brook Campus,JPAL,Private Institution,"2 University Drive, P.O. Box 366, Corner Brook, Newfoundland and Labrador, Canada, 7096372100",NL,1,Employment and Social Development Canada,2 university drive corner brook newfoundland and labrador canada 7096372100,2,university drive
5,BAC Training Centre Inc.,JPAN,Private Institution,"631 Conception Bay Highway, Conception Bay South, Newfoundland and Labrador, Canada, (709) 834-4085",NL,1,Employment and Social Development Canada,631 conception bay highway conception bay south newfoundland and labrador canada 834 4085,631,conception bay highway
6,"Keyin College, Carbonear",JPAS,Private Institution,"81 Lemarchant Street, Carbonear, Newfoundland and Labrador, Canada, (709) 596-6472",NL,1,Employment and Social Development Canada,81 lemarchant street carbonear newfoundland and labrador canada 596 6472,81,lemarchant street
7,"Keyin College, Western Campus",JPAX,Private Institution,"128 Carolina Avenue, Stephenville, Newfoundland and Labrador, Canada, 7096436444",NL,1,Employment and Social Development Canada,128 carolina avenue stephenville newfoundland and labrador canada 7096436444,128,carolina avenue
8,Academy Canada - St. John's campus,JPAY,Private Institution,"167 - 169 Kenmount Rd., St. John's, Newfoundland and Labrador, Canada, (709) 739-6767",NL,1,Employment and Social Development Canada,167 169 kenmount rd st john's newfoundland and labrador canada 739 6767,167 169,kenmount rd
9,"Keyin College, Marystown",JPBA,Private Institution,"P.O. Box 1327, Marystown, Newfoundland and Labrador, Canada, (709) 279-5090",NL,1,Employment and Social Development Canada,marystown newfoundland and labrador canada 279 5090,,
