idx,facility_name,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,authority_type,address_str,street_addr,city,postal_code,province,provider,address_str_clean,street_no,street_name
0,HOLY GHOST SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,319 SELKIRK AVENUE WINNIPEG R2W 2L8 MB,319 SELKIRK AVENUE,WINNIPEG,R2W 2L8,MB,Province of Manitoba,319 selkirk avenue winnipeg r2w 2l8 mb,319,selkirk avenue
1,OUR LADY OF VICTORY SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,249 ARNOLD AVENUE WINNIPEG R3L 0W4 MB,249 ARNOLD AVENUE,WINNIPEG,R3L 0W4,MB,Province of Manitoba,249 arnold avenue winnipeg r3l 0w4 mb,249,arnold avenue
2,ST. CHARLES INTERPAROCHIAL SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,331 ST. CHARLES STREET WINNIPEG R3K 1T6 MB,331 ST. CHARLES STREET,WINNIPEG,R3K 1T6,MB,Province of Manitoba,331 st charles street winnipeg r3k 1t6 mb,331,st charles street
3,ST. EDWARD'S SCHOOL,K-6,0,1,1,0,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,836 ARLINGTON STREET WINNIPEG R3E 2E4 MB,836 ARLINGTON STREET,WINNIPEG,R3E 2E4,MB,Province of Manitoba,836 arlington street winnipeg r3e 2e4 mb,836,arlington street
4,ST. IGNATIUS SCHOOL,N-8,1,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,239 HARROW STREET WINNIPEG R3M 2Y3 MB,239 HARROW STREET,WINNIPEG,R3M 2Y3,MB,Province of Manitoba,239 harrow street winnipeg r3m 2y3 mb,239,harrow street
5,ST. JOHN BREBEUF SCHOOL,K-8,0,1,1,1,0,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,605 RENFREW STREET WINNIPEG R3N 1J8 MB,605 RENFREW STREET,WINNIPEG,R3N 1J8,MB,Province of Manitoba,605 renfrew street winnipeg r3n 1j8 mb,605,renfrew street
6,ST. MARY'S ACADEMY,7-12,0,0,0,1,1,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,550 WELLINGTON CRESCENT WINNIPEG R3M 0C1 MB,550 WELLINGTON CRESCENT,WINNIPEG,R3M 0C1,MB,Province of Manitoba,550 wellington crescent winnipeg r3m 0c1 mb,550,wellington crescent
7,ST. MAURICE SCHOOL,K-12,0,1,1,1,1,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,1639 PEMBINA HIGHWAY WINNIPEG R3T 2G6 MB,1639 PEMBINA HIGHWAY,WINNIPEG,R3T 2G6,MB,Province of Manitoba,1639 pembina highway winnipeg r3t 2g6 mb,1639,pembina highway
8,ST. PAUL'S HIGH SCHOOL,9-12,0,0,0,1,1,ARCH. OF WINNIPEG CATHOLIC SCHOOLS,2200 GRANT AVENUE WINNIPEG R3P 0P8 MB,2200 GRANT AVENUE,WINNIPEG,R3P 0P8,MB,Province of Manitoba,2200 grant avenue winnipeg r3p 0p8 mb,2200,grant avenue
9,ACADIA COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 358 CARBERRY R0K 0H0 MB,BOX 358,CARBERRY,R0K 0H0,MB,Province of Manitoba,carberry r0k 0h0 mb,,carberry
10,BROOKDALE SCHOOL,K-8,0,1,1,1,0,BEAUTIFUL PLAINS SCHOOL DIVISION,GENERAL DELIVERY BROOKDALE R0K 0G0 MB,GENERAL DELIVERY,BROOKDALE,R0K 0G0,MB,Province of Manitoba,general delivery brookdale r0k 0g0 mb,,general delivery brookdale
11,CARBERRY COLLEGIATE,5-12,0,0,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 518 CARBERRY R0K 0H0 MB,BOX 518,CARBERRY,R0K 0H0,MB,Province of Manitoba,carberry r0k 0h0 mb,,carberry
12,FAIRWAY COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,P.O.BOX 330 DOUGLAS R0K 0R0 MB,P.O.BOX 330,DOUGLAS,R0K 0R0,MB,Province of Manitoba,pobox 330 douglas r0k 0r0 mb,,
13,HAZEL M. KELLINGTON SCHOOL,K-5,0,1,1,0,0,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 696 NEEPAWA R0J 1H0 MB,BOX 696,NEEPAWA,R0J 1H0,MB,Province of Manitoba,neepawa r0j 1h0 mb,,
14,J. M. YOUNG SCHOOL,K-8,0,1,1,1,0,BEAUTIFUL PLAINS SCHOOL DIVISION,GENERAL DELIVERY EDEN R0J 0M0 MB,GENERAL DELIVERY,EDEN,R0J 0M0,MB,Province of Manitoba,general delivery eden r0j 0m0 mb,,general delivery eden
15,NEEPAWA AREA COLLEGIATE,6-12,0,0,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 430 NEEPAWA R0J 1H0 MB,BOX 430,NEEPAWA,R0J 1H0,MB,Province of Manitoba,neepawa r0j 1h0 mb,,
16,NEEPAWA MIDDLE SCHOOL,5-8,0,0,1,1,0,BEAUTIFUL PLAINS SCHOOL DIVISION,275 HOSPITAL STREET NEEPAWA R0J 1H0 MB,275 HOSPITAL STREET,NEEPAWA,R0J 1H0,MB,Province of Manitoba,275 hospital street neepawa r0j 1h0 mb,275,hospital street
17,R. J. WAUGH ELEMENTARY,K-4,0,1,1,0,0,BEAUTIFUL PLAINS SCHOOL DIVISION,BOX 639 CARBERRY R0K 0H0 MB,BOX 639,CARBERRY,R0K 0H0,MB,Province of Manitoba,carberry r0k 0h0 mb,,carberry
18,RIVERBEND COLONY SCHOOL,K-12,0,1,1,1,1,BEAUTIFUL PLAINS SCHOOL DIVISION,RIVERBEND COLONY BOX 344 CARBERRY R0K 0H0 MB,RIVERBEND COLONY,CARBERRY,R0K 0H0,MB,Province of Manitoba,riverbend colony carberry r0k 0h0 mb,,riverbend colony carberry
