idx,facility_name,source_id,ISCED020,ISCED1,ISCED2,ISCED3,authority_type,grade_range,address_str,city,province,postal_code,latitude,longitude,provider,address_str_clean,street_no,street_name
0,École Mont Carmel,1228.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","1545, Route 525 Sainte-Marie-de-Kent E4S 2H2 NB",Sainte-Marie-de-Kent,NB,E4S 2H2,46.41469453495976,-64.82560578300239,Province of New Brunswick,1545 route 525 sainte marie de kent e4s 2h2 nb,1545,route 525
1,Harcourt School,4010.0,1.0,1.0,0.0,0.0,Public,"Kindergarten, 1-5",155 West Side Harcourt Rd. Harcourt E4T 2Y3 NB,Harcourt,NB,E4T 2Y3,46.47267762887244,-65.24954791807662,Province of New Brunswick,155 west side harcourt rd harcourt e4t 2y3 nb,155,west side harcourt rd
2,École Clément-Cormier,1226.0,,0.0,1.0,1.0,Public,9-12,"37, avenue Richard Bouctouche E4S 3T5 NB",Bouctouche,NB,E4S 3T5,46.475551609887546,-64.72410658939373,Province of New Brunswick,37 avenue richard bouctouche e4s 3t5 nb,37,avenue richard
3,École Dr-Marguerite-Michaud,1202.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","42, avenue Richard Bouctouche E4S 3N1 NB",Bouctouche,NB,E4S 3N1,46.47376375117349,-64.72257481833978,Province of New Brunswick,42 avenue richard bouctouche e4s 3n1 nb,42,avenue richard
4,École Blanche-Bourgeois,1206.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","29, chemin Cocagne Cross Cocagne E4R 2J1 NB",Cocagne,NB,E4R 2J1,46.34761686064437,-64.61581399365811,Province of New Brunswick,29 chemin cocagne cross cocagne e4r 2j1 nb,29,chemin cocagne cross cocagne
5,École Camille-Vautour,1227.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","7, avenue Clément Saint-Antoine E4V 1E2 NB",Saint-Antoine,NB,E4V 1E2,46.35959504914758,-64.75362401081814,Province of New Brunswick,7 avenue clément saint antoine e4v 1e2 nb,7,avenue clément
6,École Notre-Dame,1213.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","3860, Route 115 Notre-Dame E4V 2J2 NB",Notre-Dame,NB,E4V 2J2,46.30704659495783,-64.73485047297989,Province of New Brunswick,3860 route 115 notre dame e4v 2j2 nb,3860,route 115 notre dame
7,Polyvalente Louis-J.-Robichaud,1331.0,,0.0,1.0,1.0,Public,9-12,"435, rue Main Shediac E4P 0S6 NB",Shediac,NB,E4P 0S6,46.21863169265833,-64.53157539399479,Province of New Brunswick,435 rue main shediac e4p 0s6 nb,435,rue main
8,École Mgr-François-Bourgeois,1315.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","294, avenue Belliveau Shediac E4P 1H6 NB",Shediac,NB,E4P 1H6,46.22255028119081,-64.53770118191564,Province of New Brunswick,294 avenue belliveau shediac e4p 1h6 nb,294,avenue belliveau
9,École Père-Edgar-T.-LeBlanc,1317.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","1351, Route 133 Grand-Barachois E4P 8C8 NB",Grand-Barachois,NB,E4P 8C8,46.22391606987121,-64.42154211837928,Province of New Brunswick,1351 route 133 grand barachois e4p 8c8 nb,1351,route 133
10,École Donat-Robichaud,1356.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","2632, chemin Acadie Cap-Pelé E4N 1E3 NB",Cap-Pelé,NB,E4N 1E3,46.217735231060686,-64.27354422903296,Province of New Brunswick,2632 chemin acadie cap pelé e4n 1e3 nb,2632,chemin acadie
11,Tantramar Regional High School,1411.0,,0.0,1.0,1.0,Public,9-12,223 Main Street Sackville E4L 3A7 NB,Sackville,NB,E4L 3A7,45.91008019578281,-64.36943260790596,Province of New Brunswick,223 main street sackville e4l 3a7 nb,223,main street
12,Marshview Middle School,1402.0,,1.0,1.0,0.0,Public,5-8,19 Queen's Road Sackville E4L 4G4 NB,Sackville,NB,E4L 4G4,45.891822200079936,-64.36988197221605,Province of New Brunswick,19 queen's road sackville e4l 4g4 nb,19,queen's road
13,Salem Elementary School,1417.0,1.0,1.0,0.0,0.0,Public,"Kindergarten, 1-4",70 Queen's Road Sackville E4L 4G9 NB,Sackville,NB,E4L 4G9,45.888997087613056,-64.3758457273735,Province of New Brunswick,70 queen's road sackville e4l 4g9 nb,70,queen's road
14,Dorchester Consolidated School,1401.0,1.0,1.0,1.0,0.0,Public,"Kindergarten, 1-8",18 Harrop Avenue Dorchester E4K 2X9 NB,Dorchester,NB,E4K 2X9,45.895318499863386,-64.51616808471053,Province of New Brunswick,18 harrop avenue dorchester e4k 2x9 nb,18,harrop avenue
15,Port Elgin Regional School,1416.0,1.0,1.0,1.0,0.0,Public,"Kindergarten, 1-8",33 Moore Road Port Elgin E4M 2E6 NB,Port Elgin,NB,E4M 2E6,46.04881224189057,-64.094881317241,Province of New Brunswick,33 moore road port elgin e4m 2e6 nb,33,moore road
16,École Abbey-Landry,1340.0,1.0,1.0,1.0,0.0,Public,"Maternelle, 1-8","432, rue Centrale Memramcook E4K 3S5 NB",Memramcook,NB,E4K 3S5,45.98085631823603,-64.56767943005048,Province of New Brunswick,432 rue centrale memramcook e4k 3s5 nb,432,rue centrale
17,Arnold H. McLeod School,1572.0,1.0,1.0,0.0,0.0,Public,"Kindergarten, 1-5",280 Storey Road East Moncton E1A 5Z3 NB,Moncton,NB,E1A 5Z3,46.10991901561904,-64.75444017042408,Province of New Brunswick,280 storey road east moncton e1a 5z3 nb,280,storey road east
