idx,facility_name,source_id,ISCED020,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
0,St. Peter's School,1,1,1,1,0,"Black Tickle Black Tickle, NL A0K 1N0",Black Tickle,NL,A0K 1N0,Province of Newfoundland and Labrador,black tickle black tickle nl a0k 1n0,,
1,Henry Gordon Academy,2,1,1,1,1,"P.O. Box 300 Cartwright, NL A0K 1V0",Cartwright,NL,A0K 1V0,Province of Newfoundland and Labrador,cartwright nl a0k 1v0,,
2,William Gillett Academy,22,1,1,1,1,"P.O. Box 149 Charlottetown, LAB A0K 5Y0","Charlottetown, LAB",NL,A0K 5Y0,Province of Newfoundland and Labrador,charlottetown lab a0k 5y0,,
3,Queen of Peace Middle School,4,0,1,1,0,"P.O. Box 1900, Stn B Happy Valley-Goose Bay, NL A0P 1E0",Happy Valley-Goose Bay,NL,A0P 1E0,Province of Newfoundland and Labrador,stn b happy valley goose bay nl a0p 1e0,,
4,Peacock Primary School,5,1,1,0,0,"P.O. Box 2163, Stn B Happy Valley-Goose Bay, NL A0P 1E0",Happy Valley-Goose Bay,NL,A0P 1E0,Province of Newfoundland and Labrador,stn b happy valley goose bay nl a0p 1e0,,
5,Mealy Mountain Collegiate,477,0,0,1,1,"Box 492, Station C Happy Valley-Goose Bay, NL A0P 1C0",Happy Valley-Goose Bay,NL,A0P 1C0,Province of Newfoundland and Labrador,station c happy valley goose bay nl a0p 1c0,,
6,Amos Comenius Memorial School,7,1,1,1,1,"P.O. Box 105 Hopedale, NL A0P 1G0",Hopedale,NL,A0P 1G0,Province of Newfoundland and Labrador,hopedale nl a0p 1g0,,
7,A. P. Low Primary,8,1,1,0,0,"600 Bartlett Drive Labrador City, NL A2V 1G6",Labrador City,NL,A2V 1G6,Province of Newfoundland and Labrador,600 bartlett drive labrador city nl a2v 1g6,600,bartlett drive
8,Menihek High School,10,0,0,1,1,"613 Lakeside Drive Labrador City, NL A2V 2W9",Labrador City,NL,A2V 2W9,Province of Newfoundland and Labrador,613 lakeside drive labrador city nl a2v 2w9,613,lakeside drive
9,Labrador Straits Academy,487,1,1,1,1,"P.O. Box 10 L'Anse au Loup, NL A0K 3L0",L'Anse au Loup,NL,A0K 3L0,Province of Newfoundland and Labrador,l'anse au loup nl a0k 3l0,,
10,J.C. Erhardt Memorial School,12,1,1,1,1,"P.O. Box 134 Makkovik, NL A0P 1J0",Makkovik,NL,A0P 1J0,Province of Newfoundland and Labrador,makkovik nl a0p 1j0,,
11,St. Mary's All Grade,40,1,1,1,1,"P.O. Box 127 Mary's Harbour, NL A0K 3P0",Mary's Harbour,NL,A0K 3P0,Province of Newfoundland and Labrador,mary's harbour nl a0k 3p0,,
12,Mud Lake School,13,1,1,0,0,"General Delivery Mud Lake, NL A0P 1K0",Mud Lake,NL,A0P 1K0,Province of Newfoundland and Labrador,general delivery mud lake nl a0p 1k0,,general delivery
13,Jens Haven Memorial,14,1,1,1,1,"General Delivery Nain, NL A0P 1L0",Nain,NL,A0P 1L0,Province of Newfoundland and Labrador,general delivery nain nl a0p 1l0,,
14,Raymond Ward Memorial,41,0,0,1,0,"General Delivery Norman Bay, NL A0K 5Y0",Norman Bay,NL,A0K 5Y0,Province of Newfoundland and Labrador,general delivery norman bay nl a0k 5y0,,general delivery
15,Lake Melville School,15,1,1,1,1,"P.O. Box 40 North West River, NL A0P 1M0",North West River,NL,A0P 1M0,Province of Newfoundland and Labrador,north west river nl a0p 1m0,,
16,Bayside Academy,46,1,1,1,1,"P.O. Box 100 Port Hope Simpson, NL A0K 4E0",Port Hope Simpson,NL,A0K 4E0,Province of Newfoundland and Labrador,port hope simpson nl a0k 4e0,,
17,B.L. Morrison,16,1,1,1,1,"P.O. Box 76 Postville, NL A0P 1N0",Postville,NL,A0P 1N0,Province of Newfoundland and Labrador,postville nl a0p 1n0,,
18,Basque Memorial,50,0,1,0,0,"P.O. Box 107 Red Bay, NL A0K 4K0",Red Bay,NL,A0K 4K0,Province of Newfoundland and Labrador,red bay nl a0k 4k0,,
19,Northern Lights Academy,17,1,1,1,1,"P.O. Box 89 Rigolet, NL A0P 1P0",Rigolet,NL,A0P 1P0,Province of Newfoundland and Labrador,rigolet nl a0p 1p0,,
20,St. Lewis Academy,54,1,1,1,1,"P.O. Box 108 St. Lewis, NL A0K 4W0",St. Lewis,NL,A0K 4W0,Province of Newfoundland and Labrador,st lewis nl a0k 4w0,,
21,J.R. Smallwood Middle School,381,0,1,1,0,"P.O. Box 5000 Wabush, NL A0R 1B0",Wabush,NL,A0R 1B0,Province of Newfoundland and Labrador,wabush nl a0r 1b0,,
22,Copper Ridge Academy,125,1,1,1,1,"Box 430, 9 Columbus Drive Baie Verte, NL A0K 1B0",Baie Verte,NL,A0K 1B0,Province of Newfoundland and Labrador,9 columbus drive baie verte nl a0k 1b0,9,columbus drive
23,St. Peter's Academy,57,1,1,1,0,"Box 95 Benoit's Cove, NL A0L 1A0",Benoit's Cove,NL,A0L 1A0,Province of Newfoundland and Labrador,benoit's cove nl a0l 1a0,,
24,Burgeo Academy,91,1,1,1,1,"P. O. Box 310 Burgeo, NL A0N 2H0",Burgeo,NL,A0N 2H0,Province of Newfoundland and Labrador,p o burgeo nl a0n 2h0,,
25,Grandy's River Collegiate,92,1,1,1,1,"Box 40 Burnt Islands, NL A0M 1B0",Burnt Islands,NL,A0M 1B0,Province of Newfoundland and Labrador,burnt islands nl a0m 1b0,,
26,Our Lady of the Cape School,96,1,1,1,0,"875 Oceanview Drive De Grau, Cape St. George A0N 1T1",Cape St. George,NL,A0N 1T1,Province of Newfoundland and Labrador,875 oceanview drive de grau cape st george a0n 1t1,875,oceanview drive de
27,St. James Elementary,97,1,1,0,0,"Box 1060 Port aux Basques, NL A0M 1C0",Channel-Port Aux Basques,NL,A0M 1C0,Province of Newfoundland and Labrador,port aux basques nl a0m 1c0,,
28,St. James Regional High,99,0,0,1,1,"Box 910 Port Aux Basques, NL A0M 1C0",Channel-Port Aux Basques,NL,A0M 1C0,Province of Newfoundland and Labrador,port aux basques nl a0m 1c0,,
29,James Cook Memorial,24,0,1,0,0,"P.O. Box 10 Cook's Harbour, NL A0K 1Z0",Cook's Harbour,NL,A0K 1Z0,Province of Newfoundland and Labrador,cook's harbour nl a0k 1z0,,
30,Ecole C.C. Loughlin Elementary,60,1,1,0,0,"Citadel Drive Corner Brook, NL A2H 5M4",Corner Brook,NL,A2H 5M4,Province of Newfoundland and Labrador,citadel drive corner brook nl a2h 5m4,,citadel drive
31,J. J. Curling Elementary,66,1,1,0,0,"Woodbine Ave Corner Brook, NL A2H 3P2",Corner Brook,NL,A2H 3P2,Province of Newfoundland and Labrador,woodbine ave corner brook nl a2h 3p2,,woodbine ave
32,Sacred Heart Elementary,69,1,1,0,0,"Curling St Corner Brook West, NL A2H 3K8",Corner Brook,NL,A2H 3K8,Province of Newfoundland and Labrador,curling st corner brook west nl a2h 3k8,,curling st
33,Corner Brook Regional High,485,0,0,0,1,"12 University Drive Corner Brook, NL A2H 5G4",Corner Brook,NL,A2H 5G4,Province of Newfoundland and Labrador,12 university drive corner brook nl a2h 5g4,12,university drive
34,Eastside Elementary,498,1,1,0,0,"St. John's Avenue Corner Brook, NL A2H 2E5",Corner Brook,NL,A2H 2E5,Province of Newfoundland and Labrador,st john's avenue corner brook nl a2h 2e5,,st john's avenue
