idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
0,Baddeck Academy,96,public,PP - 12,320 Shore Rd Baddeck NS B0E 1B0 NS,320 Shore Rd,B0E 1B0,Baddeck NS,Province of Nova Scotia,320 shore rd baddeck ns b0e 1b0 ns,320,shore rd
1,Boularderie Elementary School,93,public,PP - 5,12065 Kempt Rd Boularderie NS B1X 1J9 NS,12065 Kempt Rd,B1X 1J9,Boularderie NS,Province of Nova Scotia,12065 kempt rd boularderie ns b1x 1j9 ns,12065,kempt rd
2,Bras d'Or Elementary School,101,public,PP - 5,10 Alder Pt. Rd Bras d`Or NS B1Y 2K1 NS,10 Alder Pt. Rd,B1Y 2K1,Bras d`Or NS,Province of Nova Scotia,10 alder pt rd bras d`or ns b1y 2k1 ns,10,alder pt rd bras
3,Breton Education Centre,640,public,06 - 12,667 8th St New Waterford NS B1H 3T4 NS,667 8th St,B1H 3T4,New Waterford NS,Province of Nova Scotia,667 8th st new waterford ns b1h 3t4 ns,667,8th st
4,Brookland Elementary School,995,public,PP - 5,153 Cottage Rd Sydney NS B1P 2E5 NS,153 Cottage Rd,B1P 2E5,Sydney NS,Province of Nova Scotia,153 cottage rd sydney ns b1p 2e5 ns,153,cottage rd
5,Cabot Education Centre,107,public,06 - 12,32039 Cabot Trail Neil's Harbour NS B0C 1N0 NS,32039 Cabot Trail,B0C 1N0,Neil's Harbour NS,Province of Nova Scotia,32039 cabot trail neil's harbour ns b0c 1n0 ns,32039,cabot trail
6,Cape Smokey Elementary School,962,public,PR - 5,39 Brandon Lane Ingonish NS B0C 1K0 NS,39 Brandon Lane,B0C 1K0,Ingonish NS,Province of Nova Scotia,39 brandon lane ingonish ns b0c 1k0 ns,39,brandon lane
7,CBVRCE Adult High School,1169,public,10 - 12,290 Whitney Ave Sydney NS B1P 5A6 NS,290 Whitney Ave,B1P 5A6,Sydney NS,Province of Nova Scotia,290 whitney ave sydney ns b1p 5a6 ns,290,whitney ave
8,Coxheath Elementary School,186,public,PP - 5,30 Mt. Florence St Coxheath NS B1R 1T8 NS,30 Mt. Florence St,B1R 1T8,Coxheath NS,Province of Nova Scotia,30 mt florence st coxheath ns b1r 1t8 ns,30,mt florence st
9,Cusack School,1101,public,PP - 5,500 Birch Hill Dr Sydney NS B1P 3V9 NS,500 Birch Hill Dr,B1P 3V9,Sydney NS,Province of Nova Scotia,500 birch hill dr sydney ns b1p 3v9 ns,500,birch hill dr
10,Donkin School,996,public,PP - 8,81 Centre Ave Donkin NS B0A 1G0 NS,81 Centre Ave,B0A 1G0,Donkin NS,Province of Nova Scotia,81 centre ave donkin ns b0a 1g0 ns,81,centre ave
11,Dr. T.L. Sullivan School,98,public,PP - 8,256 Park Rd Florence NS B1Y 1N2 NS,256 Park Rd,B1Y 1N2,Florence NS,Province of Nova Scotia,256 park rd florence ns b1y 1n2 ns,256,park rd
12,Ferrisview Elementary School,1153,public,PP - 5,83 Archibald Ave North Sydney NS B2A 2W9 NS,83 Archibald Ave,B2A 2W9,North Sydney NS,Province of Nova Scotia,83 archibald ave north sydney ns b2a 2w9 ns,83,archibald ave
13,Glace Bay Elementary School,416,public,PP - 5,135 Brookside St Glace Bay NS B1A 1K8 NS,135 Brookside St,B1A 1K8,Glace Bay NS,Province of Nova Scotia,135 brookside st glace bay ns b1a 1k8 ns,135,brookside st
