idx,facility_name,grade_range,address_str,city,province,provider,address_str_clean,street_no,street_name
0,Angik School,JK-12,Angik School PO BOX 100 PAULATUK NT X0E 1N0,Paulatuk,NT,Northwest Territories,angik school paulatuk nt x0e 1n0,,
1,Chief Julius School,JK-12,Chief Julius School PO BOX 26 FORT MCPHERSON NT X0E 0J0,Fort Mcpherson,NT,Northwest Territories,chief julius school fort mcpherson nt x0e 0j0,,
2,Chief Paul Niditchie School,JK-9,Chief Paul Niditchie School GENERAL DELIVERY TSIIGEHTCHIC NT X0E 0B0,Tsiigehtchic,NT,Northwest Territories,chief paul niditchie school general delivery tsiigehtchic nt x0e 0b0,,
3,East Three Elementary School,JK-6,East Three Elementary School PO BOX 1470 INUVIK NT X0E 0T0,Inuvik,NT,Northwest Territories,east three elementary school inuvik nt x0e 0t0,,
4,East Three Secondary School,12-Jul,East Three Secondary School BAG SERVICE #3 INUVIK NT X0E 0T0,Inuvik,NT,Northwest Territories,east three secondary school bag service #3 inuvik nt x0e 0t0,,
5,Helen Kalvak Elihakvik,JK-12,Helen Kalvak Elihakvik PO BOX 162 ULUKHAKTOK NT X0E 0S0,Ulukhaktok,NT,Northwest Territories,helen kalvak elihakvik ulukhaktok nt x0e 0s0,,
6,Inualthuyak School,JK-9,Inualthuyak School GENERAL DELIVERY SACHS HARBOUR NT X0E 0Z0,Sachs Harbour,NT,Northwest Territories,inualthuyak school general delivery sachs harbour nt x0e 0z0,,
7,Mangilaluk School,JK-12,Mangilaluk School PO BOX 5000 TUKTOYAKTUK NT X0E 1C0,Tuktoyaktuk,NT,Northwest Territories,mangilaluk school tuktoyaktuk nt x0e 1c0,,
8,Moose Kerr School,JK-12,Moose Kerr School PO BOX 120 AKLAVIK NT X0E 0A0,Aklavik,NT,Northwest Territories,moose kerr school aklavik nt x0e 0a0,,
9,cole Allain St-Cyr,JK-12,cole Allain St-Cyr 48 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2,Yellowknife,NT,Northwest Territories,cole allain st cyr 48 taylor road yellowknife nt x1a 3x2,48,taylor road
10,cole Borale,JK-12,cole Borale 145 PROMENADE RIVERVIEW HAY RIVER NT X0E 0R8,Hay River,NT,Northwest Territories,cole borale 145 promenade riverview hay river nt x0e 0r8,145,promenade riverview
11,Kaw Tay Whee School,JK-9,Kaw Tay Whee School PO BOX 40 YELLOWKNIFE NT X1A 2N1,Detah,NT,Northwest Territories,kaw tay whee school yellowknife nt x1a 2n1,,
12,Charles Tetcho School,JK-9,Charles Tetcho School PO BOX 60 SAMBAA KE NT X0E 1Z0,Sambaa Ke,NT,Northwest Territories,charles tetcho school sambaa ke nt x0e 1z0,,
13,Charles Yohin School,JK-10,Charles Yohin School GENERAL DELIVERY NAHANNI BUTTE NT X0E 0N0,Nahanni Butte,NT,Northwest Territories,charles yohin school general delivery nahanni butte nt x0e 0n0,,
14,Chief Julian Yendo School,JK-9,Chief Julian Yendo School GENERAL DELIVERY WRIGLEY NT X0E 1E0,Wrigley,NT,Northwest Territories,chief julian yendo school general delivery wrigley nt x0e 1e0,,
15,Deh Gh Elem. & Second. School,JK-12,Deh Gh Elementary & Secondary School PO BOX 320 FORT PROVIDENCE NT X0E 0L0,Fort Providence,NT,Northwest Territories,deh gh elementary & secondary school fort providence nt x0e 0l0,,
16,Echo-Dene School,JK-12,Echo-Dene School GENERAL DELIVERY FORT LIARD NT X0G 0A0,Fort Liard,NT,Northwest Territories,echo dene school general delivery fort liard nt x0g 0a0,,
17,Kakisa Lake School,JK-9,Kakisa Territorial School PO BOX 4426 HAY RIVER NT X0E 1G3,Kakisa,NT,Northwest Territories,kakisa territorial school hay river nt x0e 1g3,,
18,dl K Elementary School (Bompas Elementary School),JK-6,dl K Elementary School (Bompas Elementary School) PO BOX 499 FORT SIMPSON NT X0E 0N0,Fort Simpson,NT,Northwest Territories,dl k elementary school fort simpson nt x0e 0n0,,
19,dl K Regional High School (Thomas Simpson Secondary School),12-Jul,dl K Regional High School (Thomas Simpson Secondary School) PO BOX 252 FORT SIMPSON NT X0E 0N0,Fort Simpson,NT,Northwest Territories,dl k regional high school fort simpson nt x0e 0n0,,
20,Louie Norwegian School,JK-9,Louie Norwegian School GENERAL DELIVERY JEAN MARIE RIVER NT X0E 0N0,Jean Marie River,NT,Northwest Territories,louie norwegian school general delivery jean marie river nt x0e 0n0,,
21,K'lem Dene School,JK-12,K'lem Dene School PO Box 236 NDIL NT X1A 2N2,Ndil,NT,Northwest Territories,k'lem dene school ndil nt x1a 2n2,,
22,Chief Albert Wright School,JK-12,Chief Albert Wright School PO BOX 126 TULITA NT X0E 0K0,Tulita,NT,Northwest Territories,chief albert wright school tulita nt x0e 0k0,,
23,Chief T'Selehye School,JK-12,Chief T'Selehye School PO BOX 99 FORT GOOD HOPE NT X0E 0H0,Fort Good Hope,NT,Northwest Territories,chief t'selehye school fort good hope nt x0e 0h0,,
