idx,facility_name,city,province,provider
0,Nanook School,Apex,NU,Nunavut
1,Inuujaq School,Arctic Bay,NU,Nunavut
2,Quluaq School,Clyde River,NU,Nunavut
3,Umimmaq School,Grise Fiord,NU,Nunavut
4,Ataguttaaluk Elementary School,Igloolik,NU,Nunavut
5,Sivuniit Middle School,Igloolik,NU,Nunavut
6,Igloolik High School,Igloolik,NU,Nunavut
7,Inuksuk High School,Iqaluit,NU,Nunavut
8,Joamie Elementary School,Iqaluit,NU,Nunavut
9,Nakasuk Elementary School,Iqaluit,NU,Nunavut
10,Aqsarniit Middle School,Iqaluit,NU,Nunavut
11,Peter Pitseolak High School,Kinngait,NU,Nunavut
12,Sam Pudlat Elementary School,Kinngait,NU,Nunavut
13,Qaqqalik School,Kimmirut,NU,Nunavut
14,Alookie Elementary School,Pangnirtung,NU,Nunavut
15,Attagoyuk High School,Pangnirtung,NU,Nunavut
16,Nasivvik High School,Pond Inlet,NU,Nunavut
17,Ulaajuk Elementary School,Pond Inlet,NU,Nunavut
18,Inuksuit School,Qikiqtaruaq,NU,Nunavut
19,Qarmartalik School,Resolute Bay,NU,Nunavut
20,Nuiyak Elementary School,Sanikiluaq,NU,Nunavut
21,Paatsaali High School,Sanikiluaq,NU,Nunavut
22,Arnaqjuaq School,Sanirajak,NU,Nunavut
23,École des trois soleil,Iqaluit (CSFN),NU,Nunavut
24,Kullik Ilihakvik,Cambridge Bay,NU,Nunavut
25,Kiilinik High School,Cambridge Bay,NU,Nunavut
26,Quqshuun Ilihakvik,Gjoa Haven,NU,Nunavut
27,Qiqirtaq High School,Gjoa Haven,NU,Nunavut
28,Arviligruaq Ilinniarvik,Kugaaruk,NU,Nunavut
29,Jimmy Hikok Ilihakvik,Kugluktuk,NU,Nunavut
30,Kugluktuk High School,Kugluktuk,NU,Nunavut
31,Netsilik School,Taloyoak,NU,Nunavut
32,Levi Angmak School,Arviat,NU,Nunavut
33,Qitiqliq Middle School,Arviat,NU,Nunavut
34,John Arnalujuak High School,Arviat,NU,Nunavut
35,Rachel Arngnamaktiq Elemantary School,Baker Lake,NU,Nunavut
36,Jonah Amitnaaq School,Baker Lake,NU,Nunavut
37,Victor Sammurtok School,Chesterfield Inlet,NU,Nunavut
38,Sakku School,Coral Harbour,NU,Nunavut
39,Leo Ussak School,Rankin Inlet,NU,Nunavut
40,Simon Alaituq School,Rankin Inlet,NU,Nunavut
41,Maani Ulyuk School,Rankin Inlet,NU,Nunavut
42,Tusarvik Elemnetary School,Naujaat,NU,Nunavut
43,Tuugaalik High School,Naujaat,NU,Nunavut
44,Inuglak School,Whale Cove,NU,Nunavut
