idx,facility_name,source_id,authority_type,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,facility_type,street_addr,address_str,city,province,postal_code,provider,grade_type,address_str_clean,street_no,street_name
0,Algoma Education Connection Secondary School,902344,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,550 Northern Ave,550 Northern Ave Sault Ste Marie Ontario P6B4J4,Sault Ste Marie,Ontario,P6B4J4,Province of Ontario,,550 northern ave sault ste marie ontario p6b4j4,550,northern ave
1,Anna McCrea Public School,019186,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,250 Mark St,250 Mark St Sault Ste Marie Ontario P6A3M7,Sault Ste Marie,Ontario,P6A3M7,Province of Ontario,,250 mark st sault ste marie ontario p6a3m7,250,mark st
2,Arthur Henderson Public School,067679,Pub Dist Sch Brd (E/F),JK-3,1.0,1.0,1.0,0,0.0,Public,2 Henderson Lane 2,2 Henderson Lane 2 Bruce Mines Ontario P0R1C0,Bruce Mines,Ontario,P0R1C0,Province of Ontario,,2 henderson lane 2 bruce mines ontario p0r1c0,2,henderson lane 2
3,Ben R McMullin Public School,043362,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,24 Paradise Ave,24 Paradise Ave Sault Ste Marie Ontario P6B5K2,Sault Ste Marie,Ontario,P6B5K2,Province of Ontario,,24 paradise ave sault ste marie ontario p6b5k2,24,paradise ave
4,Blind River Public School,054542,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,19 Hanes Ave,19 Hanes Ave Blind River Ontario P0R1B0,Blind River,Ontario,P0R1B0,Province of Ontario,,19 hanes ave blind river ontario p0r1b0,19,hanes ave
5,Boreal French Immersion Public School,490822,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,232 Northern Ave,232 Northern Ave Sault Ste Marie Ontario P6B4H6,Sault Ste Marie,Ontario,P6B4H6,Province of Ontario,,232 northern ave sault ste marie ontario p6b4h6,232,northern ave
6,Central Algoma Intermediate School,137967,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,32 Kensington Road,32 Kensington Road Desbarats Ontario P0R1E0,Desbarats,Ontario,P0R1E0,Province of Ontario,,32 kensington road desbarats ontario p0r1e0,32,kensington road
7,Central Algoma Public School,285552,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,5 Margaret St,5 Margaret St Desbarats Ontario P0R1E0,Desbarats,Ontario,P0R1E0,Province of Ontario,,5 margaret st desbarats ontario p0r1e0,5,margaret st
8,Central Algoma Secondary School,891347,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,32 Kensington Rd,32 Kensington Rd Desbarats Ontario P0R1E0,Desbarats,Ontario,P0R1E0,Province of Ontario,,32 kensington rd desbarats ontario p0r1e0,32,kensington rd
9,Central Avenue Public School,093548,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,81 Central Ave,81 Central Ave Elliot Lake Ontario P5A2G4,Elliot Lake,Ontario,P5A2G4,Province of Ontario,,81 central ave elliot lake ontario p5a2g4,81,central ave
10,Chapleau High School,900869,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,20 Teak St,20 Teak St Chapleau Ontario P0M1K0,Chapleau,Ontario,P0M1K0,Province of Ontario,,20 teak st chapleau ontario p0m1k0,20,teak st
11,Chapleau Public School,101214,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,24 Pine St,24 Pine St Chapleau Ontario P0M1K0,Chapleau,Ontario,P0M1K0,Province of Ontario,,24 pine st chapleau ontario p0m1k0,24,pine st
12,East View Public School,161276,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,75 Arizona Ave,75 Arizona Ave Sault Ste Marie Ontario P6A4L9,Sault Ste Marie,Ontario,P6A4L9,Province of Ontario,,75 arizona ave sault ste marie ontario p6a4l9,75,arizona ave
13,Echo Bay Central Public School,165042,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,290 Church St,290 Church St Echo Bay Ontario P0S1C0,Echo Bay,Ontario,P0S1C0,Province of Ontario,,290 church st echo bay ontario p0s1c0,290,church st
14,Elliot Lake Secondary School,908010,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,303 Mississauga Ave,303 Mississauga Ave Elliot Lake Ontario P5A1E8,Elliot Lake,Ontario,P5A1E8,Province of Ontario,,303 mississauga ave elliot lake ontario p5a1e8,303,mississauga ave
15,Esten Park Public School,186783,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,115 Hergott Ave,115 Hergott Ave Elliot Lake Ontario P5A3B4,Elliot Lake,Ontario,P5A3B4,Province of Ontario,,115 hergott ave elliot lake ontario p5a3b4,115,hergott ave
16,Francis H Clergue Public School,202614,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,80 Weldon Ave,80 Weldon Ave Sault Ste Marie Ontario P6B3C6,Sault Ste Marie,Ontario,P6B3C6,Province of Ontario,,80 weldon ave sault ste marie ontario p6b3c6,80,weldon ave
17,Grand View Public School,227331,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,161 Denwood Dr,161 Denwood Dr Sault Ste Marie Ontario P6A5R4,Sault Ste Marie,Ontario,P6A5R4,Province of Ontario,,161 denwood dr sault ste marie ontario p6a5r4,161,denwood dr
18,Greenwood Public School,230561,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,8 Fourth Line W,8 Fourth Line W Sault Ste Marie Ontario P6A5K8,Sault Ste Marie,Ontario,P6A5K8,Province of Ontario,,8 fourth line w sault ste marie ontario p6a5k8,8,fourth line w
19,H M Robbins Public School,237191,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,83 East Balfour St,83 East Balfour St Sault Ste Marie Ontario P6C1X4,Sault Ste Marie,Ontario,P6C1X4,Province of Ontario,,83 east balfour st sault ste marie ontario p6c1x4,83,east balfour st
20,Hornepayne High School,917370,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,162 Fourth Avenue,162 Fourth Avenue Hornepayne Ontario P0M1Z0,Hornepayne,Ontario,P0M1Z0,Province of Ontario,,162 fourth avenue hornepayne ontario p0m1z0,162,fourth avenue
21,Hornepayne Public School,264750,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,162 Fourth Ave,162 Fourth Ave Hornepayne Ontario P0M1Z0,Hornepayne,Ontario,P0M1Z0,Province of Ontario,,162 fourth ave hornepayne ontario p0m1z0,162,fourth ave
22,Isabel Fletcher Public School,278270,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,599 Third Line,599 Third Line Sault Ste Marie Ontario P6A6K4,Sault Ste Marie,Ontario,P6A6K4,Province of Ontario,,599 third line sault ste marie ontario p6a6k4,599,third line
23,Kiwedin Public School,302350,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,735 North St,735 North St Sault Ste Marie Ontario P6B2C4,Sault Ste Marie,Ontario,P6B2C4,Province of Ontario,,735 north st sault ste marie ontario p6b2c4,735,north st
24,Korah Collegiate and Vocational School,920533,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,636 Goulais Ave,636 Goulais Ave Sault Ste Marie Ontario P6C5A7,Sault Ste Marie,Ontario,P6C5A7,Province of Ontario,,636 goulais ave sault ste marie ontario p6c5a7,636,goulais ave
25,Korah Intermediate School,018309,Pub Dist Sch Brd (E/F),7-8,0.0,0.0,0.0,1,0.0,Public,636 Goulais Ave,636 Goulais Ave Sault Ste Marie Ontario P6C5A7,Sault Ste Marie,Ontario,P6C5A7,Province of Ontario,,636 goulais ave sault ste marie ontario p6c5a7,636,goulais ave
