idx,facility_name,source_id,address_str,latitude,longitude,provider,address_str_clean,street_no,street_name
0,Alberton Elementary School,131,"354 Church Street, Alberton, PE C0B 1B0",46.81033,-64.07642,Province of Prince Edward Island,354 church street alberton pe c0b 1b0,354,church street
1,Bloomfield Elementary School,132,"2472 O'Halloran Road - Rte 145, Bloomfield RR 2, PE C0B 1E0",46.76806,-64.19676,Province of Prince Edward Island,2472 o'halloran road rte 145 bloomfield rr 2 pe c0b 1e0,2472,o'halloran road rte 145 bloomfield rr 2 pe
2,Colonel Gray Senior High School,311,"175 Spring Park Road, Charlottetown, PE C1A 3Y8",46.24099,-63.14043,Province of Prince Edward Island,175 spring park road charlottetown pe c1a 3y8,175,spring park road
3,Tignish Elementary School,130,"322 Church Street, Tignish, PE C0B 2B0",46.95511,-64.03385,Province of Prince Edward Island,322 church street tignish pe c0b 2b0,322,church street
4,Prince Street Elementary School,347,"60 Upper Prince Street, Charlottetown, PE C1A 4S3",46.24078,-63.12923,Province of Prince Edward Island,60 upper prince street charlottetown pe c1a 4s3,60,upper prince street
5,Glen Stewart Primary School,340,"34 Glen Stewart Drive, Charlottetown, PE C1A 8B5",46.22473,-63.09808,Province of Prince Edward Island,34 glen stewart drive charlottetown pe c1a 8b5,34,glen stewart drive
6,Morell Regional High School,411,"100 Little Flower Ave - Rte 322, Morell, PE C0A 1S0",46.41159,-62.7078,Province of Prince Edward Island,100 little flower ave rte 322 morell pe c0a 1s0,100,little flower ave rte 322
7,Greenfield Elementary School,237,"100 Darby Drive, Summerside, PE C1N 4V8",46.4127,-63.81311,Province of Prince Edward Island,100 darby drive summerside pe c1n 4v8,100,darby drive
8,Stonepark Intermediate School,323,"50 Pope Avenue, Charlottetown, PE C1A 7P5",46.26828,-63.12117,Province of Prince Edward Island,50 pope avenue charlottetown pe c1a 7p5,50,pope avenue
9,École François-Buote,511,"5 Promenade Acadienne, Charlottetown, PE C1C 1M2",46.26244,-63.09392,Province of Prince Edward Island,5 promenade acadienne charlottetown pe c1c 1m2,5,promenade acadienne
10,Ellerslie Elementary School,134,"1226 Ellerslie Road - Rte 133, Ellerslie-Bideford, PE C0B 1J0",46.60546,-63.93468,Province of Prince Edward Island,1226 ellerslie road rte 133 ellerslie bideford pe c0b 1j0,1226,ellerslie road rte 133
11,Somerset Elementary School,234,"30 Somerset Street, Kinkora, PE C0B 1N0",46.32787,-63.60593,Province of Prince Edward Island,30 somerset street kinkora pe c0b 1n0,30,somerset street
12,Vernon River Consolidated School,455,"5505 Murray Harbour Road - Rte 24, Vernon Bridge, PE C0A 2E0",46.19051,-62.83278,Province of Prince Edward Island,5505 murray harbour road rte 24 vernon bridge pe c0a 2e0,5505,murray harbour road rte 24
13,Kinkora Regional High School,212,"54 Anderson Road, Kinkora, PE C0B 1N0",46.32233,-63.59843,Province of Prince Edward Island,54 anderson road kinkora pe c0b 1n0,54,anderson road
14,Westwood Primary School,350,"80 Meadowbank Road, Cornwall, PE C0A 1H0",46.22087,-63.21968,Province of Prince Edward Island,80 meadowbank road cornwall pe c0a 1h0,80,meadowbank road
15,Amherst Cove Consolidated School,231,"300 Carleton Street, Borden-Carleton, PE C0B 1X0",46.25206,-63.68708,Province of Prince Edward Island,300 carleton street borden carleton pe c0b 1x0,300,carleton street
16,Bluefield High School,314,"924 Colville Road - Rte 9, North Wiltshire, PE C0A 1Y0",46.2818,-63.29431,Province of Prince Edward Island,924 colville road rte 9 north wiltshire pe c0a 1y0,924,colville road rte 9
17,Westisle Composite High School,113,"39570 Western Road - Rte 2, Rosebank, PE C0B 1K0",46.80664,-64.1466,Province of Prince Edward Island,39570 western road rte 2 rosebank pe c0b 1k0,39570,western road rte 2
18,Kensington Intermediate Senior High School,211,"19 Victoria Street East, Kensington, PE C0B 1M0",46.4412,-63.62913,Province of Prince Edward Island,19 victoria street east kensington pe c0b 1m0,19,victoria street east
19,Mount Stewart Consolidated School,448,"120 South Main St - Rte 351, Mount Stewart, PE C0A 1T0",46.36323,-62.85613,Province of Prince Edward Island,120 south main st rte 351 mount stewart pe c0a 1t0,120,south main st rte 351
20,Elm Street Elementary School,232,"256 Elm Street, Summerside, PE C1N 3V5",46.40196,-63.79574,Province of Prince Edward Island,256 elm street summerside pe c1n 3v5,256,elm street
21,Montague Consolidated School,446,"622 Princess Drive, Montague, PE C0A 1R0",46.16626,-62.65813,Province of Prince Edward Island,622 princess drive montague pe c0a 1r0,622,princess drive
22,Charlottetown Rural High School,310,"100 Raiders Road, Charlottetown, PE C1E 1K6",46.25861,-63.14992,Province of Prince Edward Island,100 raiders road charlottetown pe c1e 1k6,100,raiders road
23,Stratford Elementary School,358,"50 Glen Stewart Dr, Stratford, PE C1B 0J9",46.22438,-63.09618,Province of Prince Edward Island,50 glen stewart dr stratford pe c1b 0j9,50,glen stewart dr
24,École Évangéline,510,"1596 Route 124, Wellington Station, RR#1, PE C0B 2E0",46.45684,-64.0672,Province of Prince Edward Island,1596 route 124 wellington station rr#1 pe c0b 2e0,1596,route 124 wellington station rr#1 pe
25,Parkside Elementary School,236,"195 Summer Street, Summerside, PE C1N 3J8",46.39855,-63.78878,Province of Prince Edward Island,195 summer street summerside pe c1n 3j8,195,summer street
26,Athena Consolidated School,221,"150 Ryan Street, Summerside, PE C1N 6G2",46.41032,-63.77716,Province of Prince Edward Island,150 ryan street summerside pe c1n 6g2,150,ryan street
27,Miscouche Consolidated School,222,"19 School Street, Miscouche, PE C0B 1T0",46.4332,-63.86386,Province of Prince Edward Island,19 school street miscouche pe c0b 1t0,19,school street
28,Montague Intermediate School,420,"221 Kennedy Street, Montague, PE C0A 1R0",46.16533,-62.65079,Province of Prince Edward Island,221 kennedy street montague pe c0a 1r0,221,kennedy street
29,Sherwood Elementary School,349,"64 Maple Avenue, Charlottetown, PE C1A 6E7",46.26504,-63.12838,Province of Prince Edward Island,64 maple avenue charlottetown pe c1a 6e7,64,maple avenue
