idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,city,postal_code,province,provider,address_str_clean,street_no,street_name
0,Abbey Hutterite School,0,1,1,0,Gr. 2-9,BOX 37 ABBEY sk S0N 0A0,ABBEY,S0N 0A0,sk,Province of Saskatchewan,abbey sk s0n 0a0,,
1,Bone Creek Hutterite,0,1,1,0,Gr. 1-9,BOX 93 GULL LAKE sk S0N 1A0,GULL LAKE,S0N 1A0,sk,Province of Saskatchewan,gull lake sk s0n 1a0,,
2,Box Elder Hutterite School,1,1,1,1,Gr. K-10,BOX 841 MAPLE CREEK sk S0N 1N0,MAPLE CREEK,S0N 1N0,sk,Province of Saskatchewan,maple creek sk s0n 1n0,,
3,Burstall School,1,1,1,0,Gr. K-8,BOX 9 BURSTALL sk S0N 0H0,BURSTALL,S0N 0H0,sk,Province of Saskatchewan,burstall sk s0n 0h0,,
4,Butte Hutterite School,0,1,1,0,Gr. 1-9,BOX 120 BRACKEN sk S0N 0G0,BRACKEN,S0N 0G0,sk,Province of Saskatchewan,bracken sk s0n 0g0,,
5,Cabri School,1,1,1,1,Gr. K-12,BOX 349 CABRI sk S0N 0J0,CABRI,S0N 0J0,sk,Province of Saskatchewan,cabri sk s0n 0j0,,
6,Capeland Hutterite School,0,1,1,1,Gr. 1-10,PO BOX 1809 STN MAIN SWIFT CURRENT sk S9H 4J8,SWIFT CURRENT,S9H 4J8,sk,Province of Saskatchewan,stn main swift current sk s9h 4j8,,
7,Carmichael Hutterite School,1,1,1,0,Gr. K-9,BOX 30 GULL LAKE sk S0N 1A0,GULL LAKE,S0N 1A0,sk,Province of Saskatchewan,gull lake sk s0n 1a0,,
8,Central School,1,1,1,0,Gr. K-8,121 DUFFERIN STREET W SWIFT CURRENT sk S9H 0R2,SWIFT CURRENT,S9H 0R2,sk,Province of Saskatchewan,121 dufferin street w swift current sk s9h 0r2,121,dufferin street w
9,Consul School,1,1,1,1,Gr. K-12,BOX 179 CONSUL sk S0N 0P0,CONSUL,S0N 0P0,sk,Province of Saskatchewan,consul sk s0n 0p0,,
10,Creston Bench Hutterian School,1,1,1,1,Gr. K-10,BOX 33 SHAUNAVON sk S0N 2M0,SHAUNAVON,S0N 2M0,sk,Province of Saskatchewan,shaunavon sk s0n 2m0,,
11,Cypress Hutterite School,1,1,1,1,Gr. K-12,BOX 716 MAPLE CREEK sk S0N 1N0,MAPLE CREEK,S0N 1N0,sk,Province of Saskatchewan,maple creek sk s0n 1n0,,
