idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,province,provider,address_str_clean,street_no,street_name
0,Aurora Virtual School,1,1,1,1,K to 12,"4201 4th Avenue, Whitehorse Y1A 5A1",YT,Yukon Territories,4201 4th avenue whitehorse y1a 5a1,4201,4th avenue
1,Aurora Virtual School,1,1,1,1,K to 12,"4201 4th Avenue, Whitehorse Y1A 5A1",YT,Yukon Territories,4201 4th avenue whitehorse y1a 5a1,4201,4th avenue
2,Centre scolaire secondaire communautaire Paul-Émile-Mercier (CSSC Mercier),0,0,1,1,7 to 12,"20 Falcon Drive, Whitehorse Y1A 6B2",YT,Yukon Territories,20 falcon drive whitehorse y1a 6b2,20,falcon drive
3,Chief Zzeh Gittlit School,1,1,1,0,K to 9,"Box 93, Old Crow Y0B 1N0",YT,Yukon Territories,old crow y0b 1n0,,
4,Christ the King Elementary School,1,1,1,0,K to 7,"20 Nisutlin Drive, Whitehorse Y1A 3S5",YT,Yukon Territories,20 nisutlin drive whitehorse y1a 3s5,20,nisutlin drive
5,Del Van Gorder School,1,1,1,1,K to 12,"Box 160, Faro Y0B 1K0Campbell",YT,Yukon Territories,faro y0b 1k0campbell,,faro y0b
6,École Émilie-Tremblay,1,1,0,0,k to 6,"20 Falcon Drive, Whitehorse Y1A 6B2",YT,Yukon Territories,20 falcon drive whitehorse y1a 6b2,20,falcon drive
7,École Whitehorse Elementary School,1,1,1,0,K to 7,"4181 4th Avenue, Whitehorse Y1A 1J7",YT,Yukon Territories,4181 4th avenue whitehorse y1a 1j7,4181,4th avenue
8,Elijah Smith Elementary School,1,1,1,0,K to 7,"1399 Hamilton Boulevard, Whitehorse Y1A 6G3",YT,Yukon Territories,1399 hamilton boulevard whitehorse y1a 6g3,1399,hamilton boulevard
9,Eliza Van Bibber School,1,1,1,1,K to 12,"Box 30, Pelly Crossing Y0B 1P0",YT,Yukon Territories,pelly crossing y0b 1p0,,
