idx,source_id,facility_name,facility_type,authority_name,authority_type,grade_range,grade_type,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+,address_str,street_addr,city,province,postal_code,provider,latitude,longitude,geo_source,telephone,idx_basic,temp,street_no,street_name,LP_City,LP_Province,LP_PostCode,LP_Unit,Score,Addr_type,X,Y,nom_request,nom_request_2,osm_address,osm_lat,osm_lon,osm_prov,osm_name,osm_country,osm_type,fuzzy_score,keep,dupe
a7eea1e69a6721d8ddcf,1909,Cochrane Valley Montessori School,,1620215 Alberta Ltd.,Private School,,,,,1,0,0,,6 - 205 1st Street East Cochrane AB T4C1X6,,Cochrane,AB,T4C1X6,Province of Alberta,51.18854287,-114.4651073,AGOL,(403) 710-3885,731,1909-COCHRANEVALLEYMONTESSORISCHOOL-62051STSTREETEASTCOCHRANEABT4C1X6-PROVINCEOFALBERTA,6 205,1st street east,cochrane,ab,t4c1x6,,99.32,Subaddress,-114.4651073,51.18854287,"Cochrane Valley Montessori School, Cochrane, AB, Canada","Cochrane, AB, Canada",,,,,,,,0,,True
a7eea1e69a6721d8ddcf,1909,Cochrane Valley Montessori School,,1620215 Alberta Ltd.,Private School,,,,,1,0,0,,6 - 205 1st Street East Cochrane AB T4C1X6,,Cochrane,AB,T4C1X6,Province of Alberta,51.18854287,-114.4651073,AGOL,(403) 710-3885,731,1909-COCHRANEVALLEYMONTESSORISCHOOL-62051STSTREETEASTCOCHRANEABT4C1X6-PROVINCEOFALBERTA,6 205,1st street east,cochrane,ab,t4c1x6,,99.32,Subaddress,-114.4651073,51.18854287,"Cochrane Valley Montessori School, Cochrane, AB, Canada","Cochrane, AB, Canada",,,,,,,,0,,True
062e09bb641198f4baca,1922,Cochrane Valley Montessori School,,1620215 Alberta Ltd.,Private School,,,,,0,0,0,,6 - 205 1st Street East Cochrane AB T4C1X6,,Cochrane,AB,T4C1X6,Province of Alberta,51.18854287,-114.4651073,AGOL,(403) 710-3885,738,1922-COCHRANEVALLEYMONTESSORISCHOOL-62051STSTREETEASTCOCHRANEABT4C1X6-PROVINCEOFALBERTA,6 205,1st street east,cochrane,ab,t4c1x6,,99.32,Subaddress,-114.4651073,51.18854287,"Cochrane Valley Montessori School, Cochrane, AB, Canada","Cochrane, AB, Canada",,,,,,,,0,,True
062e09bb641198f4baca,1922,Cochrane Valley Montessori School,,1620215 Alberta Ltd.,Private School,,,,,0,0,0,,6 - 205 1st Street East Cochrane AB T4C1X6,,Cochrane,AB,T4C1X6,Province of Alberta,51.18854287,-114.4651073,AGOL,(403) 710-3885,738,1922-COCHRANEVALLEYMONTESSORISCHOOL-62051STSTREETEASTCOCHRANEABT4C1X6-PROVINCEOFALBERTA,6 205,1st street east,cochrane,ab,t4c1x6,,99.32,Subaddress,-114.4651073,51.18854287,"Cochrane Valley Montessori School, Cochrane, AB, Canada","Cochrane, AB, Canada",,,,,,,,0,,True
abbd594f9942f46e6f64,1939,Aurora School,,Aurora School Ltd.,Charter,,,,,1,1,0,,12245 - 131 Street Edmonton AB T5L1M8,,Edmonton,AB,T5L1M8,Province of Alberta,,,,(780) 454-1855,754,1939-AURORASCHOOL-12245131STREETEDMONTONABT5L1M8-PROVINCEOFALBERTA,12245,131 street,edmonton,ab,t5l1m8,,85,PostalExt,-113.54971,53.57588998,"Aurora School, Edmonton, AB, Canada","Edmonton, AB, Canada",,,,,,,,0,,True
abbd594f9942f46e6f64,1939,Aurora School,,Aurora School Ltd.,Charter,,,,,1,1,0,,12245 - 131 Street Edmonton AB T5L1M8,,Edmonton,AB,T5L1M8,Province of Alberta,,,,(780) 454-1855,754,1939-AURORASCHOOL-12245131STREETEDMONTONABT5L1M8-PROVINCEOFALBERTA,12245,131 street,edmonton,ab,t5l1m8,,85,PostalExt,-113.54971,53.57588998,"Aurora School, Edmonton, AB, Canada","Edmonton, AB, Canada",,,,,,,,0,,True
a05cc8e1aaff0f1cb799,6006,Aurora School,,Aurora School Ltd.,Charter,,,,,1,0,0,,12245 - 131 Street Edmonton AB T5L1M8,,Edmonton,AB,T5L1M8,Province of Alberta,,,,(780) 454-1855,1670,6006-AURORASCHOOL-12245131STREETEDMONTONABT5L1M8-PROVINCEOFALBERTA,12245,131 street,edmonton,ab,t5l1m8,,85,PostalExt,-113.54971,53.57588998,"Aurora School, Edmonton, AB, Canada","Edmonton, AB, Canada",,,,,,,,0,,True
a05cc8e1aaff0f1cb799,6006,Aurora School,,Aurora School Ltd.,Charter,,,,,1,0,0,,12245 - 131 Street Edmonton AB T5L1M8,,Edmonton,AB,T5L1M8,Province of Alberta,,,,(780) 454-1855,1670,6006-AURORASCHOOL-12245131STREETEDMONTONABT5L1M8-PROVINCEOFALBERTA,12245,131 street,edmonton,ab,t5l1m8,,85,PostalExt,-113.54971,53.57588998,"Aurora School, Edmonton, AB, Canada","Edmonton, AB, Canada",,,,,,,,0,,True
b34124f9a96c7dcf89fd,886428,Apollo High School,,,Private,,Secondary,,,,1,1,,5467 Yonge Street Toronto Ontario M2N5S1,5467 Yonge Street,Toronto,ON,M2N5S1,Province of Ontario,43.77776947,-79.41502426,AGOL,416-839-2295,6778,886428-APOLLOHIGHSCHOOL-5467YONGESTREETTORONTOONTARIOM2N5S1-PROVINCEOFONTARIO,5467,yonge street,toronto,ontario,m2n5s1,,95.83,PointAddress,-79.41502426,43.77776947,"Apollo High School, Toronto, ON, Canada","Toronto, ON, Canada",,,,,,,,0,,True
b34124f9a96c7dcf89fd,886428,Apollo High School,,,Private,,Secondary,,,,1,1,,5467 Yonge Street Toronto Ontario M2N5S1,5467 Yonge Street,Toronto,ON,M2N5S1,Province of Ontario,43.77776947,-79.41502426,AGOL,416-839-2295,6778,886428-APOLLOHIGHSCHOOL-5467YONGESTREETTORONTOONTARIOM2N5S1-PROVINCEOFONTARIO,5467,yonge street,toronto,ontario,m2n5s1,,95.83,PointAddress,-79.41502426,43.77776947,"Apollo High School, Toronto, ON, Canada","Toronto, ON, Canada",,,,,,,,0,,True
