ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,ResultID,IN_SingleLine,USER_idx,USER_facility_name,USER_source_id,USER_authority_type,USER_address_str,USER_street_addr,USER_telephone,USER_city,USER_postal_code,USER_province,USER_ISCED4_,USER_provider
1,World,M,100.000000000000000,A,"10726 106 Ave, Grande Prairie, Alberta, T8V 4C4","10726 106 Ave, Grande Prairie, Alberta, T8V 4C4, CAN",10726 106 Ave,PointAddress,,,"10726 106 Ave, Grande Prairie, Alberta, T8V 4C4",,,20.000000000000000,,10726,,,,R,,,106,Ave,,,,,,,,,10726 106 Ave,,,College Park,Grande Prairie,Grande Prairie,,Alberta,Alberta,AB,,,T8V,4C4,CAN,ENG,0.000000000000000,-118.819789504082507,55.175556840922482,-118.818679991559435,55.175609982188604,-118.820679991559430,-118.816679991559440,55.173609982188601,55.177609982188606,,4,10726 - 106th Ave. Grande Prairie Alberta T8V4C4 Canada,3,Grande Prairie Regional College,BJAC,Junior College,10726 - 106th Ave. Grande Prairie Alberta T8V4C4 Canada,10726 - 106th Ave.,(780) 539-2911,Grande Prairie,T8V4C4,Alberta,1,Employment and Social Development Canada
2,World,M,100.000000000000000,A,"6730 University Dr, Lacombe, Alberta, T4L 2E5","6730 University Dr, Lacombe, Alberta, T4L 2E5, CAN",6730 University Dr,StreetAddress,,,"6730 University Dr, Lacombe, Alberta, T4L 2E5",,,20.000000000000000,,6730,6700,6998,6700-6998,L,,,University,Dr,,,,,,,,,6730 University Dr,,,,Lacombe,Lacombe,,Alberta,Alberta,AB,,,T4L,2E5,CAN,ENG,0.000000000000000,-113.737537342622232,52.487309972777069,-113.737537342622232,52.487309972777069,-113.738537342622237,-113.736537342622228,52.486309972777072,52.488309972777067,,2,6730 University Drive Lacombe Alberta T4L2E5 Canada,1,Burman University,BJAB,Junior College,6730 University Drive Lacombe Alberta T4L2E5 Canada,6730 University Drive,(403) 782-3381,Lacombe,T4L2E5,Alberta,1,Employment and Social Development Canada
3,World,M,99.250000000000000,A,"345 6 Ave SE, Calgary, Alberta, T2G 4V1","345 6 Ave SE, Calgary, Alberta, T2G 4V1, CAN",345 6 Ave SE,PointAddress,,,"345 6 Ave SE, Calgary, Alberta, T2G 4V1",,,20.000000000000000,,345,,,,L,,,6,Ave,SE,,,,,,,,345 6 Ave SE,,,Downtown,Calgary,Calgary,Calgary Metro Area,Alberta,Alberta,AB,,,T2G,4V1,CAN,ENG,0.000000000000000,-114.056200708288799,51.047232528704768,-114.056210012201319,51.047109985280372,-114.057210012201324,-114.055210012201314,51.046109985280374,51.048109985280369,4G1,1,345 6th Avenue SE Calgary Alberta T2G4G1 Canada,0,Bow Valley College,BJAP,Junior College,345 6th Avenue SE Calgary Alberta T2G4G1 Canada,345 6th Avenue SE,(403) 410-1400,Calgary,T2G4G1,Alberta,1,Employment and Social Development Canada
4,World,M,93.299999999999997,A,"7040 Ada Blvd NW, Edmonton, Alberta, T5B 4E3","7040 Ada Blvd NW, Edmonton, Alberta, T5B 4E3, CAN",7040 Ada Blvd NW,PointAddress,,,"7040 Ada Blvd NW, Edmonton, Alberta, T5B 4E3",,,20.000000000000000,,7040,,,,L,,,Ada,Blvd,NW,,,,,,,,7040 Ada Blvd NW,,,Virginia Park,Edmonton,Edmonton,Edmonton Metro Area,Alberta,Alberta,AB,,,T5B,4E3,CAN,ENG,0.000000000000000,-113.443916427643984,53.559897227007916,-113.444109965788257,53.560159999672408,-113.445109965788262,-113.443109965788253,53.559159999672410,53.561159999672405,T5E4B4,3,7040 Ada Blvd. Edmonton Alberta T5E4B4 Canada,2,Concordia Lutheran Seminary,BJAK,Junior College,7040 Ada Blvd. Edmonton Alberta T5E4B4 Canada,7040 Ada Blvd.,(403) 479-8481,Edmonton,T5E4B4,Alberta,1,Employment and Social Development Canada
5,World,M,100.000000000000000,A,"3000 College Dr S, Lethbridge, Alberta, T1K 1L6","3000 College Dr S, Lethbridge, Alberta, T1K 1L6, CAN",3000 College Dr S,StreetAddress,,,"3000 College Dr S, Lethbridge, Alberta, T1K 1L6",,,20.000000000000000,,3000,3098,2700,2700-3098,L,,,College,Dr,S,,,,,,,,3000 College Dr S,,,,Lethbridge,Lethbridge,,Alberta,Alberta,AB,,,T1K,1L6,CAN,ENG,0.000000000000000,-112.808851901689337,49.665671704182202,-112.808851901689337,49.665671704182202,-112.809851901689342,-112.807851901689332,49.664671704182204,49.666671704182200,,6,3000 College Dr. South Lethbridge Alberta T1K1L6 Canada,5,Lethbridge College,BJAF,Junior College,3000 College Dr. South Lethbridge Alberta T1K1L6 Canada,3000 College Dr. South,(403) 320-3372,Lethbridge,T1K1L6,Alberta,1,Employment and Social Development Canada
6,World,M,97.799999999999997,A,"4825 Mt Royal Gate SW, Calgary, Alberta, T3E 6K6","4825 Mt Royal Gate SW, Calgary, Alberta, T3E 6K6, CAN",4825 Mt Royal Gate SW,PointAddress,,,"4825 Mt Royal Gate SW, Calgary, Alberta, T3E 6K6",,,20.000000000000000,,4825,,,,L,,,Mt Royal,Gate,SW,,,,,,,,4825 Mt Royal Gate SW,,,Rutland Park,Calgary,Calgary,Calgary Metro Area,Alberta,Alberta,AB,,,T3E,6K6,CAN,ENG,0.000000000000000,-114.132553559789756,51.010238244668699,-114.132820020491636,51.010240004868365,-114.133820020491640,-114.131820020491631,51.009240004868367,51.011240004868363,MRU FEES OFFICE,8,MRU Fees Office 4825 Mount Royal- Gate SW Calgary Alberta T3E6K6 Canada,7,Mount Royal University,BJAG,Junior College,MRU Fees Office 4825 Mount Royal- Gate SW Calgary Alberta T3E6K6 Canada,MRU Fees Office 4825 Mount Royal- Gate SW,(403) 440-6306,Calgary,T3E6K6,Alberta,1,Employment and Social Development Canada
7,World,M,100.000000000000000,A,"299 College Dr SE, Medicine Hat, Alberta, T1A 3Y6","299 College Dr SE, Medicine Hat, Alberta, T1A 3Y6, CAN",299 College Dr SE,PointAddress,,,"299 College Dr SE, Medicine Hat, Alberta, T1A 3Y6",,,20.000000000000000,,299,,,,L,,,College,Dr,SE,,,,,,,,299 College Dr SE,,,,Medicine Hat,Medicine Hat,,Alberta,Alberta,AB,,,T1A,3Y6,CAN,ENG,0.000000000000000,-110.684027956185943,50.016662655406002,-110.684289974479142,50.016689980410348,-110.685289974479147,-110.683289974479138,50.015689980410350,50.017689980410346,,7,299 College Dr. S.E. Medicine Hat Alberta T1A3Y6 Canada,6,Medicine Hat College,BJAI,Junior College,299 College Dr. S.E. Medicine Hat Alberta T1A3Y6 Canada,299 College Dr. S.E.,(403) 529-3819,Medicine Hat,T1A3Y6,Alberta,1,Employment and Social Development Canada
8,World,M,99.620000000000005,A,"10215 108 St NW, Edmonton, Alberta, T5J 1L6","10215 108 St NW, Edmonton, Alberta, T5J 1L6, CAN",10215 108 St NW,PointAddress,,,"10215 108 St NW, Edmonton, Alberta, T5J 1L6",,,20.000000000000000,,10215,,,,R,,,108,St,NW,,,,,,,,10215 108 St NW,,,Downtown,Edmonton,Edmonton,Edmonton Metro Area,Alberta,Alberta,AB,,,T5J,1L6,CAN,ENG,0.000000000000000,-113.506543745056774,53.543810007881291,-113.505670015469974,53.543810007881291,-113.507670015469969,-113.503670015469979,53.541810007881288,53.545810007881293,,9,10215 - 108 Street Edmonton Alberta T5J 1L6 Canada,8,Norquest College,BJAQ,Junior College,10215 - 108 Street Edmonton Alberta T5J 1L6 Canada,10215 - 108 Street,7804222020,Edmonton,T5J 1L6,Alberta,1,Employment and Social Development Canada
9,World,M,88.000000000000000,A,T5J 2P2,"T5J 2P2, CAN",T5J 2P2,PostalExt,,T5J,"Edmonton, Alberta, T5J 2P2",,,5.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,Edmonton,,Alberta,Alberta,AB,,,T5J,2P2,CAN,ENG,0.000000000000000,-113.490370024689639,53.546240005430889,-113.490370024689639,53.546240005430889,-113.491370024689644,-113.489370024689634,53.545240005430891,53.547240005430886,FINANCIAL SERVICES | 10700 104 AVENUE,5,Financial Services P.O. Box 1796 10700 - 104 Avenue Edmonton Alberta T5J2P2 Canada,4,Grant Macewan University,BJAD,Junior College,Financial Services P.O. Box 1796 10700 - 104 Avenue Edmonton Alberta T5J2P2 Canada,Financial Services P.O. Box 1796 10700 - 104 Avenue,(780) 497-4304,Edmonton,T5J2P2,Alberta,1,Employment and Social Development Canada
10,World,M,86.670000000000002,A,T0G 1C0,"T0G 1C0, CAN",T0G 1C0,PostalExt,,T0G,"Barrhead County No 11, Alberta, T0G 1C0",,,5.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,Barrhead County No 11,,Alberta,Alberta,AB,,,T0G,1C0,CAN,ENG,0.000000000000000,-116.141800021818739,55.527009999159276,-116.141800021818739,55.527009999159276,-116.142800021818744,-116.140800021818734,55.526009999159278,55.528009999159273,MAIN CAMPUS BAG 3000,10,C/O Main Campus Bag 3000 Grouard Alberta T0G 1C0 Canada,9,Northern Lakes College,BJAR,Junior College,C/O Main Campus Bag 3000 Grouard Alberta T0G 1C0 Canada,C/O Main Campus Bag 3000,7808498616,Grouard,T0G 1C0,Alberta,1,Employment and Social Development Canada
