Name,Address,StreetNumber,StreetName,PostalCode,City,Province,Latitude,Longitude,CSDUID,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+,ISCED_SUM,dupe
Aurora Virtual School,4201 4th avenue whitehorse y1a 5a1,4201,4th avenue,,,YT,60.72588632,-135.0626568,6001009,1.0,1.0,1.0,1.0,0,4,True
Aurora School,12245 131 street edmonton ab t5l1m8,,131 street,T5L1M8,Edmonton,AB,53.57588998,-113.54971,4811061,0,1.0,1.0,0.0,0,2,True
Cochrane Valley Montessori School,6 205 1st street east cochrane ab t4c1x6,205,1st street east,T4C1X6,Cochrane,AB,51.18815998,-114.46539,4806019,0,1.0,0.0,0.0,0,1,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,1.0,1.0,0,4,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,0.0,1.0,1.0,1.0,0,3,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,0.0,1.0,1.0,1.0,0,3,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,0.0,1.0,1.0,1.0,0,3,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,0.0,1.0,1.0,1.0,0,3,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,1.0,1.0,0.0,0.0,0,2,True
Home-based School,sk,,,,,SK,54.41858768,-105.8888539,4718090,0.0,1.0,1.0,0.0,0,2,True
St Thomas Aquinas High School,1 poirier dr kenora ontario p9n4g8,1,poirier dr,P9N4G8,Kenora,ON,49.78298001,-94.45808003,3560010,0.0,0.0,1.0,1.0,0,2,True
Ã‰cole secondaire catholique Ã‰lisabeth-BruyÃ¨re,359 brydges rue mattawa ontario p0h1v0,359,brydges rue,P0H1V0,Mattawa,ON,46.31817001,-78.71237996,3548021,0.0,0.0,1.0,1.0,0,2,True
Bruce Peninsula District School,5 moore st lion s head ontario n0h1w0,5,moore st,N0H1W0,Lion s Head,ON,44.98497999,-81.24789,3541069,1.0,1.0,1.0,0.0,0,3,True
Peninsula Shores District School,115 george st wiarton ontario n0h2t0,115,george st,N0H2T0,Wiarton,ON,44.74143978,-81.14975102,3541055,1.0,1.0,1.0,0.0,0,3,True
Robarts Provincial School for the Deaf,1515 cheapside street london ontario n5v3n9,1515,cheapside street,N5V3N9,London,ON,43.01571001,-81.20656998,3539036,1.0,1.0,1.0,0.0,0,3,True
DSBN Academy,130 louth street st catharines ontario l2s2t4,130,louth street,L2S2T4,St. Catharines,ON,43.13872001,-79.25928003,3526053,0.0,1.0,1.0,0.0,0,2,True
E C Drury/Trillium Demonstration School,347 ontario st s milton ontario l9t3x9,347,ontario st s,L9T3X9,Milton,ON,43.51196,-79.86882997,3524009,0.0,1.0,1.0,0.0,0,2,True
Cardinal Carter Academy for the Arts,36 greenfield ave toronto ontario m2n3c8,36,greenfield ave,M2N3C8,Toronto,ON,43.76408999,-79.40972002,3520005,0.0,0.0,1.0,1.0,0,2,True
Apollo High School,5467 yonge street toronto ontario m2n5s1,5467,yonge street,M2N5S1,Toronto,ON,43.77782001,-79.41467004,3520005,0,0,1.0,1.0,0,2,True
ALPHA II Alternative School,1141 bloor st w toronto ontario m6h1m9,1141,bloor st w,M6H1M9,Toronto,ON,43.65955999,-79.43624003,3520005,0.0,0.0,1.0,1.0,0,2,True
Sir James Whitney School for the Deaf,350 dundas st w belleville ontario k8p1b2,350,dundas st w,K8P1B2,Belleville,ON,44.14943998,-77.40196001,3512005,1.0,1.0,1.0,0.0,0,3,True
Centre Jules-LÃ©ger Ã‰P SurditÃ© palier,281 av lanark ottawa ontario k1z6r8,281,av lanark,K1Z6R8,Ottawa,ON,45.39897002,-75.75389998,3506008,1.0,1.0,1.0,0.0,0,3,True
Centre Jules-LÃ©ger Ã‰P SurdicÃ©citÃ©,281 av lanark ottawa ontario k1z6r8,281,av lanark,K1Z6R8,Ottawa,ON,45.39897002,-75.75389998,3506008,1.0,1.0,1.0,0.0,0,3,True
Centre Jules-LÃ©ger Ã‰A DifficultÃ©,281 av lanark ottawa ontario k1z6r8,281,av lanark,K1Z6R8,Ottawa,ON,45.39897002,-75.75389998,3506008,0.0,1.0,1.0,0.0,0,2,True
Le Rucher,100 33e avenue nord bois des filion j6z2c4,100,33e avenue nord,J6Z2C4,Bois-des-Filion,QC,45.670079,-73.75781,2473030,0,1.0,0,0,0,1,True
CollÃ¨ge CDI Administration . Technologie . SantÃ© - Pointe-Claire,1000 boulevard st jean pointe claire h9r5p1,1000,boulevard st jean,H9R5P1,Pointe-Claire,QC,45.469077,-73.832741,2466097,0,0,0,0,1.0,1,True
Ã‰cole nationale de cirque,8181 2e avenue montrÃ©al h1z4n9,8181,2e avenue,H1Z4N9,MontrÃ©al,QC,45.561794,-73.613646,2466023,0,0,1.0,1.0,0,2,True
Institut de tourisme et d'hÃ´tellerie du QuÃ©bec,3535 rue saint denis montrÃ©al h2x3p1,3535,rue saint denis,H2X3P1,MontrÃ©al,QC,45.51798,-73.568679,2466023,0,0,0,0,1.0,1,True
Institut Teccart,3030 rue hochelaga montrÃ©al h1w1g2,3030,rue hochelaga,H1W1G2,MontrÃ©al,QC,45.540421,-73.554851,2466023,0,0,0,0,1.0,1,True
CollÃ¨ge international Marie de France,4635 chemin queen mary montrÃ©al h3w1w3,4635,chemin queen mary,H3W1W3,MontrÃ©al,QC,45.490252,-73.625122,2466023,1.0,1.0,1.0,1.0,0,4,True
CollÃ¨ge des Technologies de l'Information de MontrÃ©al,1255 boulevard robert bourassa montrÃ©al h3b3v8,1255,boulevard robert bourassa,H3B3V8,MontrÃ©al,QC,45.503141,-73.569217,2466023,0,0,0,0,1.0,1,True
CollÃ¨ge St-Michel,1995 rue bÃ©langer montrÃ©al h2g1b8,1995,rue bÃ©langer,H2G1B8,MontrÃ©al,QC,45.548009,-73.602282,2466023,0,0,0,0,1.0,1,True
CollÃ¨ge St-Jean-Vianney,12630 boulevard gouin est montrÃ©al h1c1b9,12630,boulevard gouin est,H1C1B9,MontrÃ©al,QC,45.691773,-73.51985,2466023,0,0,1.0,1.0,0,2,True
CollÃ¨ge LaSalle,2000 rue sainte catherine ouest montrÃ©al h3h2t2,2000,rue sainte catherine ouest,H3H2T2,MontrÃ©al,QC,45.491442,-73.581805,2466023,0,0,0,0,1.0,1,True
CollÃ¨ge CDI Administration. Technologie. SantÃ© - Saint-LÃ©onard,9480 boulevard lacordaire montrÃ©al h1r0c4,9480,boulevard lacordaire,H1R0C4,MontrÃ©al,QC,45.600248,-73.615176,2466023,0,0,0,0,1.0,1,True
SÃ©minaire de Sherbrooke,195 rue marquette sherbrooke j1h1l6,195,rue marquette,J1H1L6,Sherbrooke,QC,45.403012,-71.894517,2443027,0,0,1.0,1.0,0,2,True
"CollÃ¨ge Ellis, campus de Trois-RiviÃ¨res",90 rue dorval trois riviÃ¨res g8t5x7,90,rue dorval,G8T5X7,Trois-RiviÃ¨res,QC,46.36319,-72.50922,2437067,0,0,0,0,1.0,1,True
Campus Notre-Dame-de-Foy,5000 rue clÃ©ment lockquell saint augustin de desmaures g3a1b3,5000,rue clÃ©ment lockquell,G3A1B3,Saint-Augustin-de-Desmaures,QC,46.736869,-71.399553,2423072,0,0,0,0,1.0,1,True
