,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
50,50,50,50,50,50,ac4d74cfe2a9f68fd906,187e266030d641cbd9ec,St Mary s Elementary School,St Mary s Elementary School,1.0,1.0,0.790183677,0.493150685,5207 42ND ST LLOYDMINSTER sk T9V 1M8,5207 42 Street Lloydminster AB T9V1M8,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,187e266030d641cbd9ec,idx2,correct prov,,187e266030d641cbd9ec
51,51,51,51,51,51,0f9dcdd6ca45c5178f4f,586fbd9fa0f3014ed6cb,St Joseph Elementary School,St Joseph s Elementary School,0.931034483,0.973728991,0.853341367,0.467532468,5706 27TH STREET LLOYDMINSTER sk T9V 2B8,5706 27 Street Lloydminster AB T9V2B8,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,586fbd9fa0f3014ed6cb,idx2,correct prov,,586fbd9fa0f3014ed6cb
52,52,52,52,52,52,b9bd20272187edb7e36f,fc0b366545de5b5c7a6e,Mother Teresa Early Childhood Education Center,Mother Teresa Early Childhood Education Centre,0.97826087,0.949546915,0.800055369,0.493150685,5216 44TH ST LLOYDMINSTER sk T9V 1R6,5216 44 Street Lloydminster AB T9V1R6,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,fc0b366545de5b5c7a6e,idx2,correct prov,,fc0b366545de5b5c7a6e
53,53,53,53,53,53,d0b9934700dc6073307a,4bd1bec11a03880469b4,Lloydminster Comprehensive High School,Lloydminster Comprehensive High School,1.0,1.0,0.795238443,0.493150685,5615 42ND ST LLOYDMINSTER sk T9V 0A2,5615 42 Street Lloydminster AB T9V0A2,1,0.714285714,0.721687836,1,0.0,1,1,1,1,1,False,False,True,4bd1bec11a03880469b4,idx2,correct prov,,4bd1bec11a03880469b4
54,54,54,54,54,54,63fbef77d9e27d882aa5,248e17fa1d0c5044761b,Holy Rosary High School,Holy Rosary High School,1.0,1.0,0.899387501,0.469135802,6611A 39TH STREET LLOYDMINSTER sk T9V 2Z4,6611A 39th Street Lloydminster AB T9V2Z4,1,1.0,1.0,1,0.0,1,1,1,1,1,False,True,True,248e17fa1d0c5044761b,idx2,correct prov,,248e17fa1d0c5044761b
55,55,55,55,55,55,113bb1f873e8c6523dd4,5eb6f92e4881283d65f7,College Park School,College Park School,1.0,1.0,0.880078233,0.52173913,2115 56 AVE LLOYDMINSTER sk T9V 2W2,2115 56 Ave Lloydminster AB T9V2W2,1,1.0,1.0,1,0.0,1,1,1,1,1,False,True,True,5eb6f92e4881283d65f7,idx2,correct prov,,5eb6f92e4881283d65f7
68,68,68,68,68,68,9b924df327a8cf7cb5a8,ac69eb57dd676726b34a,Providence Children s Centre,Providence Children s Centre Midnapore,0.736842105,0.922224668,1.0,1.0,5232 4 Street SW Calgary AB T2V0Z4,5232 4 Street SW Calgary AB T2V0Z4,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,True,9b924df327a8cf7cb5a8,idx1,correct name for location,"midnapore location should be 104-14707 Bannister Rd SE, Calgary",9b924df327a8cf7cb5a8
69,69,69,69,69,69,9b924df327a8cf7cb5a8,cb4627a46e2acddd582e,Providence Children s Centre,Providence Children s Centre Hawkwood,0.756756757,0.909353109,1.0,1.0,5232 4 Street SW Calgary AB T2V0Z4,5232 4 Street SW Calgary AB T2V0Z4,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,True,cb4627a46e2acddd582e,idx2,correct name for location,,cb4627a46e2acddd582e
89,89,89,89,89,89,fd490baf48b82522304f,e52d59da07657d97aee7,New Rockport Colony School,Rockport Colony School,0.846153846,0.928476691,0.956182887,0.943396226,PO Box 10 Cardston AB T0K0K0,Box 10 Cardston AB T0K0K0,0,0.0,0.0,1,,0,1,1,1,1,True,False,True,fd490baf48b82522304f,idx1,longer address,,fd490baf48b82522304f
95,95,95,95,95,95,36d7e06da69acc296fa7,857aeee20f502214e730,Bishop Murray High School,Bishop Murray High School FSP,0.862068966,0.939895399,0.953661207,0.935064935,615 WIGGINS AVENUE SASKATOON sk S7H 2J2,615 WIGGINS AVE S SASKATOON sk S7H 2J2,1,0.833333333,0.934198733,1,0.0,1,1,1,1,1,True,True,True,857aeee20f502214e730,idx2,includes direction,,857aeee20f502214e730
151,151,151,151,151,151,dec2f767d1f6a65d1722,ec682e70b6f04503c8df,Stanford International College of Business & Technology,Stanford International College of Business & Technology,1.0,1.0,0.944945335,0.96,1011 Eglinton Ave East Suite 1 Mississauga Ontario L4K1K4 Canada,1011 Eglinton Ave E Suite 7 Mississauga Ontario L4K1K4 Canada,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,True,dec2f767d1f6a65d1722,idx1,correct unit,,dec2f767d1f6a65d1722
153,153,153,153,153,153,8cb86be9ccc41ff1fab7,3dc0c54ca79699145bd4,Peel Alternative South,Peel Alternative South ISR,0.846153846,0.922958207,1.0,0.772727273,1500 Ogden Avenue Mississauga Ontario L5E2H8,1500 Ogden Avenue MISSISSAUGA Ontario L5E2H8,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,True,8cb86be9ccc41ff1fab7,idx1,format,,8cb86be9ccc41ff1fab7
186,186,186,186,186,186,f12998374385ecaa95bd,d26cacf96fb6686f650a,FH International High School,FH International High School Online,0.8,0.922122855,0.827076027,0.863636364,670 Progress Avenue Toronto Ontario M1H3A4,670 Progress Avenue Scarborough Ontario M1H3A4,1,1.0,1.0,1,0.0,1,1,1,1,1,False,True,True,d26cacf96fb6686f650a,idx2,correct city,,d26cacf96fb6686f650a
204,204,204,204,204,204,51e4159014a53e5056fe,fa3f57cd33111b17b3e0,Associated Hebrew Schools of Toronto,Associated Hebrew Schools of Toronto,1.0,1.0,0.948907547,0.911392405,252 Finch Ave W Toronto Ontario M2R1M9,252 Finch West Ave Toronto Ontario M2R1M9,1,0.6,1.0,1,,1,1,1,1,1,True,True,True,51e4159014a53e5056fe,idx1,format,,51e4159014a53e5056fe
216,216,216,216,216,216,4178e7b99152f0216a41,afc491d5c8c646441df0,King Heights Academy Woodbridge,King Heights Academy Woodbridge,1.0,1.0,0.792500514,0.795454545,201 & 202 28 Rotec Road Woodbridge Ontario L4L8E4,28 Rotec Road Woodbridge Ontario L4K5T7,1,1.0,1.0,0,,1,1,1,1,1,False,True,True,4178e7b99152f0216a41,idx1,correct postal and units,,4178e7b99152f0216a41
257,257,257,257,257,257,e4aa688529a01fae8251,3e44ed980b6e7b38ea2c,Cegep Baie Comeau,Cegep de Baie Comeau,0.85,0.939148551,0.724775946,0.701298701,537 Bleau Baie Comeau Quebec G5C2B2 Canada,537 boul Blanche Baie Comeau G5C2B2,1,0.25,0.316227766,1,,1,1,1,1,1,False,False,True,3e44ed980b6e7b38ea2c,idx2,Quebec > ESDC,,3e44ed980b6e7b38ea2c
