Name,Address,StreetNumber,StreetName,PostalCode,City,Province,Latitude,Longitude,CSDUID,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+,ISCED_SUM,NameClean,dupe
Apollo High School,5467 Yonge Street Toronto Ontario M2N5S1,5467,yonge st,m2n5s1,Toronto,ON,43.77776947,-79.41502426,3520005,000,000,010,010,000,20,apollo high school,True
Apollo High School,5467 Yonge Street Toronto Ontario M2N5S1,5467,yonge st,m2n5s1,Toronto,ON,43.77776947,-79.41502426,3520005,000,000,010,010,000,20,apollo high school,True
Le Rucher,100 33e Avenue Nord Bois des Filion J6Z2C4,100,33e av n,j6z2c4,Bois-des-Filion,QC,45.670079,-73.75781,2473030,000,010,000,000,000,10,le rucher,True
Le Rucher,100 33e Avenue Nord Bois des Filion J6Z2C4,100,33e av n,j6z2c4,Bois-des-Filion,QC,45.670079,-73.75781,2473030,000,010,000,000,000,10,le rucher,True
Institut de tourisme et d hotellerie du Quebec,3535 rue Saint Denis Montreal H2X3P1,3535,rue saint-denis,h2x3p1,Montreal,QC,45.51798,-73.568679,2466023,000,000,000,000,010,10,institut de tourisme et d hotellerie du quebec,True
Institut de tourisme et d hotellerie du Quebec,3535 rue Saint Denis Montreal H2X3P1,3535,rue saint-denis,h2x3p1,Montreal,QC,45.51798,-73.568679,2466023,000,000,000,000,010,10,institut de tourisme et d hotellerie du quebec,True
Institut Teccart,3030 rue Hochelaga Montreal H1W1G2,3030,rue hochelaga,h1w1g2,Montreal,QC,45.540421,-73.554851,2466023,000,000,000,000,010,10,institut teccart,True
Institut Teccart,3030 rue Hochelaga Montreal H1W1G2,3030,rue hochelaga,h1w1g2,Montreal,QC,45.540421,-73.554851,2466023,000,000,000,000,010,10,institut teccart,True
College St Michel,1995 rue Belanger Montreal H2G1B8,1995,rue belanger,h2g1b8,Montreal,QC,45.548009,-73.602282,2466023,000,000,000,000,010,10,college st michel,True
College St Michel,1995 rue Belanger Montreal H2G1B8,1995,rue belanger,h2g1b8,Montreal,QC,45.548009,-73.602282,2466023,000,000,000,000,010,10,college st michel,True
College Herzing,1616 boul Rene Levesque Ouest Montreal H3H1P8,1616,boul rene-levesque o,h3h1p8,Montreal,QC,45.493246,-73.575236,2466023,000,000,000,000,010,10,college herzing,True
College Herzing,1616 boul Rene Levesque Ouest Montreal H3H1P8,1616,boul rene-levesque o,h3h1p8,Montreal,QC,45.493246,-73.575236,2466023,000,000,000,000,010,10,college herzing,True
College CDI Administration Technologie Sante Saint Leonard,9480 boul Lacordaire Bureau 204 Montreal H1R0C4,9480,boul lacordaire,h1r0c4,Montreal,QC,45.600248,-73.615176,2466023,000,000,000,000,010,10,college cdi administration technologie sante saint leonard,True
College CDI Administration Technologie Sante Saint Leonard,9480 boul Lacordaire Bureau 204 Montreal H1R0C4,9480,boul lacordaire,h1r0c4,Montreal,QC,45.600248,-73.615176,2466023,000,000,000,000,010,10,college cdi administration technologie sante saint leonard,True
College Ellis campus de Trois Rivieres,90 rue Dorval Trois Rivieres G8T5X7,90,rue dorval,g8t5x7,Trois-Rivieres,QC,46.36319,-72.50922,2437067,000,000,000,000,010,10,college ellis campus de trois rivieres,True
College Ellis campus de Trois Rivieres,90 rue Dorval Trois Rivieres G8T5X7,90,rue dorval,g8t5x7,Trois-Rivieres,QC,46.36319,-72.50922,2437067,000,000,000,000,010,10,college ellis campus de trois rivieres,True
Campus Notre Dame de Foy,5000 rue Clement Lockquell Saint Augustin de Desmaures G3A1B3,5000,rue clement-lockquell,g3a1b3,Saint-Augustin-de-Desmaures,QC,46.736869,-71.399553,2423072,000,000,000,000,010,10,campus notre dame de foy,True
Campus Notre Dame de Foy,5000 rue Clement Lockquell Saint Augustin de Desmaures G3A1B3,5000,rue clement-lockquell,g3a1b3,Saint-Augustin-de-Desmaures,QC,46.736869,-71.399553,2423072,000,000,000,000,010,10,campus notre dame de foy,True
