Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
0,0,0,0,0,0,10cd32282fa01765b240,9e2cb8badc47497149a2,SD57 StrongStart Centre 06,SD57 StrongStart Centre 08,0.961538462,0.939393939,0.540061725,0.547619048,251 Ogilive St Prince George BC V2M 3M4,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.076923077,0.0,0,,1,1,1,1,1,False,False,False,,,different address,,NA
1,1,1,1,1,1,584040600e690748ce47,9e2cb8badc47497149a2,SD57 StrongStart Centre 05,SD57 StrongStart Centre 08,0.961538462,0.939393939,0.531974524,0.465116279,3500 Westwood Dr Prince George BC V2N 1S1,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.307692308,0.144337567,0,12.28638154,1,1,1,1,1,False,False,False,,,different address,,NA
2,2,2,2,2,2,584040600e690748ce47,10cd32282fa01765b240,SD57 StrongStart Centre 05,SD57 StrongStart Centre 06,0.961538462,0.939393939,0.595879572,0.5,3500 Westwood Dr Prince George BC V2N 1S1,251 Ogilive St Prince George BC V2M 3M4,0,0.090909091,0.087038828,0,,1,1,1,1,1,False,False,False,,,different address,,NA
3,3,3,3,3,3,9472ddf6018b1510a2c4,9e2cb8badc47497149a2,SD57 StrongStart Centre 04,SD57 StrongStart Centre 08,0.961538462,0.939393939,0.604367223,0.642857143,1193 Harper St Prince George BC V2M 2X1,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.384615385,0.237170825,0,9.243266118,1,1,1,1,1,False,False,False,,,different address,,NA
4,4,4,4,4,4,9472ddf6018b1510a2c4,10cd32282fa01765b240,SD57 StrongStart Centre 04,SD57 StrongStart Centre 06,0.961538462,0.939393939,0.696310624,0.641025641,1193 Harper St Prince George BC V2M 2X1,251 Ogilive St Prince George BC V2M 3M4,0,0.3,0.286038777,0,,1,1,1,1,1,False,False,False,,,different address,,NA
5,5,5,5,5,5,9472ddf6018b1510a2c4,584040600e690748ce47,SD57 StrongStart Centre 04,SD57 StrongStart Centre 05,0.961538462,0.939393939,0.600148203,0.5,1193 Harper St Prince George BC V2M 2X1,3500 Westwood Dr Prince George BC V2N 1S1,0,0.090909091,0.182574186,0,3.133079917,1,1,1,1,1,False,False,False,,,different address,,NA
6,6,6,6,6,6,a992a28215897c1c0830,9e2cb8badc47497149a2,SD57 StrongStart Centre 03,SD57 StrongStart Centre 08,0.961538462,0.939393939,0.534522484,0.578313253,1401 17th Ave Prince George BC V2L 3Z2,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.230769231,0.088388348,0,,1,1,1,1,1,False,False,False,,,different address,,NA
7,7,7,7,7,7,a992a28215897c1c0830,10cd32282fa01765b240,SD57 StrongStart Centre 03,SD57 StrongStart Centre 06,0.961538462,0.939393939,0.639209227,0.675324675,1401 17th Ave Prince George BC V2L 3Z2,251 Ogilive St Prince George BC V2M 3M4,0,0.1,0.0,0,,1,1,1,1,1,False,False,False,,,different address,,NA
8,8,8,8,8,8,a992a28215897c1c0830,584040600e690748ce47,SD57 StrongStart Centre 03,SD57 StrongStart Centre 05,0.961538462,0.939393939,0.610830961,0.556962025,1401 17th Ave Prince George BC V2L 3Z2,3500 Westwood Dr Prince George BC V2N 1S1,0,0.181818182,0.0,0,,1,1,1,1,1,False,False,False,,,different address,,NA
9,9,9,9,9,9,a992a28215897c1c0830,9472ddf6018b1510a2c4,SD57 StrongStart Centre 03,SD57 StrongStart Centre 04,0.961538462,0.939393939,0.603022689,0.519480519,1401 17th Ave Prince George BC V2L 3Z2,1193 Harper St Prince George BC V2M 2X1,0,0.111111111,0.0,0,,1,1,1,1,1,False,False,False,,,different address,,NA
10,10,10,10,10,10,7a96cbba7cf2b8f0230b,9e2cb8badc47497149a2,SD57 StrongStart Centre 02,SD57 StrongStart Centre 08,0.961538462,0.939393939,0.509175077,0.465116279,2579 Victoria St Prince George BC V2L 2M3,7151 Heather Park Rd Prince George BC V2K 5Y3,0,0.230769231,0.0,0,11.25142342,1,1,1,1,1,False,False,False,,,different address,,NA
