Name,Address,StreetNumber,StreetName,PostalCode,City,Province,Latitude,Longitude,CSDUID,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+,ISCED_SUM,NameClean,dupe
Aurora School,12245 131 Street Edmonton AB T5L1M8,12245,131 st,t5l1m8,Edmonton,AB,,,4811061.0,0.0,1.0,1.0,0.0,0,2,aurora school,True
Aurora School,12245 131 Street Edmonton AB T5L1M8,12245,131 st,t5l1m8,Edmonton,AB,,,4811061.0,1.0,1.0,0.0,0.0,0,2,aurora school,True
Cochrane Valley Montessori School,6 205 1st Street East Cochrane AB T4C1X6,6 205,1st st e,t4c1x6,Cochrane,AB,51.18854287,-114.4651073,4806019.0,0.0,1.0,0.0,0.0,0,1,cochrane valley montessori school,True
Cochrane Valley Montessori School,6 205 1st Street East Cochrane AB T4C1X6,6 205,1st st e,t4c1x6,Cochrane,AB,51.18854287,-114.4651073,4806019.0,1.0,0.0,0.0,0.0,0,1,cochrane valley montessori school,True
St Thomas Aquinas High School,1 Poirier Dr Kenora Ontario P9N4G8,1,poirier dr,p9n4g8,Kenora,ON,49.78385,-94.4592,3560010.0,0.0,0.0,1.0,1.0,0,2,st thomas aquinas high school,True
St Thomas Aquinas High School,1 Poirier Dr Kenora Ontario P9N4G8,1,poirier dr,p9n4g8,Kenora,ON,49.78164,-94.4604,3560010.0,0.0,0.0,1.0,0.0,0,1,st thomas aquinas high school,True
Ecole secondaire catholique Elisabeth Bruyere,359 Brydges rue Mattawa Ontario P0H1V0,359,brydges rue,p0h1v0,Mattawa,ON,46.3186,-78.7119,3548021.0,0.0,0.0,1.0,1.0,0,2,ecole secondaire catholique elisabeth bruyere,True
Ecole secondaire catholique Elisabeth Bruyere,359 Brydges rue Mattawa Ontario P0H1V0,359,brydges rue,p0h1v0,Mattawa,ON,46.31855,-78.7111,3548021.0,0.0,0.0,1.0,0.0,0,1,ecole secondaire catholique elisabeth bruyere,True
Bruce Peninsula District School,5 Moore St Lion s Head Ontario N0H1W0,5,moore st,n0h1w0,Lion s Head,ON,44.98479,-81.2519,3541069.0,1.0,1.0,1.0,0.0,0,3,bruce peninsula district school,True
Bruce Peninsula District School,5 Moore St Lion s Head Ontario N0H1W0,5,moore st,n0h1w0,Lion s Head,ON,44.98478,-81.2519,3541069.0,0.0,0.0,1.0,1.0,0,2,bruce peninsula district school,True
Peninsula Shores District School,115 George St Wiarton Ontario N0H2T0,115,george st,n0h2t0,Wiarton,ON,44.74086,-81.1507,3541055.0,1.0,1.0,1.0,0.0,0,3,peninsula shores district school,True
Peninsula Shores District School,115 George St Wiarton Ontario N0H2T0,115,george st,n0h2t0,Wiarton,ON,44.74067,-81.1492,3541055.0,0.0,0.0,1.0,1.0,0,2,peninsula shores district school,True
Robarts Provincial School for the Deaf,1515 Cheapside Street London Ontario N5V3N9,1515,cheapside st,n5v3n9,London,ON,43.01277,-81.2087,3539036.0,1.0,1.0,1.0,0.0,0,3,robarts provincial school for the deaf,True
Robarts Provincial School for the Deaf,1515 Cheapside Street London Ontario N5V3N9,1515,cheapside st,n5v3n9,London,ON,43.01277,-81.2087,3539036.0,0.0,0.0,1.0,1.0,0,2,robarts provincial school for the deaf,True
DSBN Academy,130 Louth Street St Catharines Ontario L2S2T4,130,louth st,l2s2t4,St. Catharines,ON,43.1384,-79.2573,3526053.0,0.0,1.0,1.0,0.0,0,2,dsbn academy,True
DSBN Academy,130 Louth Street St Catharines Ontario L2S2T4,130,louth st,l2s2t4,St. Catharines,ON,43.1384,-79.2573,3526053.0,0.0,0.0,1.0,1.0,0,2,dsbn academy,True
E C Drury/Trillium Demonstration School,347 Ontario St S Milton Ontario L9T3X9,347,on st s,l9t3x9,Milton,ON,43.51216,-79.8691,3524009.0,0.0,1.0,1.0,0.0,0,2,e c drurytrillium demonstration school,True
E C Drury/Trillium Demonstration School,347 Ontario St S Milton Ontario L9T3X9,347,on st s,l9t3x9,Milton,ON,43.51216,-79.8691,3524009.0,0.0,0.0,1.0,1.0,0,2,e c drurytrillium demonstration school,True
Cardinal Carter Academy for the Arts,36 Greenfield Ave Toronto Ontario M2N3C8,36,greenfield av,m2n3c8,Toronto,ON,43.76381,-79.4097,3520005.0,0.0,0.0,1.0,1.0,0,2,cardinal carter academy for the arts,True
