Index,Name,Address
ae233f2a28403aee479a,Khàtìnas.àxh Community School,"#1 School Road, Teslin Y0A 1B0"
ad13b01dd0b438503df3,Ghùch Tlâ Community School,"202 Austin Street, Carcross Y0B 1B0"
aff36b4cc54e60514310,École Whitehorse Elementary School,"4181 4th Avenue, Whitehorse Y1A 1J7"
f00bbf448417ac8d3c49,École Émilie-Tremblay,"20 Falcon Drive, Whitehorse Y1A 6B2"
f262de1ba240f059b383,Centre scolaire secondaire communautaire Paul-Émile Mercier (CSSC Mercier),"20 Falcon Drive, Whitehorse Y1A 6B2"
0affa8a2701f724cea13,École des trois soleil,
bdfa0af8d2889b3dbf21,École Allain St-Cyr,École Allain St-Cyr 48 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2
95be3160168101b6304e,École Borale,École Borale 145 PROMENADE RIVERVIEW HAY RIVER NT X0E 0R8
d6297a5504f1975c92a9,Deh Gáh Elementary and Secondary School,Deh Gáh Elementary and Secondary School PO BOX 320 FORT PROVIDENCE NT X0E 0L0
31eca15292e62e61d960,Líídlįį Kúę Elementary School (Bompas Elementary School),Líídlįį Kúę Elementary School (Bompas Elementary School) PO BOX 499 FORT SIMPSON NT X0E 0N0
68787a31f5da6782ef94,Líídlįį Kúę Regional High School (Thomas Simpson Secondary School),Líídlįį Kúę Regional High School (Thomas Simpson Secondary School) PO BOX 252 FORT SIMPSON NT X0E 0N0
a679cf89732a9f7cd169,École St. Joseph School,École St. Joseph School PO BOX 728 YELLOWKNIFE NT X1A 2N5
a208978d90f7687c6f3a,École St. Patrick High School,École St. Patrick High School PO BOX 2880 YELLOWKNIFE NT X1A 2R2
31f11600b873d47e1cae,École J.H. Sissons School,École J.H. Sissons School 50 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2
c19b3b3d0c1d8525adc7,École Sir John Franklin High School,École Sir John Franklin High School PO BOX 1200 YELLOWKNIFE NT X1A 2N8
2c7f626d677cb065bd0a,École William McDonald School,École William McDonald School 50 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2
