Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,Provider,Latitude,Longitude,Geo_Source,CSDUID,CSDNAME,PRUID
ae233f2a28403aee479a,,Khàtìnas.àxh Community School,,,,1,1,1,0,,"#1 School Road, Teslin Y0A 1B0",,#1,school road,Teslin,YT,Y0A 1B0,Yukon Territories,,,,,,60
ad13b01dd0b438503df3,,Ghùch Tlâ Community School,,,,1,1,1,0,,"202 Austin Street, Carcross Y0B 1B0",,202,austin street,Carcross,YT,Y0B 1B0,Yukon Territories,,,,,,60
aff36b4cc54e60514310,,École Whitehorse Elementary School,,,,1,1,1,0,,"4181 4th Avenue, Whitehorse Y1A 1J7",,4181,4th avenue,Whitehorse,YT,Y1A 1J7,Yukon Territories,,,,,,60
f00bbf448417ac8d3c49,,École Émilie-Tremblay,,,,1,1,0,0,,"20 Falcon Drive, Whitehorse Y1A 6B2",,20,falcon drive,Whitehorse,YT,Y1A 6B2,Yukon Territories,,,,,,60
f262de1ba240f059b383,,Centre scolaire secondaire communautaire Paul-Émile Mercier (CSSC Mercier),,,,0,0,1,1,,"20 Falcon Drive, Whitehorse Y1A 6B2",,20,falcon drive,Whitehorse,YT,Y1A 6B2,Yukon Territories,,,,,,60
0affa8a2701f724cea13,,École des trois soleil,,,,,,,,,,,,,Iqaluit (CSFN),NU,,Nunavut,,,,,,62
bdfa0af8d2889b3dbf21,,École Allain St-Cyr,,CSF,1,1,1,1,1,,cole Allain St-Cyr 48 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2,,48,taylor road,Yellowknife,NT,X1A 3X2,Northwest Territories,62.44122962,-114.3896206,AGOL,6106023,Yellowknife,61
95be3160168101b6304e,,École Borale,,CSF,1,1,1,1,1,,cole Borale 145 PROMENADE RIVERVIEW HAY RIVER NT X0E 0R8,,145,promenade riverview,Hay River,NT,X0E 0R8,Northwest Territories,,,,,,61
d6297a5504f1975c92a9,,Deh Gáh Elementary and Secondary School,,DDEC,1,1,1,1,1,,Deh Gh Elementary & Secondary School PO BOX 320 FORT PROVIDENCE NT X0E 0L0,,,,Fort Providence,NT,X0E 0L0,Northwest Territories,,,,,,61
31eca15292e62e61d960,,Líídlįį Kúę Elementary School (Bompas Elementary School),,DDEC,1,1,1,0,0,,dl K Elementary School (Bompas Elementary School) PO BOX 499 FORT SIMPSON NT X0E 0N0,,,,Fort Simpson,NT,X0E 0N0,Northwest Territories,,,,,,61
68787a31f5da6782ef94,,Líídlįį Kúę Regional High School (Thomas Simpson Secondary School),,DDEC,0,0,0,1,1,,dl K Regional High School (Thomas Simpson Secondary School) PO BOX 252 FORT SIMPSON NT X0E 0N0,,,,Fort Simpson,NT,X0E 0N0,Northwest Territories,,,,,,61
a679cf89732a9f7cd169,,École St. Joseph School,,YCS,1,1,1,1,0,,cole St. Joseph School PO BOX 728 YELLOWKNIFE NT X1A 2N5,,,,Yellowknife,NT,X1A 2N5,Northwest Territories,,,,,,61
a208978d90f7687c6f3a,,École St. Patrick High School,,YCS,0,0,0,1,1,,cole St. Patrick High School PO BOX 2880 YELLOWKNIFE NT X1A 2R2,,,,Yellowknife,NT,X1A 2R2,Northwest Territories,,,,,,61
31f11600b873d47e1cae,,École J.H. Sissons School,,YK1,1,1,1,0,0,,cole J.H. Sissons School 50 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2,,50,taylor road,Yellowknife,NT,X1A 3X2,Northwest Territories,62.44121105,-114.3898861,AGOL,6106023,Yellowknife,61
c19b3b3d0c1d8525adc7,,École Sir John Franklin High School,,YK1,0,0,0,1,1,,cole Sir John Franklin High School PO BOX 1200 YELLOWKNIFE NT X1A 2N8,,,,Yellowknife,NT,X1A 2N8,Northwest Territories,,,,,,61
2c7f626d677cb065bd0a,,École William McDonald School,,YK1,0,0,1,1,0,,cole William McDonald School 50 TAYLOR ROAD YELLOWKNIFE NT X1A 3X2,,50,taylor road,Yellowknife,NT,X1A 3X2,Northwest Territories,62.44121105,-114.3898861,AGOL,6106023,Yellowknife,61
