,FID,Name,Type,Manager,Address,Phone,geometry,LONGITUDE,LATITUDE
0,1,Bioscript Pharmacy,Community Pharmacy,Andrea Walsh,585 Mapleton Road Suite 202,(506) 204-7581,POINT (-64.82994743799998 46.12494948000005),-64.82994743799998,46.12494948000005
1,2,Cameron Street Clinic,Community Pharmacy,Kimberley Olscamp,107 Cameron Street P.O. Box 792,(506) 858-0287,POINT (-64.78849413799998 46.08853959200007),-64.78849413799998,46.08853959200007
2,3,Costco Pharmacy,Community Pharmacy,Colin Enman,"140 Granite Drive, Moncton NB",Phone: (506) 317-0433,POINT (-64.77839915099997 46.12930264400006),-64.77839915099997,46.12930264400006
3,4,CSC Atlantic Regional Pharmacy,Institutional Pharmacy,Charline Cormier,"859 Main Street, Moncton NB",(506) 851-6386,POINT (-64.78001561899998 46.08813715500003),-64.78001561899998,46.08813715500003
4,5,Ford's Family Pharmacy & Wellness Centre,Community Pharmacy,Peter R. Ford,"544 St. George Blvd, Moncton NB",(506) 853-0830,POINT (-64.79777183999994 46.08750225600005),-64.79777183999994,46.08750225600005
5,6,Healthconnect Pharmacy,Community Pharmacy,Suellen Dunn,"10 Desbrisay Avenue, Unit 2, Moncton NB",(506) 867-9854,POINT (-64.87098752599996 46.09593097500004),-64.87098752599996,46.09593097500004
6,7,Innomar Pharmacy Inc.,Community Pharmacy,Crystal Parker,"100 Arden Street, Suite 309, Moncton NB",(506) 860-3428,POINT (-64.80622631799997 46.10593189700006),-64.80622631799997,46.10593189700006
7,8,Jean Coutu Pharmacy,Community Pharmacy,Monte Steeves,"1789 Mountain Road North, Moncton NB",(506) 387-9001,POINT (-64.79031811799996 46.08926822600006),-64.79031811799996,46.08926822600006
8,9,Lawton's Drugs,Community Pharmacy,Stephanie Estey,"565 Elmwood Drive, Moncton NB",(506) 386-3408,POINT (-64.77059155999996 46.12263236500007),-64.77059155999996,46.12263236500007
9,10,Lawtons Drugs # 141,Community Pharmacy,Stephanie Estey,"800 Mountain Road Suite 101, Moncton NB",(506) 386-3408,POINT (-64.80674624799997 46.09923636900004),-64.80674624799997,46.09923636900004
10,11,Lawtons Drugs # 147,Community Pharmacy,Rebecca Auffrey,"40 Mapleton Road, Moncton NB",(506) 857-9919,POINT (-64.82305309199995 46.10744516200003),-64.82305309199995,46.10744516200003
11,12,Loblaw Pharmacy # 326,Community Pharmacy,James Swetnam,"89 Trinity Drive, Moncton NB",(506) 383-4955,POINT (-64.83248128999998 46.11840086700005),-64.83248128999998,46.11840086700005
12,13,"
Loblaw Pharmacy",Community Pharmacy,,"165 Main Street, Moncton NB",(506) 852-2069,POINT (-64.76857402999997 46.09381427300008),-64.76857402999997,46.09381427300008
13,14,Mapleton Pharmacy,Community Pharmacy,Bradley Steeves,"500 Mapleton Road Suite 120, Moncton NB",(506) 855-2210,POINT (-64.82953405199999 46.12066346000006),-64.82953405199999,46.12066346000006
14,15,McKesson Specialty Prescription Services,Community Pharmacy,Kristian Jensen-Ouellette,"290 Frenette Ave, Moncton NB",(506) 777-1240,POINT (-64.72671121699995 46.13594807700008),-64.72671121699995,46.13594807700008
15,16,Medicine Shoppe Pharmacy # 294,Community Pharmacy,Georgina Hubbard,"1685 Main Street, Moncton NB",(506) 854-2010,POINT (-64.79680957799997 46.07951852700006),-64.79680957799997,46.07951852700006
