,FACILITY,Address,TOWN,COUNTY,TYPE,the_geom,LONGITUDE,LATITUDE
0,Cape Breton Regional Hospital,1482 George Street,Sydney,Cape Breton,Regional,POINT (-60.174133616836095 46.1130158306037),-60.174133616836095,46.1130158306037
1,Northside General Hospital,520 Purves Street,North Sydney,Cape Breton,Community,POINT (-60.23555151227749 46.21820836429978),-60.23555151227749,46.21820836429978
2,Victoria County Memorial Hospital,30 Old Margaree Road,Baddeck,Victoria,Community,POINT (-60.75602895190468 46.100263898319795),-60.75602895190468,46.100263898319795
3,Inverness Consolidated Memorial Hospital,39 James Street,Inverness,Inverness,Community,POINT (-61.30484314307468 46.22696781337693),-61.30484314307468,46.22696781337693
4,Aberdeen Hospital,835 East River Road,New Glasgow,Pictou,Regional,POINT (-62.64326836972356 45.5729758405446),-62.64326836972356,45.5729758405446
5,New Waterford Consolidated Hospital,716 King Street,New Waterford,Cape Breton,Community,POINT (-60.085793288911454 46.239863345496474),-60.085793288911454,46.239863345496474
6,Strait - Richmond Hospital,138 Hospital Road,Evanston,Richmond,Community,POINT (-61.22292639766177 45.61708351662631),-61.22292639766177,45.61708351662631
7,Sacred Heart Community Health Centre,15102 Cabot Trail,Cheticamp,Inverness,Community Health Centre,POINT (-61.015063349964386 46.623522547371586),-61.015063349964386,46.623522547371586
8,Glace Bay Health Care Facility,300 South Street,Glace Bay,Cape Breton,Community,POINT (-59.938572836651716 46.18321184114736),-59.938572836651716,46.18321184114736
9,St. Martha’s Regional Hospital,25 Bay Street,Antigonish,Antigonish,Regional,POINT (-61.98219333746746 45.62817596985708),-61.98219333746746,45.62817596985708
10,Eastern Memorial Hospital,1746 Union Street,Canso,Guysborough,Community,POINT (-60.98400464643825 45.33262820682038),-60.98400464643825,45.33262820682038
11,Sutherland Harris Memorial Hospital,222 Haliburton Road,Pictou,Pictou,Community Health Centre,POINT (-62.72703251932275 45.67651539921786),-62.72703251932275,45.67651539921786
12,Buchanan Memorial Community Health Centre,32610 Cabot Trail,Neil’s Harbour,Victoria,Community Health Centre,POINT (-60.33432729802968 46.81056959301277),-60.33432729802968,46.81056959301277
13,St. Mary’s Memorial Hospital,91 Hospital Road,Sherbrooke,Guysborough,Community,POINT (-61.981780294520306 45.14693579634446),-61.981780294520306,45.14693579634446
14,Eastern Kings Memorial Community Health Centre,23 Earnscliffe Avenue,Wolfville,Kings,Community Health Centre,POINT (-64.37074371585221 45.08760374819833),-64.37074371585221,45.08760374819833
