,SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
0,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636382,17636381,2504877715.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:00 - 21:00; Tue 09:00 - 21:00; Wed 09:00 - 21:00; Thu 09:00 - 21:00; Fri 09:00 - 21:00; Sat 09:00 - 18:00; Sun 09:00 - 18:00;,,,,,,,,49.473428,-119.580628,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636381
1,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636384,17636383,2503688544.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 18:00; Sun 10:00 - 17:00;,,,,,,,,49.08985,-117.632802,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636383
2,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636386,17636385,6044303381.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:00 - 21:00; Tue 09:00 - 21:00; Wed 09:00 - 21:00; Thu 09:00 - 21:00; Fri 09:00 - 21:00; Sat 09:00 - 18:00; Sun 10:00 - 18:00;,,,,,,,,49.218337,-123.041364,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636385
3,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636390,17636389,2504026025.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 08:00 - 18:00; Tue 08:00 - 18:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 08:00 - 18:00; Sat 09:00 - 18:00; Sun 09:00 - 18:00;,,,,,,,,49.094734,-116.510349,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636389
4,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636392,17636391,2508611525.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 09:00 - 18:00; Sun 10:00 - 18:00;,,,,,,,,49.881531,-119.484683,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636391
5,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636394,17636393,2504202135.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,N,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 18:00;,,,,,,,,49.529863,-115.752809,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636393
6,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636396,17636395,6047088084.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,N,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 18:00; Sun 10:00 - 18:00;,,,,,,,,49.26315,-123.111329,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636395
7,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636398,17636397,2503396626.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 18:00; Sun 10:00 - 18:00;,,,,,,,,49.673062,-124.92499,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636397
8,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636400,17636399,2504933662.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:00 - 19:00; Tue 09:00 - 19:00; Wed 09:00 - 19:00; Thu 09:00 - 19:00; Fri 09:00 - 19:00; Sat 09:00 - 18:00; Sun 10:00 - 17:00;,,,,,,,,49.48271,-119.583745,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636399
9,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636402,17636401,6044670753.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,N,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 09:00 - 18:00; Sun 10:00 - 18:00;,,,,,,,,49.220475,-122.599932,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636401
10,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636404,17636403,2505676005.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:30 - 17:30; Tue 09:30 - 17:30; Wed 09:30 - 17:30; Thu 09:30 - 17:30; Fri 09:30 - 17:30;,,,,,,,,54.012112,-124.008173,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636403
11,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636406,17636405,2504425360.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,Y,,Mon 09:00 - 17:30; Tue 09:00 - 17:30; Wed 09:00 - 17:30; Thu 09:00 - 17:30; Fri 09:00 - 17:30; Sat 9:30 - 13:00;,,,,,,,,49.023856,-118.47066,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636405
12,LH-6600,Pharmacies,17636377,THE DRUGStore PHARMACY,17636378,Pharmacy Services,"Provides pharmacy services for individuals to obtain, understand, and manage their prescriptions. Hours of operation may be subject to change, please call ahead to confirm.",17636408,17636407,6048986818.0,https://erefill.yourhealthmattershere.ca/lcl-erefill-services/home/en_CA/welcome,,N,,Mon 09:00 - 20:00; Tue 09:00 - 20:00; Wed 09:00 - 20:00; Thu 09:00 - 20:00; Fri 09:00 - 20:00; Sat 10:00 - 18:00; Sun 10:00 - 18:00;,,,,,,,,49.740643,-123.13486,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636378&SiteResourceAgencyNum=17636407
