OBJECTID,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,1059244 ONTARIO INC. O/A NORTHVIEW SENIOR RESIDENCE,19 AIKMAN AVE  HAMILTON ON,2021/06/01 00:00:00+00,15 288119 05 1Y,Residential Care Facility (11 or more )
2,1099694 ONTARIO INC. O/A J & M REST HOME,849 MAIN ST E  HAMILTON ON,2021/04/21 00:00:00+00,14 124847 06 1Y,Residential Care Facility (11 or more )
3,1112824 ONTARIO LIMITED O/A MAPLE CREST MANOR,904 KING ST E  HAMILTON ON,2021/06/20 00:00:00+00,15 124841 06 1Y,Residential Care Facility (11 or more )
4,1112824 ONTARIO LIMITED O/A ST. ANDREW'S LODGE,100 HERKIMER ST  HAMILTON ON,2021/04/13 00:00:00+00,16 124802 05 1Y,Residential Care Facility (11 or more )
5,118 MARKET ST GP LTD O/A CAROLINE PLACE RETIREMENT RESIDENCE ,118 MARKET ST  HAMILTON ON,2021/09/25 00:00:00+00,14 283161 06 1Y,Residential Care Facility (11 or more )
6,1562576 ONTARIO INC,130 BOLD ST  HAMILTON ON,2021/01/15 00:00:00+00,14 277575 05 1Y,Residential Care Facility (11 or more )
7,1562576 ONTARIO INC,132 BOLD ST  HAMILTON ON,2021/01/15 00:00:00+00,14 277576 05 1Y,Residential Care Facility (11 or more )
8,1562576 ONTARIO INC. ,7 BLAKE ST  HAMILTON ON,2021/11/07 00:00:00+00,14 206433 06 1Y,Residential Care Facility (11 or more )
9,1612711 ONTARIO INC. O/A VICTORIA MANOR I,121 VICTORIA AVE S  HAMILTON ON,2021/11/29 00:00:00+00,14 279138 06 1Y,Residential Care Facility (11 or more )
10,1612712 ONTARIO INC. O/A VICTORIA MANOR II,115 VICTORIA AVE S  HAMILTON ON,2021/11/19 00:00:00+00,14 279142 06 1Y,Residential Care Facility (11 or more )
11,1612714 ONTARIO INC. O/A CATHMAR MANOR,236 CATHARINE ST N  HAMILTON ON,2021/06/01 00:00:00+00,14 279141 06 1Y,Residential Care Facility (11 or more )
12,1617602 ONTARIO LTD O/A EVERGREEN MANOR,41 CATHCART ST  HAMILTON ON,2021/07/30 00:00:00+00,14 229971 06 1Y,Residential Care Facility (11 or more )
13,1775319 ONTARIO INC. o/a FAITH HOPE MANOR,178 JOHN ST N  HAMILTON ON,2020/12/06 00:00:00+00,15 124862 05 1Y,Residential Care Facility (11 or more )
14,1775319 ONTARIO INC. o/a VEROLEN'S REST HOME,106 CATHARINE ST S  HAMILTON ON,2020/12/07 00:00:00+00,15 124815 05 1Y,Residential Care Facility (11 or more )
15,1804248 ONTARIO INC O/A JERELDAY,418 MAIN ST E  HAMILTON ON,2021/02/22 00:00:00+00,14 279026 05 1Y,Residential Care Facility (11 or more )
16,1804248 ONTARIO INC. O/A ST. CLAIR LODGING HOME,75 ST. CLAIR AVE  HAMILTON ON,2021/05/29 00:00:00+00,14 286324 06 1X,Residential Care Facility (4-10 Res.)
17,1856884 ONTARIO INC. O/A SUNRISE MANOR LODGING HOME,18 VICTORIA AVE N  HAMILTON ON,2021/11/03 00:00:00+00,14 280474 06 1Y,Residential Care Facility (11 or more )
18,1857147 ONTARIO INC. ,160 PARK ST S  HAMILTON ON,2021/03/16 00:00:00+00,14 279020 05 1X,Residential Care Facility (4-10 Res.)
19,1869423 ONTARIO LTD. o/a Yorkville Retirement Residence,211 YORK RD  DUNDAS ON L9H 1M9,2021/05/02 00:00:00+00,14 282950 06 1Y,Residential Care Facility (11 or more )
20,1906293 ONTARIO INC. o/a MABUHAY RESIDENTIAL CARE FACILITY,325 WENTWORTH ST N  HAMILTON ON,2021/06/16 00:00:00+00,16 290568 04 1Y,Residential Care Facility (11 or more )
21,2094509 ONTARIO INC.  O/A MAXWELL'S SECOND LEVEL LODGING HOME,274 BAY ST S  HAMILTON ON,2021/01/19 00:00:00+00,14 275320 05 1Y,Residential Care Facility (11 or more )
22,2178949 ONTARIO INC O/A ABERDEEN GARDENS,330 DUNDURN ST S  HAMILTON ON,2021/08/16 00:00:00+00,14 277312 06 1Y,Residential Care Facility (11 or more )
23,2244786 ONTARIO INC. O/A ORCHARD TERRACE CARE CENTRE FACILITY INC,199 GLOVER RD  STONEY CREEK ON,2021/02/13 00:00:00+00,14 285075 05 1Y,Residential Care Facility (11 or more )
24,2430866 ONTARIO INC o/a TARA RETIREMENT HOME INC.,843 MOHAWK RD E  HAMILTON ON,2021/02/19 00:00:00+00,17 292983 01 1X,Residential Care Facility (4-10 Res.)
25,2556936 ONTARIO INC. o/a SUNNYSIDE LODGE,11 LAKE AVENUE DR  STONEY CREEK ON L8G 1X5,2021/04/21 00:00:00+00,17 291940 03 1X,Residential Care Facility (4-10 Res.)
26,346 - 348 QUEENSTON ROAD HAMILTON HOLDINGS INC. O/A QUEENSTON RETIREMENT HOME,346 QUEENSTON RD  HAMILTON ON,2021/07/31 00:00:00+00,14 286413 06 1Y,Residential Care Facility (11 or more )
27,AMICA AT STONEY CREEK,135 KING ST E  STONEY CREEK ON,2021/06/16 00:00:00+00,16 291744 03 1Y,Residential Care Facility (11 or more )
28,AMICA DUNDAS INC.,50 HATT ST  DUNDAS ON,2021/03/31 00:00:00+00,15 288324 04 1Y,Residential Care Facility (11 or more )
29,ANCHOR ASSOCIATION,42 SPADARA DR  HAMILTON ON,2021/09/24 00:00:00+00,15 287254 05 1X,Residential Care Facility (4-10 Res.)
30,BARTON RETIREMENT INC. O/A THE WELLINGTON,1430 UPPER WELLINGTON ST  HAMILTON ON,2021/04/06 00:00:00+00,16 124874 05 1Y,Residential Care Facility (11 or more )
31,BERTRAM PLACE RETIREMENT LIVING CENTRE INC.,21 HATT ST  DUNDAS ON,2021/10/04 00:00:00+00,16 291162 04 1Y,Residential Care Facility (11 or more )
32,BLACKADAR RETIREMENT RESIDENCE,99 CREIGHTON RD  DUNDAS ON,2021/06/10 00:00:00+00,15 179991 06 1Y,Residential Care Facility (11 or more )
33,BROCK LODGE,949 KING ST E  HAMILTON ON,2021/03/06 00:00:00+00,14 282251 05 1X,Residential Care Facility (4-10 Res.)
34,C. MORE'S VILLA INC.,60 WEST AVE S  HAMILTON ON,2021/05/05 00:00:00+00,15 124836 06 1Y,Residential Care Facility (11 or more )
35,CARRINGTON PLACE FACILITY INC. O/A CARRINGTON PLACE RETIREMENT,75 DUNHAM DR  ANCASTER ON,2021/03/10 00:00:00+00,17 292002 03 1Y,Residential Care Facility (11 or more )
36,CHARTWELL GEORGIAN RETIREMENT RESIDENCE,255 GOVERNORS RD  DUNDAS ON,2021/07/07 00:00:00+00,14 171276 06 1Y,Residential Care Facility (11 or more )
37,CHARTWELL MASTER CARE LP,460 RYMAL RD W  HAMILTON ON,2021/09/16 00:00:00+00,14 285829 06 1Y,Residential Care Facility (11 or more )
38,CITY HOUSING HAMILTON CORPORATION O/A FIRST PLACE,350 KING ST E  HAMILTON ON L8N 1C2,2021/08/10 00:00:00+00,14 281198 06 1Y,Residential Care Facility (11 or more )
39,CLS ON MAIN RETIREMENT HOME LIMITED,12 LOTUS AVE  HAMILTON ON,2021/03/25 00:00:00+00,14 286518 05 1X,Residential Care Facility (4-10 Res.)
40,COMMUNITY RESIDENTIAL CARE HOMES INC.,153 GEORGE ST  HAMILTON ON L8P 1E4,2021/07/14 00:00:00+00,15 124855 06 1Y,Residential Care Facility (11 or more )
41,CONNECT HAMILTON,8 COLUMBUS GATE  STONEY CREEK,2021/11/26 00:00:00+00,19 296638 00 1Y,Residential Care Facility (11 or more )
42,DELTACORP DEVELOPMENTS INC. O/A THE MEADOWLANDS ,1248 MOHAWK RD  ANCASTER ON,2021/08/14 00:00:00+00,14 199641 06 1Y,Residential Care Facility (11 or more )
43,DENHOLME MANOR,144 ROBINSON ST  HAMILTON ON,2021/07/12 00:00:00+00,15 124816 06 1Y,Residential Care Facility (11 or more )
44,DROMORE SENIOR SERVICES,408 ROCK CHAPEL RD  FLAMBOROUGH ON,2021/06/21 00:00:00+00,13 196026 06 1X,Residential Care Facility (4-10 Res.)
45,DUNDAS RETIREMENT PLACE INC.,33 MAIN ST  DUNDAS ON,2021/06/01 00:00:00+00,14 171271 06 1Y,Residential Care Facility (11 or more )
46,EAST AVENUE  PLACE,65 EAST AVE S  HAMILTON ON,2020/12/24 00:00:00+00,14 130746 05 1Y,Residential Care Facility (11 or more )
47,ELM VILLA RETIREMENT HOMES INC,12 MELVILLE ST  DUNDAS ON,2021/05/13 00:00:00+00,14 171272 06 1Y,Residential Care Facility (11 or more )
48,FAITH CARE VILLA,2129 KING ST E  HAMILTON ON,2021/01/27 00:00:00+00,14 279034 05 1X,Residential Care Facility (4-10 Res.)
49,GAGE PARK LODGE,995 MAIN ST E  HAMILTON ON,2021/08/14 00:00:00+00,15 124859 06 1X,Residential Care Facility (4-10 Res.)
50,GOVERNOR'S MANOR,37 OGILVIE ST  DUNDAS ON,2021/06/22 00:00:00+00,14 171275 06 1Y,Residential Care Facility (11 or more )
51,GRADATIM RETIREMENT HOME,145 MARKET ST  HAMILTON ON,2021/02/12 00:00:00+00,16 124854 05 1Y,Residential Care Facility (11 or more )
52,HERITAGE GREEN RETIREMENT CENTRE (SEVENTH DAY ADVENTIST CHURCH),351 ISAAC BROCK DR  STONEY CREEK ON,2021/05/28 00:00:00+00,14 172514 06 1Y,Residential Care Facility (11 or more )
53,HIGHGATE RESIDENCE INC,325 FIDDLERS GREEN RD  ANCASTER ON,2021/11/19 00:00:00+00,14 282627 06 1Y,Residential Care Facility (11 or more )
54,INDWELL COMMUNITY HOMES,118 WENTWORTH ST S  HAMILTON ON,2021/03/10 00:00:00+00,14 188561 05 1Y,Residential Care Facility (11 or more )
