,OBJECTID,CRE_DATE,GEO_MODDATE,ATT_MODDATE,CAP_METHOD,NAME,ADDRESS,TOWN_NAME,REGION,POST_CODE,PHONE_NO,STATUS,geometry,LONGITUDE,LATITUDE
0,1,,,2016-07-22T00:00:00+00:00,,Markham-Stouffville - Uxbridge Cottage Hospital,4 Campbell Drive,Uxbridge,Durham,L9P 1S4,905-852-9771,Existing,POINT (-79.12667319688303 44.1025754594496),-79.12667319688303,44.1025754594496
1,2,,,,,Princess Margaret Hospital,610 University Avenue,Toronto,Toronto,M5G 2M9,416-946-2000,Existing,POINT (-79.39028633643423 43.6580808901927),-79.39028633643423,43.6580808901927
2,3,,,,,Women's College Hospital,76 Grenville Street,Toronto,Toronto,M5S 1B2,416-323-6400,Existing,POINT (-79.38750906150908 43.66138163608323),-79.38750906150908,43.66138163608323
3,4,,,,,The Hospital for Sick Children,555 University Avenue,Toronto,Toronto,M5G 1X8,416-813-1500,Existing,POINT (-79.38890210760863 43.65655377486957),-79.38890210760863,43.65655377486957
4,5,,,,,Sunnybrook Health Science Centre,2075 Bayview Avenue,Toronto,Toronto,M4N 3M5,416-480-6100,Existing,POINT (-79.37898904757769 43.7227314098786),-79.37898904757769,43.7227314098786
5,6,,,,,St. Michael's Hospital,30 Bond Street,Toronto,Toronto,M5B 1W8,416-360-4000,Existing,POINT (-79.37779431673482 43.65356726528367),-79.37779431673482,43.65356726528367
6,7,,,2020-07-29T00:00:00+00:00,Website,Scarborough Health Network - Centenary Campus,2867 Ellesmere Road,Toronto,Toronto,M1E 4B9,416-284-8131,Existing,POINT (-79.20584194583995 43.78207399627058),-79.20584194583995,43.78207399627058
7,8,,,2020-07-29T00:00:00+00:00,Website,Scarborough Health Network - General Campus,3050 Lawrence Avenue East,Toronto,Toronto,M1P 2V5,416-438-2911,Existing,POINT (-79.24668510997959 43.75554328985756),-79.24668510997959,43.75554328985756
8,9,,,2016-07-22T00:00:00+00:00,,North York General Hospital - General Site,4001 Leslie Street,Toronto,Toronto,M2K 1E1,416-756-6000,Existing,POINT (-79.36408319797252 43.76974517120309),-79.36408319797252,43.76974517120309
9,10,2005-02-22T11:45:39+00:00,2010-07-07T00:00:00+00:00,2013-07-15T00:00:00+00:00,Website,Mackenzie Health,10 Trench Street,Richmond Hill,York,L4C 4Z3,905-883-1212,Existing,POINT (-79.45071041004276 43.87037792539481),-79.45071041004276,43.87037792539481
10,11,,,2020-07-29T00:00:00+00:00,Website,Lakeridge Health - Port Perry Hospital,451 Paxton Street,Port Perry,Durham,L9L 1L9,905-985-7321,Existing,POINT (-78.95421943439389 44.10495365557109),-78.95421943439389,44.10495365557109
11,12,,,2020-07-29T00:00:00+00:00,Website,Georgian Bay General Hospital - Midland Site,1112 St Andrews Drive,Midland,Simcoe,L4R 4P4,705-526-1300,Existing,POINT (-79.91118584623256 44.74235960894646),-79.91118584623256,44.74235960894646
12,13,2005-02-22T11:45:39+00:00,2010-07-07T00:00:00+00:00,2005-02-22T11:45:39+00:00,Migration2005,Markham-Stouffville Hospital,381 Church Street,Markham,York,L3P 7P3,905-472-7000,Existing,POINT (-79.23222153375512 43.88363386673732),-79.23222153375512,43.88363386673732
13,14,,,,,Trillium Health Centre - Mississauga,100 Queensway West,Mississauga,Peel,L5B 1B8,905-848-7100,Existing,POINT (-79.60768958999711 43.57291935617845),-79.60768958999711,43.57291935617845
14,15,,,2020-07-29T00:00:00+00:00,Website,Scarborough Health Network - Birchmount Campus,3030 Birchmount Road,Toronto,Toronto,M1W 3W3,416-495-2400,Existing,POINT (-79.30788132908087 43.80074399477373),-79.30788132908087,43.80074399477373
15,16,,,2020-07-29T00:00:00+00:00,,Lakeridge Health - Bowmanville Hospital,47 Liberty Street South,Bowmanville,Durham,L1C 2N4,905-623-3331,Existing,POINT (-78.6790979027018 43.90904544225243),-78.6790979027018,43.90904544225243
16,17,,,2012-05-17T00:00:00+00:00,,The Royal Victoria Regional Health Centre,201 Georgian Drive,Barrie,Simcoe,L4M 6M2,705-728-9802,Existing,POINT (-79.68116625298399 44.40030169069522),-79.68116625298399,44.40030169069522
17,18,,,,Website,The Collingwood General and Marine Hospital,459 Hume Street,Collingwood,Simcoe,L9Y 1W9,705-445-2550,Existing,POINT (-80.20161980315027 44.49841839335398),-80.20161980315027,44.49841839335398
18,19,2005-02-22T11:45:39+00:00,2010-07-07T00:00:00+00:00,2005-02-22T11:45:39+00:00,Migration2005,Southlake Regional Health Centre,596 Davis Drive,Newmarket,York,L3Y 2P9,905-895-4521,Existing,POINT (-79.45162045115727 44.06045067212513),-79.45162045115727,44.06045067212513
19,20,,,,,Toronto General Hospital,200 Elizabeth Street,Toronto,Toronto,M5G 2C4,416-340-3111,Existing,POINT (-79.38733276891291 43.65924820118482),-79.38733276891291,43.65924820118482
20,21,,,,,Toronto Western Hospital,399 Bathurst Street,Toronto,Toronto,M5T 2S8,416-603-2581,Existing,POINT (-79.40644184682873 43.65410833904173),-79.40644184682873,43.65410833904173
21,22,,,,,St. Joseph's Health Centre,30 The Queensway,Toronto,Toronto,M6R 1B5,416-530-6000,Existing,POINT (-79.44986781895724 43.6393019856698),-79.44986781895724,43.6393019856698
22,23,,,2020-07-29T00:00:00+00:00,Website,Lakeridge Health - Ajax Pickering Hospital,580 Harwood Avenue South,Ajax,Durham,L1S 2J4,905-683-2320,Existing,POINT (-79.01590250850707 43.8364881765121),-79.01590250850707,43.8364881765121
23,24,,,2015-07-29T00:00:00+00:00,Website,Trillium Health Centre - Credit Valley Hospital,2200 Eglinton Avenue West,Mississauga,Peel,L5M 2N1,905-813-2200,Existing,POINT (-79.70357386634207 43.56058081381472),-79.70357386634207,43.56058081381472
24,25,,,,,William Osler Health Centre - Etobicoke,101 Humber College Boulevard,Toronto,Toronto,M9V 1R8,416-747-3400,Existing,POINT (-79.60108318992383 43.73030161406817),-79.60108318992383,43.73030161406817
25,26,,,2010-07-07T00:00:00+00:00,Website,North York General Hospital - Branson Division,555 Finch Avenue West,Toronto,Toronto,M2R 1N5,416-633-9420,Existing,POINT (-79.45046109581095 43.77210002881542),-79.45046109581095,43.77210002881542
26,27,,,2020-07-29T00:00:00+00:00,Website,Michael Garron Hospital,825 Coxwell Avenue,Toronto,Toronto,M4C 3E7,416-461-8272,Existing,POINT (-79.32569067290338 43.68973391121214),-79.32569067290338,43.68973391121214
27,28,,,2010-07-07T00:00:00+00:00,Website,The Stevenson Memorial Hospital,200 Fletcher Crescent,Alliston,Simcoe,L9R 1W7,705-435-6281,Existing,POINT (-79.87645232207016 44.15588626883302),-79.87645232207016,44.15588626883302
28,29,,,,,William Osler Health Centre - Brampton,2100 Bovaird Drive East,Brampton,Peel,L6R 3J7,905-494-2120,Existing,POINT (-79.74428900835409 43.74531538182809),-79.74428900835409,43.74531538182809
29,30,,2016-07-22T00:00:00+00:00,2020-07-29T00:00:00+00:00,Website,Reactivation Care Centre (RCC) Church Site,200 Church Street,Toronto,Toronto,M9N 1N8,416-249-8111,Existing,POINT (-79.50991864313565 43.708826049232),-79.50991864313565,43.708826049232
30,31,,,,,Mount Sinai Hospital,600 University Avenue,Toronto,Toronto,M5G 1X5,416-596-4200,Existing,POINT (-79.39012612208857 43.65767661017819),-79.39012612208857,43.65767661017819
31,32,,,2020-07-29T00:00:00+00:00,,Lakeridge Health - Oshawa Hospital,1 Hospital Court,Oshawa,Durham,L1G 2B9,905-576-8711,Existing,POINT (-78.86803175367665 43.90577950812821),-78.86803175367665,43.90577950812821
32,33,,,2015-07-29T00:00:00+00:00,Website,Joseph Brant Hospital,1230 North Shore Boulevard,Burlington,Halton,L7S 1W7,905-632-3737,Existing,POINT (-79.80271129143667 43.31713099412629),-79.80271129143667,43.31713099412629
33,34,,,,,Halton Healthcare Services Corp- Oakville,327 Reynolds Street,Oakville,Halton,L6J 3L7,905-845-2571,Existing,POINT (-79.6749105195447 43.45381296270348),-79.6749105195447,43.45381296270348
34,35,,,,,Halton Healthcare Services Corp - Milton,7030 Derry Road East,Milton,Halton,L9T 7H6,905-878-2383,Existing,POINT (-79.87000247766726 43.4965902496157),-79.87000247766726,43.4965902496157
35,36,,,,,Halton Healthcare Services Corp - Georgetown,1 Princess Anne Drive,Georgetown,Halton,L7G 2B8,905-873-0111,Existing,POINT (-79.93478366050907 43.64419958425699),-79.93478366050907,43.64419958425699
36,37,,2012-05-17T00:00:00+00:00,2020-07-29T00:00:00+00:00,Website,Trillium Health Centre - Queensway Health Centre,150 Sherway Drive,Toronto,Toronto,M9C 1A5,416-259-6671,Existing,POINT (-79.56037020657904 43.60861744333378),-79.56037020657904,43.60861744333378
37,38,2012-05-17T00:00:00+00:00,2012-05-17T00:00:00+00:00,2012-05-17T00:00:00+00:00,Website,Sunnybrook-Holland Orthopaedic & Arthritic Centre,43 Wellesley Street East,Toronto,Toronto,M4Y 1H1,416-967-8500,Existing,POINT (-79.38198205440462 43.66523508120611),-79.38198205440462,43.66523508120611
38,39,2015-10-13T00:00:00+00:00,,,Website,Humber River Hospital - Wilson Site,1235 Wilson,Toronto,Toronto,M3M 0B2,416-242-1000,Existing,POINT (-79.48876955969362 43.72428753165615),-79.48876955969362,43.72428753165615
39,40,2016-07-22T00:00:00+00:00,,,,Casey House Hospice,9 Huntley Street,Toronto,Toronto,M4Y 2K8,416-962-7600,Existing,POINT (-79.37840922418272 43.66894356561335),-79.37840922418272,43.66894356561335
40,41,2020-07-29T00:00:00+00:00,,,Website,Lakeridge Health - Whitby Hospital,300 Gordon Street,Whitby,Durham,L1N 2T5,905-668-6831,Existing,POINT (-78.94443435478483 43.85624022322239),-78.94443435478483,43.85624022322239
41,42,,,,Website,Reactivation Care Centre (RCC) Finch Site,2111 Finch Avenue West,Toronto,Toronto,M3N 1N1,416-744-2500,Existing,POINT (-79.5261274476475 43.75437585843874),-79.5261274476475,43.75437585843874
42,43,2019-07-12T00:00:00+00:00,2020-07-29T00:00:00+00:00,2021-07-26T00:00:00+00:00,Manual,Cortellucci Vaughan Hospital,3100 Major MacKenzie Drive West,Vaughan,York,L6A 1S1,905-883-1212,Existing,POINT (-79.53986667689566 43.85009900954515),-79.53986667689566,43.85009900954515
