,ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE,LONGITUDE,LATITUDE
0,102269,Centre hospitalier de l'Université Laval,2705.0,Boulevard Laurier,Hôpitaux,0,0,POINT (-71.28344242085564 46.76868650091302),46.76868650091302,-71.28344242085564
1,102267,Centre hospitalier Robert-Giffard,,Chemin de la Canardière,Hôpitaux,0,0,POINT (-71.22072592305575 46.847932187385126),46.847932187385126,-71.22072592305575
2,102259,Hôpital Chauveau,11999.0,Rue de l'Hôpital,Hôpitaux,0,0,POINT (-71.36992000707106 46.85317097833875),46.85317097833875,-71.36992000707106
3,200528,Hôpital Christ-Roi,900.0,Boulevard Wilfrid-Hamel,Hôpitaux,0,0,POINT (-71.25837456317832 46.811355987527776),46.811355987527776,-71.25837456317832
4,102237,Hôpital de l'Enfant-Jésus,1401.0,18e Rue,Hôpitaux,0,0,POINT (-71.22604003267628 46.83748293860262),46.83748293860262,-71.22604003267628
5,102263,Hôpital du Saint-Sacrement,1050.0,Chemin Sainte-Foy,Hôpitaux,0,0,POINT (-71.24672679462493 46.79901560331959),46.79901560331959,-71.24672679462493
6,200473,Hôpital Jeffery Hale,1250.0,Chemin Sainte-Foy,Hôpitaux,0,0,POINT (-71.25326166417408 46.796665292246),46.796665292246,-71.25326166417408
7,102747,Hôpital Laval,,Chemin Sainte-Foy,Hôpitaux,0,0,POINT (-71.29716546772484 46.77848534323379),46.77848534323379,-71.29716546772484
8,102257,Hôpital Saint-François d'Assise,10.0,Rue De L'Espinay,Hôpitaux,0,0,POINT (-71.23754678002668 46.82844125435023),46.82844125435023,-71.23754678002668
9,102261,L'Hôtel-Dieu de Québec,11.0,Côte du Palais,Hôpitaux,0,0,POINT (-71.21085234031672 46.815534053944575),46.815534053944575,-71.21085234031672
