Name / Nom,Region/Région,Language  / Langue,Number of Beds / Nombre de lits,Addresse/Adresse ,Municipality/Municipalité,Postal Code / Code Postal,Telephone Number / No de téléphone,Location
The Kenneth E. Spencer Nursing Home Inc.,1 - Moncton,English / Anglais,200,"35, Atlantic Baptist Avenue.",Moncton,E1E 4N3,(506) 858-7870,"(46.059747, -64.858165)"
The United Church Home for Senior Citizens - Drew Nursing Home,1 - Moncton,English / Anglais,118,"165, Main Street",Sackville,E4L 4S2,(506) 364-4900,"(45.903274, -64.373289)"
Forest Dale Home Inc.,1 - Moncton,English / Anglais,50,"5836, King Street",Riverside Albert,E4H 4B9,(506) 882-3015,"(45.755143, -64.744016)"
Foyer Saint-Antoine,1 - Moncton,French / Français,30,"7, Avenue de l'Ã‰glise",Saint-Antoine,E4V 1L6,(506) 525-4040,"(46.36214, -64.753644)"
Foyer St. Thomas de la Vallée de Memramcook Inc.,1 - Moncton,French / Français,30,"100, rue Notre-Dame",Memramcook,E4K 3W3,(506) 758-2110,"(46.099285, -64.747837)"
Jordan Lifecare Centre Inc.,1 - Moncton,English / Anglais,50,"747, Sanatorium Road",The Glades,E4J 1W6,(506) 756-3355,"(45.937727, -65.079568)"
Manoir Saint-Jean Baptiste Inc.,1 - Moncton,Bilingual / Bilingue,50,"5, Avenue RichardÂ Avenue",Bouctouche,E4S 3T2,(506) 743-7344,"(46.477058, -64.721492)"
Rexton Lions Nursing Home Inc.,1 - Moncton,English / Anglais,30,"23, Main Street",Rexton,E4W 0E4,(506) 523-7720,"(46.659337, -64.876164)"
Shannex RLC Ltd. - Monarch Hall,1 - Moncton,English / Anglais,72,"826, Coverdale Road",Riverview,E1B 0J1,(506) 387-7770,"(46.055777, -64.828427)"
Shannex RLC Ltd. - Pavillon Richard,1 - Moncton,Bilingual / Bilingue,64,189 rue Morton Street,Moncton,E1A 9V6,(506) 354-2381,"(46.110925, -64.781693)"
The Salvation Army Lakeview Manor,1 - Moncton,English / Anglais,50,"50, Suffolk Road",Riverview,E1B 4K6,(506) 387-2012,"(46.06464, -64.810702)"
Villa du Repos Inc.,1 - Moncton,Bilingual / Bilingue,186,"125, avenue Murphy Avenue",Moncton,E1A 8V2,(506) 857-3560,"(46.118247, -64.777176)"
Villa Maria Inc.,1 - Moncton,French / Français,73,45 rue Vue de la riviÃ¨re,St.-Louis-de-Kent,E4X 0C6,(506) 876-3488,"(46.744642, -64.977828)"
Villa Providence Shédiac Inc.,1 - Moncton,French / Français,190,"403, rue Main",Shédiac,E4P 2B9,(506) 532-4484,"(46.218341, -64.536915)"
Westford Nursing Home,1 - Moncton,English / Anglais,30,"57, West Main Street",Port Elgin,E4M 1L7,(506) 538-1302,"(46.041825, -64.090464)"
Campobello Lodge,2 - Saint John,English / Anglais,30,"640, route 774, Unit 2",Welshpool,E5E 1A5,(506) 752-7101,"(44.886916, -66.949779)"
Carleton Kirk Lodge,2 - Saint John,English / Anglais,70,"2, Carleton Kirk Place",Saint John,E2M 5B8,(506) 643-7040,"(45.25717, -66.078417)"
Church of St. John and St. Stephen Home Inc.,2 - Saint John,English / Anglais,80,"130,  University Avenue",Saint John,E2K 4K3,(506) 643-6001,"(45.295836, -66.091197)"
Dr. V. A. Snow Centre Inc.,2 - Saint John,English / Anglais,50,"54, DeMille Court",Hampton,E5N 5S7,(506) 832-6210,"(45.514946, -65.832022)"
