"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LL-3000","Hospitals","17643939","BC Children's Hospital","17992315","BC Children's Hospital","Provides community hospital services.","17954798","17643950","","http://www.bcchildrens.ca/",,"Y","Interpreter services available","",,"","","",,"BC",,"49.244569","-123.125683","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992315&SiteResourceAgencyNum=17643950"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17690738","Abbotsford Regional Hospital and Cancer Centre","Provides community hospital services.","18616209","17644367","6048514700","https://www.fraserhealth.ca/Service-Directory/Locations/Abbotsford/abbotsford-regional-hospital-and-cancer-centre#.W1jbvNVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.038152","-122.313003","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690738&SiteResourceAgencyNum=17644367"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17691002","Delta Hospital","Provides community hospital services.","17691017","17644361","6049461121","https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital#.W1jzkNVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.084610","-123.059929","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691002&SiteResourceAgencyNum=17644361"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992280","Burnaby Hospital","Provides community hospital services.","17992282","17644353","6044344211","https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital#.W1jxFdVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.248776","-123.016837","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992280&SiteResourceAgencyNum=17644353"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992283","Chilliwack General Hospital","Provides community hospital services.","17690993","17644355","6047954141","https://www.fraserhealth.ca/Service-Directory/Locations/Chilliwack/chilliwack-general-hospital",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.165763","-121.962422","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992283&SiteResourceAgencyNum=17644355"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992296","Langley Memorial Hospital","Provides community hospital services.","17691069","17644429","6045146000","https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital#.W1j3ddVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.093175","-122.613957","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992296&SiteResourceAgencyNum=17644429"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992306","Royal Columbian Hospital","Provides community hospital services.","17691389","17644420","6045204253","https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital#.W1jyEtVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.226790","-122.892844","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992306&SiteResourceAgencyNum=17644420"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992309","Peace Arch Hospital","Provides community hospital services.","17691358","17644418","6045315512","https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.029793","-122.793632","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644418"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992309","Peace Arch Hospital - Al Hogg Pavilion","Provides community hospital services.","18757780","17644873","","https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital#.W1j4d9VKhEY",,"Y",,"",,"","","",,,,"49.029322","-122.792131","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992309&SiteResourceAgencyNum=17644873"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992312","Mission Memorial Hospital","Provides community hospital services.","17691259","17644460","6048266261","https://www.fraserhealth.ca/Service-Directory/Locations/Mission/mission-memorial-hospital#.W1jpstVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.135186","-122.331733","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992312&SiteResourceAgencyNum=17644460"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992330","Fraser Canyon Hospital","Provides community hospital services.","17691037","17644442","6048695656","https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital#.W1jr8NVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.376899","-121.424345","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992330&SiteResourceAgencyNum=17644442"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992336","Jim Pattison Outpatient Care and Surgery Centre","Provides community hospital services.","17691042","17644370","6045824550","https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/jim-pattison-outpatient-care-and-surgery-centre#.W1i1vtVKhEY",,"Y",,"Mon 07:00 - 20:00; Tue 07:00 - 20:00; Wed 07:00 - 20:00; Thu 07:00 - 20:00; Fri 07:00 - 20:00; Sat 09:00 - 17:00; Sun 09:00 - 17:00; Statutory holiday hours: 09:00 - 17:00",,"","","",,,,"49.179116","-122.834272","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992336&SiteResourceAgencyNum=17644370"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992342","Ridge Meadows Hospital","Provides community hospital services.","17691381","17644363","6044634111","https://www.fraserhealth.ca/Service-Directory/Locations/Maple-Ridge---Pitt-Meadows/ridge-meadows-hospital#.W1j0SdVKhEY",,"Y",,"Mon 11:00 - 20:00; Tue 11:00 - 20:00; Wed 11:00 - 20:00; Thu 11:00 - 20:00; Fri 11:00 - 20:00; Sat 11:00 - 20:00; Sun 11:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.214787","-122.631951","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992342&SiteResourceAgencyNum=17644363"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992343","Eagle Ridge Hospital","Provides community hospital services.","17691024","17644357","6044619972","https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.W1jsv9VKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.283374","-122.823597","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992343&SiteResourceAgencyNum=17644357"
"LL-3000","Hospitals","17644351","Fraser Health Authority","17992344","Surrey Memorial Hospital","Provides community hospital services.","17691393","17644365","6045812211","https://www.fraserhealth.ca/Service-Directory/Locations/Surrey/surrey-memorial-hospital#.W1j1rdVKhEY",,"Y",,"Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.",,"","","",,,,"49.177003","-122.842316","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992344&SiteResourceAgencyNum=17644365"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691083","100 Mile District General Hospital","Provides community hospital services","17691087","17646849","2503957600","https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=100%20Mile%20District%20General%20Hospital&svc=&ploc=",,"Y",,"Visiting hours: 14:00 - 20:00 daily; maternity visiting hours: 15:00 - 16:00 daily.",,"","","",,,,"51.638711","-121.292384","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691083&SiteResourceAgencyNum=17646849"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691126","Arrow Lakes Hospital","Provides community hospital services","17691132","17646553","2502653622","https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Arrow%20Lakes%20Hospital&svc=&ploc=",,"Y",,"Visiting hours: 12:00 - 20:00 daily",,"","","",,,,"50.238724","-117.794638","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691126&SiteResourceAgencyNum=17646553"
"LL-3000","Hospitals","17646543","Interior Health Authority","17691140","Ashcroft Hospital and Community Health Care Centre","Provides community hospital services","17691145","17646776","2504532211","https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Ashcroft%20Hospital%20and%20Community%20Health%20Care%20Centre&svc=&ploc=",,"Y",,"",,"","","",,"BC",,"50.734772","-121.280163","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691140&SiteResourceAgencyNum=17646776"
