"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LN-9300","Walk In Medical Clinics","17636590","Sunwood Medical Clinic","17636591","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis. Open Saturdays and some evenings.","17636593","17636592","6044640345",,,"Y",,"Mon 09:00 - 20:00; Tue 09:00 - 15:00; Wed 09:00 - 15:00; Fri 09:00 - 14:00; Sat 08:00 - 12:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time. Closed on statutory holidays and for lunch 12:00 - 14:00 on Mondays.",,"","","",,,,"49.274338","-122.793127","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17636591&SiteResourceAgencyNum=17636592"
"LN-9300","Walk In Medical Clinics","17637050","Kerrisdale Medical Clinic","17637051","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis; includes a family practice. Open weekends and statutory holidays.","17637053","17637052","6042619494","https://wellclinics.ca/properties/kerrisdale-medical-clinic/",,"Y",,"Mon 08:00 - 18:00; Tue 08:00 - 18:00; Wed 08:00 - 18:00; Thu 08:00 - 18:00; Fri 08:00 - 17:00; Sat 09:00 - 15:00; Sun 09:00 - 15:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time. Statutory holiday hours: 09:00 - 15:00.",,"","","",,,,"49.233569","-123.154106","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17637051&SiteResourceAgencyNum=17637052"
"LN-9300","Walk In Medical Clinics","17637908","Spring Medical Centre","62902240","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis; includes a family practice. Open Saturday and some evenings.","62902265","62902029","6044281363","https://springmedicalcentre.com/",,"Y",,"Mon 09:00 - 20:00; Tue 08:30 - 20:00; Thu 09:00 - 20:00; Sat 09:00 - 15:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time. Closed statutory holidays.",,"","","",,,,"49.266808","-123.004908","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=62902240&SiteResourceAgencyNum=62902029"
"LN-9300","Walk In Medical Clinics","17638178","Abbotsford Village Medical Clinic","17638179","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis. Clinic hours are subject to change; call to confirm.","17638181","17638180","6045047145","https://www.abbotsfordvillagemedical.com/",,"Y",,"Mon 09:00 - 15:00; Tue 09:00 - 15:00; Wed 09:00 - 15:00; Thu 09:00 - 15:00; Fri 09:00 - 15:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time.",,"","","",,,,"49.038729","-122.269714","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638179&SiteResourceAgencyNum=17638180"
"LN-9300","Walk In Medical Clinics","17638197","Spectrum Medical","17638198","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis, by appointment.","17638200","17638199","6048466246","https://spectrumbc.ca/",,"Y",,"Mon 08:00 - 16:00; Tue 08:00 - 13:00; Wed 08:00 - 16:00; Thu 08:00 - 16:00; Fri 08:00 - 16:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time.",,"","","",,,,"49.123775","-121.958316","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638198&SiteResourceAgencyNum=17638199"
"LN-9300","Walk In Medical Clinics","17638257","PrimeCare Medical Centre","17638258","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis. Weekend hours are available.","17638260","17638259","6045193767","https://www.primecaremedicalcentre.com/walkin-clinic",,"Y",,"Mon 08:00 - 16:30; Tue 08:00 - 16:30; Wed 08:00 - 16:30; Thu 08:00 - 16:30; Fri 08:00 - 16:30; Sat 08:00 - 13:30; Sun 08:00 - 12:00; Note that hours are subject to physician availability and patient volume. Registration for walk-in begins 15 minutes before opening time. Statutory holiday hours may be available.",,"","","",,,,"49.218846","-122.951615","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638258&SiteResourceAgencyNum=17638259"
"LN-9300","Walk In Medical Clinics","17638453","Valleyview Treatment Centre","17638454","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis; includes a family practice. Weekend hours are available.","17638456","17638455","2507439395",,,"Y",,"Mon 09:00 - 18:00; Tue 09:00 - 18:00; Wed 09:00 - 18:00; Thu 09:00 - 18:00; Fri 09:00 - 18:00; Sat 10:00 - 15:00; Sun 10:00 - 15:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients prior to the listed closing time. Closed statutory holidays.",,"","","",,,,"48.710695","-123.607747","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638454&SiteResourceAgencyNum=17638455"
"LN-9300","Walk In Medical Clinics","17638815","West Coast Urgent Care Clinic","17638816","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis; includes a family practice.","17638818","17638817","7784211219",,,"Y",,"Mon 11:00 - 19:00; Tue 11:00 - 19:00; Wed 11:00 - 19:00; Thu 11:00 - 19:00; Fri 11:00 - 19:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time. Closed for lunch 13:00 - 17:00; and on statutory holidays.",,"","","",,,,"49.263571","-124.792035","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17638816&SiteResourceAgencyNum=17638817"
"LN-9300","Walk In Medical Clinics","17639207","University of Northern British Columbia","17639208","Walk-in Clinic","Provides non-emergency health care services to university students. Health support for students includes managing short and long-term illness or health problems, physical examinations, health screening and assessment, managing healthy lifestyles, women's health services, and nicotine intervention programs.","17639210","17639209","2509606370","https://www2.unbc.ca/medical-clinic","wellness@unbc.ca","Y",,"Mon 09:00 - 16:00; Tue 09:00 - 16:00; Wed 09:00 - 16:00; Thu 09:00 - 16:00; Fri 09:00 - 12:00; Note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients before the listed closing time. Closed statutory holidays and for lunch 12:00 - 13:15.",,"","","",,,,"53.889353","-122.808631","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17639208&SiteResourceAgencyNum=17639209"
"LN-9300","Walk In Medical Clinics","17640697","Colwood Medical Treatment Centre","17640698","Walk-in Clinic","Provides non-emergency health care services on a walk-in basis; includes a family practice.","17640700","17640699","2504788833","https://www.colwoodmedicaltreatmentcentre.com/walk-in",,"Y",,"Mon 08:00 - 16:00; Tue 08:00 - 16:00; Wed 08:00 - 16:00; Thu 08:00 - 16:00; Fri 08:00 - 16:00; Sat 08:00 - 13:00; Clinic hours may vary due to patient volume and physician availability; call to confirm. Family practice by appointment only.",,"","","",,,,"48.441188","-123.470525","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17640698&SiteResourceAgencyNum=17640699"
