FACILITY,Address,TOWN,COUNTY,TYPE,the_geom
Cape Breton Regional Hospital,1482 George Street,Sydney,Cape Breton,Regional,POINT (-60.174133616836095 46.1130158306037)
Northside General Hospital,520 Purves Street,North Sydney,Cape Breton,Community,POINT (-60.23555151227749 46.21820836429978)
Victoria County Memorial Hospital,30 Old Margaree Road,Baddeck,Victoria,Community,POINT (-60.75602895190468 46.100263898319795)
Inverness Consolidated Memorial Hospital,39 James Street,Inverness,Inverness,Community,POINT (-61.30484314307468 46.22696781337693)
Aberdeen Hospital,835 East River Road,New Glasgow,Pictou,Regional,POINT (-62.64326836972356 45.5729758405446)
New Waterford Consolidated Hospital,716 King Street,New Waterford,Cape Breton,Community,POINT (-60.085793288911454 46.239863345496474)
Strait - Richmond Hospital,138 Hospital Road,Evanston,Richmond,Community,POINT (-61.22292639766177 45.61708351662631)
Sacred Heart Community Health Centre,15102 Cabot Trail,Cheticamp,Inverness,Community Health Centre,POINT (-61.015063349964386 46.623522547371586)
Glace Bay Health Care Facility,300 South Street,Glace Bay,Cape Breton,Community,POINT (-59.938572836651716 46.18321184114736)
St. Martha’s Regional Hospital,25 Bay Street,Antigonish,Antigonish,Regional,POINT (-61.98219333746746 45.62817596985708)
Eastern Memorial Hospital,1746 Union Street,Canso,Guysborough,Community,POINT (-60.98400464643825 45.33262820682038)
Sutherland Harris Memorial Hospital,222 Haliburton Road,Pictou,Pictou,Community Health Centre,POINT (-62.72703251932275 45.67651539921786)
Buchanan Memorial Community Health Centre,32610 Cabot Trail,Neil’s Harbour,Victoria,Community Health Centre,POINT (-60.33432729802968 46.81056959301277)
St. Mary’s Memorial Hospital,91 Hospital Road,Sherbrooke,Guysborough,Community,POINT (-61.981780294520306 45.14693579634446)
Eastern Kings Memorial Community Health Centre,23 Earnscliffe Avenue,Wolfville,Kings,Community Health Centre,POINT (-64.37074371585221 45.08760374819833)
Hants Community Hospital,89 Payzant Drive,Windsor,Hants,Community,POINT (-64.12037375298009 44.98638355369311)
Queens General Hospital,175 School Street,Liverpool,Queens,Community,POINT (-64.70559426892093 44.03765341536023)
Soldiers Memorial Hospital,462 Main Street,Middleton,Annapolis,Community,POINT (-65.05933935701924 44.94673391509305)
Roseway Hospital,1606 Lake Road,Sandy Point,Shelburne,Community,POINT (-65.30953110510069 43.74999033372275)
Western Kings Memorial Health Centre,121 Orchard Street,Berwick,Kings,Community Health Centre,POINT (-64.73657929405101 45.0366967359491)
Guysborough Memorial Hospital,10560 Route 16,Guysborough,Guysborough,Community,POINT (-61.5071355034544 45.40234081804432)
Yarmouth Regional Hospital,60 Vancouver Street,Yarmouth,Yarmouth,Regional,POINT (-66.12156874783281 43.850524495228235)
Annapolis Community Health Centre,821 St. George Street,Annapolis Royal,Annapolis,Community Health Centre,POINT (-65.50180436685771 44.73657466491257)
Valley Regional Hospital,150 Exhibition Street,Kentville,Kings,Regional,POINT (-64.500889798259 45.08266472523682)
North Cumberland Memorial Hospital,260 Gulf Shore Road,Pugwash,Cumberland,Community,POINT (-63.658904768367535 45.85615154386532)
Cumberland Regional Health Care Centre,19428 Highway 2,Upper Nappan,Cumberland,Regional,POINT (-64.19769949378933 45.803440001139904)
Cobequid Community Health Centre,40 Freer Lane,Sackville,Halifax,Community Health Centre,POINT (-63.6586009337315 44.756916674813866)
Integrated Chronic Care Service,3064 Highway 2,Fall River,Halifax,Environmental Health,POINT (-63.60599522342205 44.81001215566181)
Fishermen's Memorial Hospital,14 High Street,Lunenburg,Lunenburg,Community,POINT (-64.32695243762808 44.3822758294343)
South Shore Regional Hospital,90 Glen Allan Drive,Bridgewater,Lunenburg,Regional,POINT (-64.51077334456812 44.38313653214071)
South Cumberland Community Care Centre,50 Jenks Avenue,Parrsboro,Cumberland,Community,POINT (-64.32593916226105 45.409087171378324)
Lillian Fraser Memorial Hospital,110 Blair Avenue,Tatamagouche,Colchester,Community,POINT (-63.29635970402658 45.71153621241759)
Twin Oaks Memorial Hospital,7704 Highway 7,Musquodoboit Harbour,Halifax,Community,POINT (-63.158333445666635 44.78303534971087)
Bayview Memorial Health Centre,3375 Highway 209,Advocate Harbour,Cumberland,Community Health Centre,POINT (-64.79483503032003 45.34621190232823)
All Saints Springhill Hospital,10 Princess Street,Springhill,Cumberland,Community,POINT (-64.05159762320923 45.650499307025406)
Digby General Hospital,75 Warwick Street,Digby,Digby,Community,POINT (-65.76166737432966 44.616533787903755)
IWK Health Centre,5850/5980 University Avenue,Halifax,Halifax,Tertiary,POINT (-63.582908847707046 44.63765107239818)
East Coast Forensic Hospital,88 Gloria McCluskey Avenue,Dartmouth,Halifax,Rehabilitation,POINT (-63.59190651331347 44.721318006872465)
QEII - Victoria General (VG) Site,1278 South Park Street,Halifax,Halifax,Tertiary,POINT (-63.580402405169465 44.63840489234355)
The Nova Scotia Hospital,300 Pleasant Street,Dartmouth,Halifax,Tertiary,POINT (-63.54888485020512 44.652052389368194)
Eastern Shore Memorial Hospital,22637 Highway 7,Sheet Harbour,Halifax,Community,POINT (-62.53286404867581 44.920663210921994)
Musquodoboit Valley Memorial Hospital,492 Archibald Brook Road,Middle Musquodoboit,Halifax,Community,POINT (-63.14037764272095 45.04028911493914)
QEII - Halifax Infirmary Site,1796 Summer Street,Halifax,Halifax,Tertiary,POINT (-63.58709674369862 44.64541455900125)
Nova Scotia Rehabilitation Centre,1341 Summer Street,Halifax,Halifax,Rehabilitation,POINT (-63.58183283938107 44.63970342623116)
Dartmouth General Hospital,325 Pleasant Street,Dartmouth,Halifax,Regional,POINT (-63.547621423330824 44.653987611022856)
Kings Regional Health & Regional Rehabilitation Centre,1349 County Home Road,Cambridge,Kings,Rehabilitation,POINT (-64.666451591963 45.05736471404286)
Colchester East Hants Health Centre,600 Abenaki Road,Truro,Colchester,Regional,POINT (-63.303384805904166 45.34952312863823)
St. Anne's Community and Nursing,2313 Highway 206,Arichat,Richmond,Out Patient/ Nursing Home,POINT (-61.03191108211205 45.51104210652296)
