OBJECTID,Serial_No,Name_of_th,Types_of_C,Street__Nu,Street__Na,Unit_Suite,City,Province,Postal_Cod,Phone,Website,Address,LOCNAME,ONSTREET,STREETNO
1,2,Guelph Community Health Centre - Downtown location,Community Health Centre,176,Wyndham Street North,,Guelph,ON,N1H 8N9,519-821-6638,http://www.guelphchc.ca,176 Wyndham Street North,Guelph Community Health Centre - Downtown location,Wyndham Street North,176
2,1,"Canadian Mental Health Association, Waterloo Wellington Dufferin 
",Children and Youth Mental Health,485,Silvercreek Parkway North,1,Guelph,ON,N1H 7K5,1  844 264 2993 (toll-free phone number),http://www.cmhawwd.ca,485 Silvercreek Parkway North,"Canadian Mental Health Association, Waterloo Wellington Dufferin 
",Silvercreek Parkway North,485
3,3,Guelph Community Health Centre - Satellite Clinic,Community Health Centre,20,Shelldale Crescent,,Guelph,ON,N1H 1C8,519-821-6638 extension 2,http://www.guelphchc.ca,20 Shelldale Crescent,Guelph Community Health Centre - Satellite Clinic,Shelldale Crescent,20
4,6,Growing Great Kids Guelph-Wellington,Family and Children Services,160,Chancellors Way,,Guelph,ON,N1H 0E1,519-822-2715 extension 3616,,160 Chancellors Way,Growing Great Kids Guelph-Wellington,Chancellors Way,160
5,5,Family Counselling and Support Services for Guelph Wellington,Family and Children Services,109,Surrey Street East,,Guelph,ON,N1H 3P7,"519-824-2431, 1-800-307-7078",,109 Surrey Street East,Family Counselling and Support Services for Guelph Wellington,Surrey Street East,109
6,10,Dawson Road Family Medical Clinic,Family Health Teams,83,Dawson Road,,Guelph,ON,N1H 1B1,519-766-1360,http://www.dawsonroadfamilymedicalclinic.com/,83 Dawson Road,Dawson Road Family Medical Clinic,Dawson Road,83
7,9,Dawson Road - Dr. Jennifer Caspers,Family Health Teams,83,Dawson Road,,Guelph,ON,N1H 1B1,519-767-1512,,83 Dawson Road,Dawson Road - Dr. Jennifer Caspers,Dawson Road,83
8,8,Arbour Family Medical Centre,Family Health Teams,281,Stone Road East,,Guelph,ON,N1G 5J5,519-823-5133,http://www.arbourfamilymedical.com/,281 Stone Road East,Arbour Family Medical Centre,Stone Road East,281
9,11,Diabetes Care Guelph,Family Health Teams,83,Dawson Road,,Guelph,ON,N1H 1B2,519-840-1964,,83 Dawson Road,Diabetes Care Guelph,Dawson Road,83
10,12,Downey Road,Family Health Teams,115,Downey Road,,Guelph,ON,N1C 1A2,519-827-9779,,115 Downey Road,Downey Road,Downey Road,115
11,13,Guelph North End Family Medical,Family Health Teams,83,Dawson Road,211,Guelph,ON,N1H 1B1,519-780-0375,http://www.guelphfht.com/Views/ClinicProfile.aspx?clinicID=42,83 Dawson Road,Guelph North End Family Medical,Dawson Road,83
12,15,Norfolk 302,Family Health Teams,85,Norfolk Street,302,Guelph,ON,N1H 4J4,519-822-1871,,85 Norfolk Street,Norfolk 302,Norfolk Street,85
13,14,Hope Health Centre,Family Health Teams,21,Yarmouth Street,,Guelph,ON,N1H 4G2,519-822-6700,http://www.guelphfht.com/Views/ClinicProfile.aspx?clinicID=1,21 Yarmouth Street,Hope Health Centre,Yarmouth Street,21
14,16,Norfolk 305,Family Health Teams,85,Norfolk Street,305,Guelph,ON,N1H 4J4,519-766-1490,,85 Norfolk Street,Norfolk 305,Norfolk Street,85
15,17,Norfolk 311,Family Health Teams,86,Norfolk Street,311,Guelph,ON,N1H 4J4,519-836-7861,,86 Norfolk Street,Norfolk 311,Norfolk Street,86
16,18,Old Quebec 207,Family Health Teams,55,Wyndham Street North,207,Guelph,ON,N1H 7T8,519-836-1455,,55 Wyndham Street North,Old Quebec 207,Wyndham Street North,55
17,19,Old Quebec 208,Family Health Teams,55,Wyndham Street North,208,Guelph,ON,N1H 7T8,519-837-2283,,55 Wyndham Street North,Old Quebec 208,Wyndham Street North,55
18,26,Victoria Grange,Family Health Teams,23,Victoria Road North,C,Guelph,ON,N1E 5G6,519-823-2190,,23 Victoria Road North,Victoria Grange,Victoria Road North,23
19,28,Westmount Road 306,Family Health Teams,77,Westmount Road,,Guelph,ON,N1H 5J1,519-827-1399,,77 Westmount Road,Westmount Road 306,Westmount Road,77
