X,Y,OBJECTID,ID,NAME,ADDRESS,PHONE,LINK_LABEL_EN,LINK_EN,LINK_DESCRIPTION_EN,LINK_LABEL_FR,LINK_FR,GLOBALID,ADDRESS_FR,NAME_FR
-75.7323641819013,45.3880857319464,1,1,Royal Ottawa Hospital,1145 Carling Avenue,722-6521,,http://www.theroyal.ca/,,,http://www.leroyal.ca/,{E279DD71-C8D3-4C76-B317-1ACF4DB9281A},"1145, avenue Carling",Hôpital Royal Ottawa
-75.7212123791832,45.3926709811472,2,2,Ottawa Hospital - Civic Campus,1053 Carling Avenue,761-4000,,https://www.ottawahospital.on.ca/,,,https://www.ottawahospital.on.ca/,{C1661EEA-B6C5-4C11-9789-E5353940777A},"1053, avenue Carling",Hôpital d’Ottawa – Campus Civic
-75.6679411994667,45.3967504298005,3,3,Ottawa Hospital - Riverside Campus,1967 Riverside Drive,738-7100,,https://www.ottawahospital.on.ca/,,,https://www.ottawahospital.on.ca/,{7A30AEC4-D042-41D6-9CF1-D06F6202137F},"1967, promenade Riverside","Hôpital d’Ottawa, campus Riverside"
-75.6519225985255,45.4010192242404,4,4,Children's Hospital of Eastern Ontario,401 Smyth Road,737-7600,,http://www.cheo.on.ca/,,,http://www.cheo.on.ca/fr/home,{93E3EACA-FB11-49E9-A914-0D5E8B5CBF7B},"401, chemin Smyth",Centre hospitalier pour enfants de l'est de l'Ont
-75.6476421836888,45.4009873603342,5,5,Ottawa Hospital - General Campus,501 Smyth Road,737-7777,,https://www.ottawahospital.on.ca/,,,https://www.ottawahospital.on.ca/,{CC861544-A63C-4A64-89DA-65BC7274827E},"501, chemin Smyth",Hôpital d’Ottawa – Campus Général
-75.638787118929,45.4458831256519,6,6,Montfort Hospital,713 Montreal Road,746-4621,,http://www.hopitalmontfort.com/en,,,http://www.hopitalmontfort.com/,{D394D8AA-B8B6-4C7E-B4A8-80A37F4B8536},"713, chemin Montréal",Hôpital Montfort
-75.8075497000918,45.3349759913866,7,7,Queensway-Carleton Hospital,3045 Baseline Road,721-2000,,http://www.qch.on.ca/,,,http://www.qch.on.ca/,{AF1DD3FB-C781-4D7F-ADFA-C2E8B7CEF974},"3045, chemin Baseline",Hôpital Queensway-Carleton
-75.6517980623827,45.4042156362429,8,8,Rehabilitation Centre,505 Smyth Road,737-7350,,https://www.ottawahospital.on.ca/,,,https://www.ottawahospital.on.ca/,{97CA4D29-4EBB-43C1-ADC4-C8FC087DCCF0},"505, chemin Smyth",Centre de réadaptation
-75.7089688251543,45.413854212514,9,9,Saint Vincent Hospital,60 Cambridge Street North,233-4041,,https://www.bruyere.org/en/home,,,https://www.bruyere.org/fr/home,{9AEE6E9C-005C-4954-A59B-8DF73E494228},"60, rue Cambridge Nord",Hôpital Saint-Vincent
-75.697481083961,45.4319052365564,10,10,Elizabeth Bruyere Hospital,43 Bruyere Street,562-0050,,http://www.bruyere.org/en/elisabeth-bruyere-hospital,,,http://www.bruyere.org/fr/programmes-services-et-sites/sites/hopital-elisabeth-bruyere,{A306EA35-1B58-424A-A2E6-167EB2801297},"43, rue Bruyère",Hôpital de jour Elizabeth Bruyère
