ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE
102737,Aéroport international Jean-Lesage,,Rue Principale,Aéroport,0,0,POINT (-71.39565085022153 46.78920649481219)
200690,Agrégats Sainte-Foy Inc.,,Avenue de la Montagne Ouest,Carrières  et Sablières,0,0,POINT (-71.45933170855707 46.83540841116258)
102339,Aréna Bardy,2280,Avenue Monseigneur-Gosselin,Arénas,0,0,POINT (-71.22300074600778 46.844113207386556)
102303,Aréna de Loretteville,86,Boulevard des Étudiants,Arénas,0,0,POINT (-71.36250607953166 46.85656364468809)
102341,Aréna Duberger,3050,Boulevard Central,Arénas,0,0,POINT (-71.29349753000575 46.816447407048436)
102343,Aréna Gaétan-Duchesne,2650,Avenue D'Alembert,Arénas,0,0,POINT (-71.3249928592834 46.80944194853394)
201653,Aréna Michel-Labadie,3705,Avenue Chauveau,Arénas,0,0,POINT (-71.34661228992772 46.83254217406934)
102317,Aréna Patrick-Poulin,220,Avenue du Chanoine-Côté,Arénas,0,0,POINT (-71.25551226552928 46.81557545013006)
102335,Aréna Réjean-Lemelin,1300,Rue Pompadour,Arénas,0,0,POINT (-71.26643240047149 46.88626449750954)
102327,Aréna 2 Glaces Val-Bélair,1515,Rue de l'Innovation,Arénas,0,0,POINT (-71.41794441998093 46.85899132689341)
102337,Arpidrome,750,Rue de la Sorbonne,Arénas,0,0,POINT (-71.25704138456352 46.86439225765598)
201259,Atelier Vachon,55,Rue Vachon,Pavillons de services,0,0,POINT (-71.15868736716709 46.8867972806146)
201685,Baie de Beauport,1,Boulevard Henri-Bourassa,Centres de plein air,0,0,POINT (-71.19875541795886 46.83745810229145)
103101,Base de plein air de Sainte-Foy,3137,Rue Laberge,Centres de plein air,0,0,POINT (-71.33448217793068 46.789034055931225)
106095,Base de plein air La Découverte,1560,Avenue de la Montagne Ouest,Centres de plein air,0,0,POINT (-71.46036247842954 46.83250608552192)
200916,Bassin de rétention Adrien-Dufresne,,Rue d'Everell,Bassins de rétention,0,0,POINT (-71.21155935957617 46.87122164867768)
202652,Bassin de rétention Adrien-Sanfaçon,,Rue Adrien-Sanfaçon,Bassins de rétention,0,0,POINT (-71.32614273701566 46.870534816902016)
200979,Bassin de rétention Alfred,,Rue Alfred,Bassins de rétention,0,0,POINT (-71.19839647250177 46.91317799181824)
200591,Bassin de rétention Alice-Trépanier,,Rue Alice-Trépanier,Bassins de rétention,0,0,POINT (-71.30962778572854 46.840369268598096)
202807,Bassin de rétention Ambroise,,Rue des Achillées,Bassins de rétention,0,0,POINT (-71.40068474818797 46.83673068763432)
200525,Bassin de rétention Amélia-Fillion,,Rue Amélia-Fillion,Bassins de rétention,0,0,POINT (-71.30535369171393 46.8978069858435)
200445,Bassin de rétention Apollon,,Rue Apollon,Bassins de rétention,0,0,POINT (-71.4026334724377 46.8353761893393)
202649,Bassin de rétention Arthur-Langevin,,Rue Arthur-Langevin,Bassins de rétention,0,0,POINT (-71.24295441533776 46.88417504160282)
202650,Bassin de rétention Astrid,,Rue Astrid,Bassins de rétention,0,0,POINT (-71.24346664684842 46.88317227579195)
202643,Bassin de rétention Beauchesne,,Rue Beauchesne,Bassins de rétention,0,0,POINT (-71.21561668524751 46.896982290898634)
