,TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location,LONGITUDE,LATITUDE
0,PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN,-4475.38,5664001.85,POINT (-114.0639146 51.1121862),(-114.0639146,POINT
1,Hospital,Peter Lougheed Medical Centre,3500 - 26 AV NE,SUN,1125.1,5660310.25,POINT (-113.9839435 51.0790163),(-113.9839435,POINT
2,PHS Clinic,Village Square Community Health Centre,2623 - 56 ST NE,PIN,3254.66,5659924.33,POINT (-113.9535557 51.0755389),(-113.9535557,POINT
3,Hospital,Foothills Hospital,1403 - 29 ST NW,STA,-9264.7554,5658668.393,POINT (-114.1321766 51.0641829),(-114.1321766,POINT
4,Hospital,South Health Campus,4448 FRONT ST SE,SET,3398.525,5638407.104,POINT (-113.9517038 50.8821019),(-113.9517038,POINT
5,Hospital,Alberta Children's Hospital,2888 Shaganappi Trail NW,UOC,-10368.5865,5659824.811,POINT (-114.1479576 51.0745599),(-114.1479576,POINT
6,PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU,-7465.3,5658792.14,POINT (-114.1065071 51.0653216),(-114.1065071,POINT
7,PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA,-4982.0,5648750.0,POINT (-114.0709401 50.975072),(-114.0709401,POINT
8,PHS Clinic,Shaganappi Complex Health Centre,3415 - 8 AV SW,SPR,-9595.75,5656522.56,POINT (-114.1368419 51.0448871),(-114.1368419,POINT
9,PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN,-5058.34,5656101.91,POINT (-114.0721296 51.0411634),(-114.0721296,POINT
10,PHS Clinic,Northwest Community Health Centre,109 1829 Ranchlands BV NW,RAN,-13802.17,5665258.42,POINT (-114.1971615 51.1233336),(-114.1971615,POINT
11,PHS Clinic,East Calgary Health Centre,4715 8 AV SE,FLN,2298.615,5656532.116,POINT (-113.9672201 51.0450485),(-113.9672201,POINT
12,Hospital,Rockyview General Hospital,7007 - 14 ST SW,EAG,-6762.0,5650616.0,POINT (-114.0963207 50.9918289),(-114.0963207,POINT
13,PHS Clinic,South Calgary Health Centre,31 Sunpark Plaza SE,SDC,-4120.02,5640684.99,POINT (-114.058575 50.9025753),(-114.058575,POINT
