,POINT ID,latitude,longitude,name,location,website,telephone,services,exact,acute_care_beds,long_term_care_beds,holding_observation,lastupdate,deleted,cimscommunityid,imagedata
0,1,48.823607,-56.857706,A.M. Guy Memorial Health Centre,Buchans,https://www.centralhealth.nl.ca/baie-verte-buchans,(709) 672-3304,"Primary acute inpatient, emergency and outpatient services, basic laboratory and x-ray services, and long term residential accommodations for frail elderly persons with high care needs.",True,2.0,18.0,1.0,03/23/20,False,30,System.Byte[]
1,2,49.925669,-56.221908,Baie Verte Peninsula Health Centre,Baie Verte,https://www.centralhealth.nl.ca/baie-verte-buchans,(709) 532-4281,"Primary acute inpatient, emergency and outpatient services, basic laboratory and x-ray services, ultrasound, and long term residential accommodations for frail elderly persons with high care needs.",True,6.0,18.0,0.0,03/23/20,False,8,System.Byte[]
2,3,48.647766,-53.106421,Bonavista Peninsula Health Centre,Bonavista,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=873&p=724,(709) 468-7881,"Primary acute care, emergency and outpatient services, limited diagnostic services (laboratory and x-ray), and residential accommodations for long term care clients.",True,10.0,0.0,0.0,03/23/20,False,23,System.Byte[]
3,4,49.536728,-57.87512,Bonne Bay Health Centre,Norris Point,http://westernhealth.nl.ca/index.php/locations/rural-health-centres/bonne-bay-health-centre,(709) 458-2211,"Primary acute care, long term care, emergency/outpatient clinics, and basic laboratory and x-ray services.",True,8.0,14.0,0.0,03/23/20,False,173,System.Byte[]
4,5,47.613921,-57.622608,Calder Health Centre,Burgeo,http://westernhealth.nl.ca/index.php/locations/rural-health-centres/calder-health-centre,(709) 886-2898,"Primary acute care, long term care, emergency/outpatient clinics, and basic laboratory and x-ray services.",True,3.0,18.0,0.0,03/23/20,False,31,System.Byte[]
5,6,47.467951,-55.827557,Connaigre Peninsula Health Centre,Harbour Breton,https://www.centralhealth.nl.ca/lewisporte-exploits-coast-of-bays,(709) 885-2043,"Primary acute inpatient, emergency and outpatient services, basic laboratory and x-ray services, ultrasound, and long term residential accommodations for frail elderly persons with high care needs.",True,6.0,12.0,0.0,03/23/20,False,105,System.Byte[]
6,7,47.588701,-59.162914,Dr. Charles L. LeGrow Health Centre,Channel-Port aux Basques,http://westernhealth.nl.ca/index.php/locations/rural-health-centres/dr-charles-l-legrow-health-centre,(709) 695-2175,"Primary acute care, limited secondary (surgery) services, long term care, emergency and outpatient clinics, and basic laboratory and x-ray services. Also provides a seniors daycare program.",True,14.0,30.0,0.0,03/23/20,False,44,System.Byte[]
7,8,51.47333,-56.959661,Labrador South Health Centre,Forteau,https://www.lghealth.ca/facilities/health-centres/labrador-south-health-centre/,(709) 931-2450,"Primary acute care, basic laboratory and x-ray services, and on-site physician services.",True,0.0,14.0,3.0,03/23/20,False,81,System.Byte[]
8,9,49.653137,-54.757182,Notre Dame Bay Memorial Health Centre,Twillingate,https://www.centralhealth.nl.ca/isles-of-notre-dame-kittiwake-coast,(709) 884-2131,"Primary acute care, emergency and outpatient services, basic laboratory and x-ray services, and long term residential accommodations for frail elderly persons with high care needs.",True,19.0,31.0,0.0,03/23/20,False,269,System.Byte[]
9,10,50.649414,-57.305704,Rufus Guinchard Health Centre,Port Saunders,http://westernhealth.nl.ca/index.php/locations/rural-health-centres/rufus-guinchard-health-centre,(709) 861-3139,"Primary acute care, long term care, emergency/outpatient clinics, and basic laboratory and x-ray services.",True,7.0,22.0,0.0,03/23/20,False,202,System.Byte[]
10,11,49.134809,-53.590619,Dr. Y.K. Jeon Kittiwake Health Centre,New-Wes-Valley,https://www.centralhealth.nl.ca/isles-of-notre-dame-kittiwake-coast,(709) 536-2405,"Primary acute care, emergency and outpatient services, and basic laboratory and x-ray services.",True,11.0,0.0,0.0,03/23/20,False,169,System.Byte[]
11,12,49.147147,-55.356718,Dr. Hugh Twomey Health Centre,Botwood,https://www.centralhealth.nl.ca/lewisporte-exploits-coast-of-bays,(709) 257-5250,"Long term care facility with outpatient and emergency/stabilization services, basic laboratory and x-ray services, protective care unit for dementia residents, and veterans unit.",True,1.0,76.0,0.0,03/23/20,False,24,System.Byte[]
12,13,47.645626,-52.946963,Dr. Walter Templeman Health Centre,Wabana,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=779&p=724,(709) 488-2821,"Primary services including emergency and outpatient services, diagnostic services (laboratory and x-ray), and long term residential services for clients requiring 24-hour nursing care.",True,3.0,15.0,0.0,03/23/20,False,272,System.Byte[]
13,14,49.665575,-54.224568,Fogo Island Health Centre,Fogo Island Center,https://www.centralhealth.nl.ca/isles-of-notre-dame-kittiwake-coast,(709) 266-2221,"Primary acute care, emergency and outpatient services, basic laboratory and x-ray services, and long term residential accommodations for frail elderly persons with high care needs.",True,4.0,9.0,0.0,03/23/20,False,80,System.Byte[]
14,15,49.507846,-56.047676,Green Bay Health Centre,Springdale,https://www.centralhealth.nl.ca/baie-verte-buchans,(709) 673-3911,"Primary acute care, emergency and outpatient services, basic laboratory and x-ray services.",True,8.0,0.0,0.0,03/23/20,False,236,System.Byte[]
15,16,47.237843,-53.961299,Placentia Health Centre,Placentia,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=804&p=724,(709) 227-2061,"Primary acute care, long term care, emergency and outpatient services, basic laboratory and x-ray, and mobile ultrasound.",True,9.0,74.0,0.0,03/23/20,False,187,System.Byte[]
16,17,46.929965,-55.399219,U.S. Memorial Health Centre,St. Lawrence,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=821&p=724,(709) 873-2330,"Primary acute care, emergency and outpatient services, limited diagnostic services (laboratory and x-ray), and residential accommodations for long term care clients.",True,0.0,39.0,0.0,03/23/20,False,246,
17,18,48.071594,-53.005098,Dr. A.A. Wilkinson Memorial Health Centre,Old Perlican,http://www.easternhealth.ca/AboutEH.aspx?d=3&id=777&p=724,(709) 587-2200,"Primary acute care, emergency and outpatient services, basic laboratory and x-ray, and mobile ultrasound.",True,4.0,0.0,0.0,03/23/20,False,177,System.Byte[]
