X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-79.369350379,43.649821285,1,137284581,9000000000,AIDS Bureau,"CBAESP, HR Program",2-Spirited People of the 1st Nations, , , ,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3,20210527133651,20210527083731
-79.384049985,43.664345487,2,137284582,9000000001,AIDS Bureau,CBAESP,Action Positive VIH-SIDA, , , ,543 Yonge Street,4th Floor,Practice Location,Toronto,M4Y1Y5,20210527134820,20210527083727
-79.377203682,43.6499988850001,3,137284583,9000000002,AIDS Bureau,CBAESP,African and Caribbean Council on HIV/AIDS in Ontario, , , ,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,20210527134341,20210527083722
-79.3645549779999,43.6546728860001,4,137284584,9000000003,AIDS Bureau,CBAESP,Africans in Partnership Against AIDS, , , ,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3,20210527134549,20210527083729
-79.3750863829999,43.667658288,5,137284585,9000000004,AIDS Bureau,CBAESP,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House), , , ,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,20210527133957,20210527083724
-80.4600641069999,43.4378123970001,6,137284586,9000000005,AIDS Bureau,"CBAESP, HR Program","AIDS Committee of Cambridge, Kitchener, Waterloo and Area", , , ,1770 King Street East,Unit 5,Practice Location,Kitchener,N2G2P1,20210527134655,20210527083732
-78.8618442379999,43.8946575510001,7,137284587,9000000006,AIDS Bureau,"CBAESP, HR Program",AIDS Committee of Durham Region, , , ,115 Simcoe Street South, ,Practice Location,Oshawa,L1H4G7,20210527134646,20210527083727
-79.466428465,46.31296953,8,137284588,9000000007,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",AIDS Committee of North Bay and Area, , , ,269 Main Street West,Suite 201,Practice Location,North Bay,P1B2T8,20210527134800,20210527083722
-75.6809932319999,45.4146301540001,9,137284589,9000000008,AIDS Bureau,CBAESP,AIDS Committee of Ottawa, , , ,19 Main Street, ,Practice Location,Ottawa,K1S1A9,20210527134950,20210527083729
-89.216012958,48.4383647670001,10,137284590,9000000009,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV Outpatient Clinic, HIV POC Testing",AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario), , , ,106 Cumberland Street North,Suite 102,Practice Location,Thunder Bay,P7A4M2,20210527133746,20210527083725
-79.384049985,43.664345487,11,137284591,9000000010,AIDS Bureau,CBAESP,AIDS Committee of Toronto, , , ,543 Yonge Street,4th Floor,Practice Location,Toronto,M4Y1Y5,20210527133658,20210527083732
-83.038575409,42.3146432720001,12,137284592,9000000011,AIDS Bureau,"CBAESP, HR Program",Pozitive Pathways Community Services, , , ,511 Pelissier Street, ,Practice Location,Windsor,N9A4L2,20210527134341,20210527083727
-79.440152623,43.894245025,13,137284593,9000000012,AIDS Bureau,"CBAESP, HR Program",CAYR Community Connections, , , ,10909 Yonge Street,Unit 203,Practice Location,Richmond Hill,L4C3E3,20210527134535,20210527083723
-84.3148410539999,46.532381603,14,137284594,9000000013,AIDS Bureau,"AT site, HIV POC Testing",Algoma Public Health, , , ,294 Willow Avenue, ,Practice Location,Sault Ste. Marie,P6B0A9,20210527133721,20210527083732
-79.3763496829999,43.6627363870001,15,137284595,9000000014,AIDS Bureau,CBAESP,Alliance for South Asian AIDS Prevention, , , ,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3,20210527134822,20210527083725
-87.9589397509999,49.6026191120001,16,137284596,9000000015,AIDS Bureau,CBAESP,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway), , , ,204 Main Street,Postal Office Box 120,Practice Location,Beardmore,P0T1G0,20210527134725,20210527083733
-79.398226989,43.6519399840001,17,137284597,9000000016,AIDS Bureau,CBAESP,Asian Community AIDS Services, , , ,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4,20210527134830,20210527083727
-81.242443313,42.9900088800001,18,137284598,9000000017,AIDS Bureau,CBAESP,Association of Iroquois and Allied Indians, , , ,387 Princess Avenue, ,Practice Location,London,N6B2A7,20210527134959,20210527083722
-79.3871246859999,43.6615223860001,19,137284599,9000000018,AIDS Bureau,"AT site, HIV POC Testing",Bay Centre for Birth Control, , , ,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2,20210527134005,20210527083729
-79.457479013,43.713928792,20,137284600,9000000019,AIDS Bureau,"AT site, HIV POC Testing",Birth Control and Sexual Health Centre, , , ,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5,20210527134029,20210527083725
-79.377203682,43.6499988850001,21,137284601,9000000020,AIDS Bureau,"CBAESP, HR Program",Black Coalition for AIDS Prevention, , , ,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,20210527134551,20210527083733
-79.518806737,43.7589947970001,22,137284602,9000000021,AIDS Bureau,HIV POC Testing,Black Creek Community Health Centre, , , ,1 Yorkgate Boulevard,Suite 202,Practice Location,Toronto,M3N2A1,20210527133818,20210527083728
-80.274412323,43.1518442550001,23,137284603,9000000022,AIDS Bureau,HIV POC Testing,Brant County Health Unit, , , ,194 Terrace Hill Street, ,Practice Location,Brantford,N3R1G7,20210527134503,20210527083723
-75.697025438,45.416296054,24,137284604,9000000023,AIDS Bureau,CBAESP,Bruce House, , , ,251 Bank Street,Suite 402,Practice Location,Ottawa,K2P1X3,20210527134019,20210527083730
-79.402315589,43.646373983,25,137284605,9000000024,AIDS Bureau,"CBAESP, HCV Team, HIV POC Testing",Canadian AIDS Treatment Information Exchange, , , ,555 Richmond Street West,"Suite 505, Postal Office Box 1104",Practice Location,Toronto,M5V3B1,20210527134549,20210527083725
-75.733423447,45.3833267470001,26,137284606,9000000025,AIDS Bureau,"AT site, HIV POC Testing",Carlington Community and Health Services, , , ,900 Merivale Road,2nd floor,Practice Location,Ottawa,K1Z5Z8,20210527134938,20210527083730
-79.3789136839999,43.668836888,27,137284607,9000000026,AIDS Bureau,"CBAESP, HIV Outpatient Clinic",Casey House, , , ,119 Isabella Street, ,Practice Location,Toronto,M4Y1P2,20210527134139,20210527083725
-79.3763496829999,43.6627363870001,28,137284608,9000000027,AIDS Bureau,CBAESP,Centre for Spanish-Speaking Peoples, , , ,120 Carlton Street,Suite 201,Practice Location,Toronto,M5A4K3,20210527134016,20210527083733
-79.402315589,43.646373983,29,137284609,9000000028,AIDS Bureau,"CBAESP, AT site, HIV POC Testing",Centre francophone du Grand Toronto, , , ,555 Richmond Street West,"Unit 303, Postal Office Box 600",Practice Location,Toronto,M5V3B1,20210527133853,20210527083728
-75.697760138,45.415471354,30,137284610,9000000029,AIDS Bureau,"AT site, HIV POC Testing",Centretown Community Health Centre, , , ,420 Cooper Street, ,Practice Location,Ottawa,K2P2N6,20210527134044,20210527083723
-82.175191451,42.4064661310001,31,137284611,9000000030,AIDS Bureau,"AT site, HIV POC Testing",Chatham-Kent Public Health Unit, , , ,177 King Street East,Suite 2,Practice Location,Chatham-Kent,N7M3N1,20210527133825,20210527083730
-75.6512841209999,45.4009195530001,32,137284612,9000000031,AIDS Bureau,HIV Outpatient Clinic,"Children's Hospital of Eastern Ontario (CHEO), Division of Infectious Diseases", , , ,401 Smyth Road, ,Practice Location,Ottawa,K1H8L1,20210527134721,20210527083726
