,ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE,LONGITUDE,LATITUDE
0,102737,Aéroport international Jean-Lesage,,Rue Principale,Aéroport,0,0,POINT (-71.39565085022153 46.78920649481219),46.78920649481219,-71.39565085022153
1,200690,Agrégats Sainte-Foy Inc.,,Avenue de la Montagne Ouest,Carrières  et Sablières,0,0,POINT (-71.45933170855707 46.83540841116258),46.83540841116258,-71.45933170855707
2,102339,Aréna Bardy,2280.0,Avenue Monseigneur-Gosselin,Arénas,0,0,POINT (-71.22300074600778 46.844113207386556),46.844113207386556,-71.22300074600778
3,102303,Aréna de Loretteville,86.0,Boulevard des Étudiants,Arénas,0,0,POINT (-71.36250607953166 46.85656364468809),46.85656364468809,-71.36250607953166
4,102341,Aréna Duberger,3050.0,Boulevard Central,Arénas,0,0,POINT (-71.29349753000575 46.816447407048436),46.816447407048436,-71.29349753000575
5,102343,Aréna Gaétan-Duchesne,2650.0,Avenue D'Alembert,Arénas,0,0,POINT (-71.3249928592834 46.80944194853394),46.80944194853394,-71.3249928592834
6,201653,Aréna Michel-Labadie,3705.0,Avenue Chauveau,Arénas,0,0,POINT (-71.34661228992772 46.83254217406934),46.83254217406934,-71.34661228992772
7,102317,Aréna Patrick-Poulin,220.0,Avenue du Chanoine-Côté,Arénas,0,0,POINT (-71.25551226552928 46.81557545013006),46.81557545013006,-71.25551226552928
8,102335,Aréna Réjean-Lemelin,1300.0,Rue Pompadour,Arénas,0,0,POINT (-71.26643240047149 46.88626449750954),46.88626449750954,-71.26643240047149
9,102327,Aréna 2 Glaces Val-Bélair,1515.0,Rue de l'Innovation,Arénas,0,0,POINT (-71.41794441998093 46.85899132689341),46.85899132689341,-71.41794441998093
10,102337,Arpidrome,750.0,Rue de la Sorbonne,Arénas,0,0,POINT (-71.25704138456352 46.86439225765598),46.86439225765598,-71.25704138456352
11,201259,Atelier Vachon,55.0,Rue Vachon,Pavillons de services,0,0,POINT (-71.15868736716709 46.8867972806146),46.8867972806146,-71.15868736716709
12,201685,Baie de Beauport,1.0,Boulevard Henri-Bourassa,Centres de plein air,0,0,POINT (-71.19875541795886 46.83745810229145),46.83745810229145,-71.19875541795886
13,103101,Base de plein air de Sainte-Foy,3137.0,Rue Laberge,Centres de plein air,0,0,POINT (-71.33448217793068 46.789034055931225),46.789034055931225,-71.33448217793068
14,106095,Base de plein air La Découverte,1560.0,Avenue de la Montagne Ouest,Centres de plein air,0,0,POINT (-71.46036247842954 46.83250608552192),46.83250608552192,-71.46036247842954
15,200916,Bassin de rétention Adrien-Dufresne,,Rue d'Everell,Bassins de rétention,0,0,POINT (-71.21155935957617 46.87122164867768),46.87122164867768,-71.21155935957617
16,202652,Bassin de rétention Adrien-Sanfaçon,,Rue Adrien-Sanfaçon,Bassins de rétention,0,0,POINT (-71.32614273701566 46.870534816902016),46.870534816902016,-71.32614273701566
17,200979,Bassin de rétention Alfred,,Rue Alfred,Bassins de rétention,0,0,POINT (-71.19839647250177 46.91317799181824),46.91317799181824,-71.19839647250177
18,200591,Bassin de rétention Alice-Trépanier,,Rue Alice-Trépanier,Bassins de rétention,0,0,POINT (-71.30962778572854 46.840369268598096),46.840369268598096,-71.30962778572854
19,202807,Bassin de rétention Ambroise,,Rue des Achillées,Bassins de rétention,0,0,POINT (-71.40068474818797 46.83673068763432),46.83673068763432,-71.40068474818797
20,200525,Bassin de rétention Amélia-Fillion,,Rue Amélia-Fillion,Bassins de rétention,0,0,POINT (-71.30535369171393 46.8978069858435),46.8978069858435,-71.30535369171393
21,200445,Bassin de rétention Apollon,,Rue Apollon,Bassins de rétention,0,0,POINT (-71.4026334724377 46.8353761893393),46.8353761893393,-71.4026334724377
22,202649,Bassin de rétention Arthur-Langevin,,Rue Arthur-Langevin,Bassins de rétention,0,0,POINT (-71.24295441533776 46.88417504160282),46.88417504160282,-71.24295441533776
23,202650,Bassin de rétention Astrid,,Rue Astrid,Bassins de rétention,0,0,POINT (-71.24346664684842 46.88317227579195),46.88317227579195,-71.24346664684842
24,202643,Bassin de rétention Beauchesne,,Rue Beauchesne,Bassins de rétention,0,0,POINT (-71.21561668524751 46.896982290898634),46.896982290898634,-71.21561668524751
25,200881,Bassin de rétention Beaurevoir,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.31639851765223 46.837513794886156),46.837513794886156,-71.31639851765223
26,202737,Bassin de rétention Bernadet,,Rue Frédéric-Légaré,Bassins de rétention,0,0,POINT (-71.37004431731167 46.857046392301875),46.857046392301875,-71.37004431731167
27,203001,Bassin de rétention Bigorre,,Rue de Bigorre,Bassins de rétention,0,0,POINT (-71.31020906991444 46.89781049093098),46.89781049093098,-71.31020906991444
28,202644,Bassin de rétention Blanche-Lamontagne,,Rue Blanche-Lamontagne,Bassins de rétention,0,0,POINT (-71.21744179860838 46.86712172199915),46.86712172199915,-71.21744179860838
29,200901,Bassin de rétention Boyte,121.0,Rue Albert-Ouellet,Bassins de rétention,0,0,POINT (-71.3034837674141 46.89960847291071),46.89960847291071,-71.3034837674141
30,200819,Bassin de rétention Cambert,,Rue Cambert,Bassins de rétention,0,0,POINT (-71.21579066199259 46.904102698442756),46.904102698442756,-71.21579066199259
31,200980,Bassin de rétention Canac-Marquis,,Rue des Passerins,Bassins de rétention,0,0,POINT (-71.1824651231024 46.86844381440098),46.86844381440098,-71.1824651231024
32,200853,Bassin de rétention Cassiopée-1,,Rue de Triton,Bassins de rétention,0,0,POINT (-71.32963971898627 46.88229810071922),46.88229810071922,-71.32963971898627
33,200974,Bassin de rétention Céleste,,Rue Céleste,Bassins de rétention,0,0,POINT (-71.40927470446267 46.840345787810314),46.840345787810314,-71.40927470446267
34,200828,Bassin de rétention Chauveau,,Avenue Chauveau,Bassins de rétention,0,0,POINT (-71.33715527184262 46.838787012095146),46.838787012095146,-71.33715527184262
35,202658,Bassin de rétention Claire-Bonenfant,,Rue Claire-Bonenfant,Bassins de rétention,0,0,POINT (-71.31400886845502 46.8390872427287),46.8390872427287,-71.31400886845502
36,200747,Bassin de rétention Cliche,,Rue Cliche,Bassins de rétention,0,0,POINT (-71.2938613005235 46.90333757530131),46.90333757530131,-71.2938613005235
37,200589,Bassin de rétention Colette-Samson,,Rue Colette-Samson,Bassins de rétention,0,0,POINT (-71.31504528117215 46.843189245859485),46.843189245859485,-71.31504528117215
38,200849,Bassin de rétention Corbier,,Rue Corbier,Bassins de rétention,0,0,POINT (-71.39878648492147 46.84335179542109),46.84335179542109,-71.39878648492147
39,200969,Bassin de rétention Coursol,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.32104362751502 46.840527232936026),46.840527232936026,-71.32104362751502
40,200831,Bassin de rétention de Barcelone Est,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.32751153755986 46.837597614742464),46.837597614742464,-71.32751153755986
41,200829,Bassin de rétention de Barcelone Ouest,,Rue de Barcelone,Bassins de rétention,0,0,POINT (-71.32947159774886 46.83670249260075),46.83670249260075,-71.32947159774886
42,200827,Bassin de rétention de Broqueville,,Rue De Broqueville,Bassins de rétention,0,0,POINT (-71.2153535847353 46.88528193597825),46.88528193597825,-71.2153535847353
43,200891,Bassin de rétention de Budapest,,Avenue du Patrimoine-Mondial,Bassins de rétention,0,0,POINT (-71.34276068269641 46.84787067026748),46.84787067026748,-71.34276068269641
44,200854,Bassin de rétention de Cassiopée-2,,Rue de Triton,Bassins de rétention,0,0,POINT (-71.32893118965055 46.882652139809),46.882652139809,-71.32893118965055
45,200449,Bassin de rétention de Champigny Est,,Rue de Champigny Est,Bassins de rétention,0,0,POINT (-71.36640418874852 46.784127566205264),46.784127566205264,-71.36640418874852
46,200961,Bassin de rétention de Chavannes,,Rue de Chavannes,Bassins de rétention,0,0,POINT (-71.32015555835508 46.92838867639836),46.92838867639836,-71.32015555835508
47,200971,Bassin de rétention de Chevreuse,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33333199563833 46.84626579852532),46.84626579852532,-71.33333199563833
48,200892,Bassin de rétention de Compostelle,,Avenue du Patrimoine-Mondial,Bassins de rétention,0,0,POINT (-71.34058968144268 46.848309550173326),46.848309550173326,-71.34058968144268
49,200959,Bassin de rétention de Gaudarville,,Avenue de Gaudarville,Bassins de rétention,0,0,POINT (-71.35109993708244 46.78221514424351),46.78221514424351,-71.35109993708244
50,202663,Bassin de rétention de Genève,,Rue de Genève,Bassins de rétention,0,0,POINT (-71.32054209206306 46.9167158616297),46.9167158616297,-71.32054209206306
51,200369,Bassin de rétention de la Belle-Arrivée,,Rue de la Boudinière,Bassins de rétention,0,0,POINT (-71.3208987018223 46.83583348701107),46.83583348701107,-71.3208987018223
52,202664,Bassin de rétention de la Belle-Dame,,Rue Gaudias-Villeneuve,Bassins de rétention,0,0,POINT (-71.35185192841804 46.90606394667068),46.90606394667068,-71.35185192841804
53,203006,Bassin de rétention de la Chaudière,,Avenue Blaise-Pascal,Bassins de rétention,0,0,POINT (-71.352914201206 46.775447788970304),46.775447788970304,-71.352914201206
54,200830,Bassin de rétention de la Comtoise,,Rue de la Comtoise,Bassins de rétention,0,0,POINT (-71.31784554566246 46.839919982277586),46.839919982277586,-71.31784554566246
55,200888,Bassin de rétention de la Gerboise,,Rue de la Gerboise,Bassins de rétention,0,0,POINT (-71.28688653462476 46.846358637416046),46.846358637416046,-71.28688653462476
56,203007,Bassin de rétention de la Griotte,,Rue de la Gandolière,Bassins de rétention,0,0,POINT (-71.29054135377437 46.84521921581271),46.84521921581271,-71.29054135377437
57,200889,Bassin de rétention de la Havane,,Rue de La Havane,Bassins de rétention,0,0,POINT (-71.3319244519176 46.841056684055026),46.841056684055026,-71.3319244519176
58,202671,Bassin de rétention de la Java,,Rue de la Java,Bassins de rétention,0,0,POINT (-71.39652138415077 46.8569373723239),46.8569373723239,-71.39652138415077
59,200513,Bassin de rétention de la Parmentière,,Rue de la Parmentière,Bassins de rétention,0,0,POINT (-71.2116753507615 46.876730658699735),46.876730658699735,-71.2116753507615
60,200781,Bassin de rétention de la Pinède,,Rue de la Pinède,Bassins de rétention,0,0,POINT (-71.27294576284982 46.88363949882269),46.88363949882269,-71.27294576284982
61,200860,Bassin de rétention de la Rive-Boisée-Nord-1,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.3159496757075 46.832861025118866),46.832861025118866,-71.3159496757075
62,200861,Bassin de rétention de la Rive-Boisée-Nord-2,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.31463747560673 46.83443516701983),46.83443516701983,-71.31463747560673
63,200893,Bassin de rétention de la Sultane NORD,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33911637544546 46.852201210818514),46.852201210818514,-71.33911637544546
64,202811,Bassin de rétention de la Sultane SUD,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33839817813781 46.85155739983229),46.85155739983229,-71.33839817813781
65,203002,Bassin de rétention de la Varappe,,Rue de la Varappe,Bassins de rétention,0,0,POINT (-71.31107651625511 46.89781224696665),46.89781224696665,-71.31107651625511
66,200951,Bassin de rétention de l'Acropole,,Rue de Vénus,Bassins de rétention,0,0,POINT (-71.33293765706881 46.87750625272758),46.87750625272758,-71.33293765706881
67,200817,Bassin de rétention de l'Alaska,,Rue de l'Alaska,Bassins de rétention,0,0,POINT (-71.20826841748944 46.90508885172161),46.90508885172161,-71.20826841748944
68,202648,Bassin de rétention de l'Alliance,,Rue de l'Alliance,Bassins de rétention,0,0,POINT (-71.34962456139151 46.87752575244236),46.87752575244236,-71.34962456139151
69,200453,Bassin de rétention de l'Alouette,,Rue de l'Alouette,Bassins de rétention,0,0,POINT (-71.40748002449031 46.836119940110166),46.836119940110166,-71.40748002449031
70,202666,Bassin de rétention de l'Amiral,,Rue des Calèches,Bassins de rétention,0,0,POINT (-71.40168890210518 46.84127585561941),46.84127585561941,-71.40168890210518
71,203051,Bassin de rétention de l'Apogée,7190.0,Rue de l'Apogée,Bassins de rétention,0,0,POINT (-71.32385558823432 46.88207476677835),46.88207476677835,-71.32385558823432
72,202647,Bassin de rétention de l'Aquarelle,,Rue Alfred-Cloutier,Bassins de rétention,0,0,POINT (-71.33988389230083 46.871819852931985),46.871819852931985,-71.33988389230083
73,200444,Bassin de rétention de l'Éclair,,Rue de l'Éclair,Bassins de rétention,0,0,POINT (-71.41867106808841 46.85167677773681),46.85167677773681,-71.41867106808841
74,200428,Bassin de rétention de l'Élégance,,Rue de l'Élégance,Bassins de rétention,0,0,POINT (-71.37307849523879 46.8956092933662),46.8956092933662,-71.37307849523879
75,200897,Bassin de rétention de l'Élysée,,Rue de l'Élysée,Bassins de rétention,0,0,POINT (-71.42667113777105 46.848067969991554),46.848067969991554,-71.42667113777105
76,200839,Bassin de rétention de l'Épilobe,,Rue de la Corolle,Bassins de rétention,0,0,POINT (-71.38502057598814 46.8868042045542),46.8868042045542,-71.38502057598814
77,200896,Bassin de rétention de l'Équinoxe,,Rue de l'Équinoxe,Bassins de rétention,0,0,POINT (-71.42863575865974 46.852175742961265),46.852175742961265,-71.42863575865974
78,200834,Bassin de rétention de l'Escarpement Est,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.3066792970118 46.8344128265531),46.8344128265531,-71.3066792970118
79,200833,Bassin de rétention de l'Escarpement Ouest,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.30809526770524 46.8337242693298),46.8337242693298,-71.30809526770524
80,200895,Bassin de rétention de l'Etna,,Rue de l'Etna,Bassins de rétention,0,0,POINT (-71.42786927883868 46.84948152973189),46.84948152973189,-71.42786927883868
81,200903,Bassin de rétention de l'Étrave,,Rue de l'Étrave,Bassins de rétention,0,0,POINT (-71.42172545655414 46.849998525764796),46.849998525764796,-71.42172545655414
82,200965,Bassin de rétention de l'Iliade,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.41305669767753 46.861931432529325),46.861931432529325,-71.41305669767753
83,202673,Bassin de rétention de l'Interlude,,Rue de l'Interlude,Bassins de rétention,0,0,POINT (-71.40653471772681 46.859983457042745),46.859983457042745,-71.40653471772681
84,202672,Bassin de rétention de l'Interlude,,Rue de l'Interlude,Bassins de rétention,0,0,POINT (-71.40598620641114 46.85981628658232),46.85981628658232,-71.40598620641114
85,200928,Bassin de rétention de l'Opale,,Rue de l'Opale,Bassins de rétention,0,0,POINT (-71.26227164638915 46.88161831101871),46.88161831101871,-71.26227164638915
86,200935,Bassin de rétention de l'Orignal,,Avenue de l'Orignal,Bassins de rétention,0,0,POINT (-71.29655549279921 46.8815872872794),46.8815872872794,-71.29655549279921
87,202818,Bassin de rétention de Montolieu,,Rue de Montolieu,Bassins de rétention,0,0,POINT (-71.44707492548514 46.873352116734054),46.873352116734054,-71.44707492548514
88,203152,Bassin de rétention de Mouzène,,Avenue Joseph-Giffard,Bassins de rétention,0,0,POINT (-71.2127650761058 46.87469548515886),46.87469548515886,-71.2127650761058
89,202819,Bassin de rétention de Porto Nord,,Avenue de Porto,Bassins de rétention,0,0,POINT (-71.33224536332409 46.8428636780894),46.8428636780894,-71.33224536332409
90,200885,Bassin de rétention de Porto SUD,,Avenue de Porto,Bassins de rétention,0,0,POINT (-71.33161920573798 46.84222432848303),46.84222432848303,-71.33161920573798
91,200886,Bassin de rétention de Tolède,,Rue de Tolède,Bassins de rétention,0,0,POINT (-71.33777848365749 46.84430110616684),46.84430110616684,-71.33777848365749
