X,Y,ObjectId,Regional_Health_Authority,Community,Facility,Facility_Key,Facility_Label,Address,Postal_Code,Phone_Number,Proprietary_Status,Language,Beds,Status_of_Licence,Owner_Operator,Website,Latitude,Longitude
-10811515.9251,6426971.072,1,Winnipeg,Saint Boniface,Actionmarguerite (Saint-Boniface) Inc.,Boniface,Actionmarguerite (Saint-Boniface) Inc.,185 Rue Despins Street,R2H 2B3,(204) 233-3692,Non-Proprietary,Bilingual,299,Unencumbered ,Actionmarguerite (Saint-Boniface) Inc.,http://www.actionmarguerite.ca/,49.8884,-97.1215
-10815167.2044,6438745.8127,2,Winnipeg,Seven Oaks,Actionmarguerite (Saint-Joseph) Inc,Joseph,Actionmarguerite (Saint-Joseph) Inc,1149 Leila Avenue,R2P 1S6,(204) 697-8031,Non-Proprietary,English ,100,Unencumbered ,Actionmarguerite (Saint-Joseph) Inc,,49.9565,-97.1543
-10812506.6685,6414436.5461,3,Winnipeg,Saint Vital,Actionmarguerite (Saint-Vital) Inc.,Vital,Actionmarguerite (Saint-Vital) Inc.,450 River Road,R2M 5M4,(204) 254-3332,Non-Proprietary,French,154,Unencumbered ,Actionmarguerite (Saint-Vital) Inc.,http://www.actionmarguerite.ca/home/,49.8158,-97.1304
-10948594.746,6653284.4033,4,Interlake-Eastern,Ashern,Ashern Personal Care Home,Ashern,Ashern PCH,1 Steenson Drive,R0C 0E0,(204) 768-5216,Non-Proprietary,English,20,Unencumbered,Interlake Eastern Regional Health Authority,,51.1805,-98.3529
-11047401.9261,6340493.4296,5,Prairie Mountain Health,Baldur,Baldur Manor,Baldur,Baldur Manor,531 Elizabeth Avenue East,R0K 0B0,(204) 535-2373,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,49.3853,-99.2405
-11094345.3553,6304743.7912,6,Prairie Mountain Health,Killarney,Bayside Personal Care Home,Bayside,Bayside PCH,86 Ellis Drive,R0K 1G0,(204) 523-4661,Non-Proprietary,English,60,Unencumbered,Prairie Mountain Health,,49.1758,-99.6622
-10813374.9606,6427472.1538,7,Winnipeg,Downtown,Beacon Hill Lodge,Beacon,Beacon Hill Lodge,190 Fort Street ,R3C 1C9,(204) 942-7541,Proprietary,English ,175,Unencumbered ,AXR Joint Venture Limited Partnership,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/beacon-hill-lodge,49.8913,-97.1382
-11303937.6926,6784518.2773,8,Prairie Mountain Health,Benito,Benito Health Centre,Benito,Benito HC,200 1st Street South East,R0L 0C0,(204) 539-2815,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,51.9136,-101.545
-10796354.2104,6556209.4376,9,Interlake-Eastern,Gimli,Betel Home (Gimli),Gimli,Betel Home (Gimli),96 1st Avenue,R0C 1B0,(204) 642-5556,Non-Proprietary,English,80,Unencumbered,Betel Home Foundation,https://www.betelhomefoundation.ca/,50.6306,-96.9853
-10785634.1435,6468837.4292,10,Interlake-Eastern,Selkirk  ,Betel Home (Selkirk),Selkirk,Betel Home (Selkirk),212 Manchester Avenue,R1A 0B6,(204) 482-5469,Non-Proprietary,English,91,Unencumbered,Betel Home Foundation,https://www.betelhomefoundation.ca/,50.1301,-96.889
-10805382.2211,6431395.4555,11,Winnipeg,River East,"Bethania Mennonite Personal Care Home, Inc.",Bethania,"Bethania Mennonite PCH, Inc.",1045 Concordia Avenue,R2K 3S7,(204) 667-0795,Non-Proprietary,English ,148,Unencumbered ,"Bethania Mennonite Personal Care Home, Inc.",https://bethania.ca/services/bethania-mennonite-pch/,49.914,-97.0664
-10762424.0296,6365360.2634,12,Southern Health-Santé Sud,Steinbach,Bethesda Place,Bethesda,Bethesda Place,"399 Hospital Street
",R5G 0E6,(204) 326-6411,Non-Proprietary,English,60,Unencumbered,Southern Health-Santé Sud,,49.5305,-96.6805
