Hospital Name / Nom de l'hôpital,Hospital Operated by / Hôpital opéré par,Mailing Address / Adresse Postal,Telephone / Téléphone,Fax / Télécopieur,Number of Inpatient Beds / Nombre de lits ,Website / Site web,Latitude,Longitude,New Georeferenced Column
Charlotte County Hospital / Hôpital du Comté de Charlotte,Horizon Health Network / Réseau de Santé Horizon,"4 Garden Street, St. Stephen, N.B. E3L 2L9",506-465-4444,506-465-4418,44,http://en.horizonnb.ca/home/facilities-and-services/facilities/charlotte-county-hospital.aspx,45.194884,-67.267309,POINT (-67.267309 45.194884)
Dr. Everett Chalmers Regional Hospital / Hôpital régional Dr Everett Chalmers,Horizon Health Network / Réseau de Santé Horizon,"700 Priestman Street, PO Box 9000, Fredericton, N.B. E3B 5N5",506-452-5400,506-452-5233,314,http://en.horizonnb.ca/home/facilities-and-services/facilities/dr-everett-chalmers-regional-hospital.aspx,45.93992,-66.654111,POINT (-66.654111 45.93992)
Grand Manan Hospital / Hôpital de Grand Manan,Horizon Health Network / Réseau de Santé Horizon,"196 Route 776, Grand Manan, N.B. E5G 1A3",506-662-4060,NA,10,http://en.horizonnb.ca/home/facilities-and-services/facilities/grand-manan-hospital.aspx,44.712085,-66.747436,POINT (-66.747436 44.712085)
Hotel-Dieu of St. Joseph / Hôpital Hôtel-Dieu de Saint-Joseph,Horizon Health Network / Réseau de Santé Horizon,"10 Woodland Hill, Perth-Andover, N.B. E7H 5H5",506-273-7100,506-273-7200,22,http://en.horizonnb.ca/home/facilities-and-services/facilities/hotel-dieu-of-st-joseph.aspx,46.739632,-67.717228,POINT (-67.717228 46.739632)
Miramichi Regional Hospital / Hôpital Régional de Miramichi,Horizon Health Network / Réseau de Santé Horizon,"500 Water St., Miramichi, N.B. E1V 3G5",506-623-3000,506-623-3465,150,http://en.horizonnb.ca/home/facilities-and-services/facilities/miramichi-regional-hospital.aspx,47.030405,-65.469717,POINT (-65.469717 47.030405)
Oromocto Public Hospital / Hôpital Public d’Oromocto,Horizon Health Network / Réseau de Santé Horizon,"103 Winnebago Street, Oromocto, N.B. E2V 1C6",506-357-4700,NA,45,http://en.horizonnb.ca/home/facilities-and-services/facilities/oromocto-public-hospital.aspx,45.848627,-66.473685,POINT (-66.473685 45.848627)
Sackville Memorial Hospital / Hôpital Mémorial de Sackville,Horizon Health Network / Réseau de Santé Horizon,"8 Main Street, Sackville, N.B. E4L 4A3",506-364-4100,506-536-1983,21,http://en.horizonnb.ca/home/facilities-and-services/facilities/sackville-memorial-hospital.aspx,45.892303,-64.373339,POINT (-64.373339 45.892303)
Saint John Regional Hospital / Hôpital Régional de Saint John,Horizon Health Network / Réseau de Santé Horizon,"400 University Avenue, Saint John, N.B. E2L 4L2",506-648-6000,NA,445,http://en.horizonnb.ca/home/facilities-and-services/facilities/saint-john-regional-hospital.aspx,45.301739,-66.085223,POINT (-66.085223 45.301739)
St. Joseph's Hospital / Hôpital St. Joseph,Horizon Health Network / Réseau de Santé Horizon,"130 Bayard Drive, Saint John, N.B. E2L 3L6",506-632-5555,506-632-5551,103,http://en.horizonnb.ca/home/facilities-and-services/facilities/st-josephs-hospital.aspx,45.279031,-66.057905,POINT (-66.057905 45.279031)
Sussex Health Centre / Centre de Santé de Sussex,Horizon Health Network / Réseau de Santé Horizon,"75 Leonard Drive, Sussex, N.B. E4E 2P7",506-432-3100,506-432-3106,25,http://en.horizonnb.ca/home/facilities-and-services/facilities/sussex-health-centre.aspx,45.726658,-65.490043,POINT (-65.490043 45.726658)
The Moncton Hospital / L’Hôpital de Moncton,Horizon Health Network / Réseau de Santé Horizon,"135 MacBeath Avenue, Moncton, N.B. E1C 6Z8",506-857-5111,NA,381,http://en.horizonnb.ca/home/facilities-and-services/facilities/the-moncton-hospital.aspx,46.105744,-64.805127,POINT (-64.805127 46.105744)
Upper River Valley Hospital / Hôpital du Haut de la Vallée,Horizon Health Network / Réseau de Santé Horizon,"11300 Route 130, Waterville, Carleton County, N.B. E7P 0A4",506-375-5900,NA,52,http://en.horizonnb.ca/home/facilities-and-services/facilities/upper-river-valley-hospital.aspx,46.377992,-67.525036,POINT (-67.525036 46.377992)
