,filename,facility_type,leave_blank,prov,province,source_url,provider,lisence_url,region_type,facility_name,operator_name,health_authority,alternative_name,number_beds,active,latitude,longitude,address_str,street_no,street_name,street_addr,city,postal_code,phone,email,website,fax
0,AB_Calgary_covid_vaccination_centres,force:covid_vaccination_centres,,AB,force:AB,https://data.calgary.ca/Health-and-Safety/COVID-19-Vaccination-Locations/9kkc-pfd6,Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Municipal,Location,,,,,,LATITUDE,LONGITUDE,,,,Address1,City,,Phone,,BookingLink,
1,AB_Calgary_healthcare_facilities,TYPE,,AB,force:AB,https://data.calgary.ca/Services-and-Amenities/Calgary-Health-Clinics-and-Hospitals/pp67-7mf4,Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Municipal,NAME,,,,,,LATITUDE,LONGITUDE,,,,ADDRESS,force:Calgary,,,,,
2,BC_assisted_living_residences_,TYPE,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/assisted-living-residences,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,OPERATOR_NAME,,HEALTH_AUTHORITY,BUSINESS_NAME,,,LATITUDE,LONGITUDE,,,,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,,,
3,BC_emergency_rooms,TAXONOMY_NAME,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/emergency-rooms-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,SV_NAME,,RG_NAME,,,,LATITUDE,LONGITUDE,,,,,,,PHONE_NUMBER,,WEBSITE,
4,BC_hospital,TAXONOMY_NAME,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/hospitals-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,SV_NAME,,RG_NAME,,,,LATITUDE,LONGITUDE,,,,,,,PHONE_NUMBER,,WEBSITE,
5,BC_pharmacies,TAXONOMY_NAME,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/after-hours-pharmacies-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,SV_NAME,,RG_NAME,,,,LATITUDE,LONGITUDE,,,,,,,PHONE_NUMBER,EMAIL_ADDRESS,WEBSITE,
6,BC_residential_care_,TYPE,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/residential-care-facilities,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,OPERATOR_NAME,,HEALTH_AUTHORITY,BUSINESS_NAME,LONG_TERM_CARE_MAX_CAP,,LATITUDE,LONGITUDE,,,,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,,,
7,BC_urgent_care,TAXONOMY_NAME,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/urgent-and-primary-care-centres,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,SV_NAME,,RG_NAME,,,,LATITUDE,LONGITUDE,,,,,,,PHONE_NUMBER,,WEBSITE,
8,BC_walk-in_clinics,TAXONOMY_NAME,,BC,force:BC,https://catalogue.data.gov.bc.ca/dataset/walk-in-clinics-in-bc,Province of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Provincial,SV_NAME,,RG_NAME,,,,LATITUDE,LONGITUDE,,,,,,,PHONE_NUMBER,EMAIL_ADDRESS,WEBSITE,
9,MB_covid-19_and_flu_vaccine_sites,Provider_Type,,MB,force:MB,https://geoportal.gov.mb.ca/datasets/manitoba-covid-19-and-flu-vaccination-sites-1/explore?location=50.975321%2C-96.701879%2C6.36,Province of Manitoba,https://manitoba.ca/legal/copyright.html,Provincial,Provider_Name,,RHA_Name,,,,LATITUDE,LONGITUDE,,,,Address,City,,Phone,,,
10,MB_personal_care_homes,force:personal_care_homes,,MB,force:MB,https://geoportal.gov.mb.ca/datasets/manitoba-licensed-personal-care-homes/explore,Province of Manitoba,https://manitoba.ca/legal/copyright.html,Provincial,Facility,Owner_Operator,Regional_Health_Authority,Facility_Label,Beds,,Latitude,Longitude,,,,Address,,Postal_Code,Phone_Number,,Website,
11,NB_hospital_horizon,force:hospital,,NB,force:NB,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Horizon-Hea/9bqr-479n,Province of New Brunswick,,Provincial,Hospital Name / Nom de l'hôpital,Hospital Operated by / Hôpital opéré par,,,Number of Inpatient Beds / Nombre de lits ,,Latitude,Longitude,Mailing Address / Adresse Postal,,,,,,Telephone / Téléphone,,Website / Site web,
12,NB_hospital_vitalite,force:hospital,,NB,force:NB,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Vitalit-Hea/vc6s-v9py,Province of New Brunswick,,Provincial,Hospital Name / Nom de l'hôpital,Hospital Operated by / Hôpital opéré par,,,,,Latitude,Longitude,Mailing Address / Adresse postal,,,,,,Telephone / Téléphone,,Website / Site web,
13,NB_Moncton_medical_clinics,Services,,NB,force:NB,https://open.moncton.ca/datasets/medical-clinics/explore,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,Municipal,Name,,,,,,LATITUDE,LONGITUDE,Address,,,,force:Moncton,,Phone,,,
