,_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,Date_Added,wardName,geometry,LONGITUDE,LATITUDE
0,218294,153,Metro Toronto Convention Centre,City-operated Immunization Clinic,"255 Front Street West, North Building, Hall A (west ramp on Front Street at John Street)",,,,,-79.386829859627,,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m. to 8 p.m. and Saturday from 11 a.m. to 5 p.m.  
Additional hours: Sunday Nov 28, 11 a.m. to 5 p.m.; Saturday Dec 4, 11 a.m. to 7 p.m.; Sunday Dec 5, 11 a.m. to 7 p.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,13,,Spadina-Fort York,POINT (-79.386829859627 43.643971128415),-79.386829859627,43.643971128415
1,218295,157,Scarborough Town Centre,City-operated Immunization Clinic,300 Borough Drive,,,,,-79.258930615442,,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m. to 8 p.m. and Saturday from 11 a.m. to 5 p.m.  
Additional hours: Sunday Nov 28, 11 a.m. to 5 p.m.; Saturday Dec 4, 11 a.m. to 7 p.m.; Sunday Dec 5, 11 a.m. to 7 p.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,14,,Scarborough Centre,POINT (-79.258930615442 43.776990231769),-79.258930615442,43.776990231769
2,218296,158,Cloverdale Mall,City-operated Immunization Clinic,250 The East Mall,,,,,-79.556501959627,,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m. to 8 p.m. and Saturday from 11 a.m. to 5 p.m.  
Additional hours: Sunday Nov 28, 11 a.m. to 5 p.m.; Saturday Dec 4, 11 a.m. to 7 p.m.; Sunday Dec 5, 11 a.m. to 7 p.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,15,,Etobicoke-Lakeshore,POINT (-79.556501959627 43.632603612174),-79.556501959627,43.632603612174
3,218297,650,Woodbine Mall,City-operated Immunization Clinic,500 Rexdale Boulevard,,,,,-79.599279647844,,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m. to 8 p.m. and Saturday from 11 a.m. to 5 p.m.  
Additional hours: Sunday Nov 28, 11 a.m. to 5 p.m.; Saturday Dec 4, 11 a.m. to 7 p.m.; Sunday Dec 5, 11 a.m. to 7 p.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,16,2021-09-21,Etobicoke North,POINT (-79.599279647844 43.719178000313),-79.599279647844,43.719178000313
4,218298,150,Mitchell Field Arena,City-operated Immunization Clinic,89 Church Avenue,,,,,-79.408229001951,,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m. to 8 p.m. and Saturday from 11 a.m. to 5 p.m.  
Additional hours: Sunday Nov 28, 11 a.m. to 5 p.m.; Saturday Dec 4, 11 a.m. to 7 p.m.; Sunday Dec 5, 11 a.m. to 7 p.m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,17,,Willowdale,POINT (-79.40822900195101 43.774637558851),-79.40822900195101,43.774637558851
5,218299,218,Wellesley Community Centre,Hospital Immunization Clinic,495 Sherbourne Street (east entrance by the parkette),,,,,-79.374465659626,,,"The COVID Vaccine Clinic at the Wellesley Community Centre accepts walk-ins for first and second doses, both Pfizer and Moderna. Appointments are also available at www.stjamestown.org. Hours are Thursdays (12:30 p.m. to 7 p.m.) and Fridays/Saturdays (9:30 a.m. to 4 p.m.).",,,,,https://sherbourne.on.ca/covid-19-vaccine-info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,18,,Toronto Centre,POINT (-79.374465659626 43.667604299075),-79.374465659626,43.667604299075
6,218300,190,Seneca College Vaccination Clinic,Hospital Immunization Clinic,1750 Finch Avenue East,,,,,-79.349676663484,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.nygh.on.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,19,,Don Valley North,POINT (-79.349676663484 43.795323958241),-79.349676663484,43.795323958241
7,218301,191,SHN Centenary Clinic,Hospital Immunization Clinic,2867 Ellesmere Road,,,,,-79.206660232638,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,20,,Scarborough-Guildwood,POINT (-79.206660232638 43.78239801145),-79.206660232638,43.78239801145
8,218302,198,Warden Hilltop Community Centre,Hospital Immunization Clinic,25 Mendelssohn Street,,,,,-79.280742319149,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://tehn.ca/covid19/covid-19-vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,21,,Scarborough Southwest,POINT (-79.28074231914901 43.71479635415),-79.28074231914901,43.71479635415
9,218303,209,West Park Healthcare Centre,Hospital Immunization Clinic,82 Buttonwood Avenue,,,,,-79.508040174969,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.westpark.org/en/PatientsAndFamilies/COVID-19/VaccinationClinics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,22,,York South-Weston,POINT (-79.508040174969 43.689919358638),-79.508040174969,43.689919358638
