,ObjectId,Provider_Type,Provider_Name,Status,Date,Hours,Date_Updated,Vaccine_Comments,Note,RHA_Name,Address,City,Province,Phone,geometry,LONGITUDE,LATITUDE
0,1,Medical Clinic,Wellness Institute At Sogh - Rehab Dpt,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1075 Leila Ave,Winnipeg,Manitoba,204-632-3906,POINT (-97.150642 49.955676),-97.150642,49.955676
1,2,Medical Clinic,Dr W Salib Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,900 Main St,Swan River,Manitoba,204-734-3812,POINT (-101.264339 52.106427),-101.264339,52.106427
2,3,Medical Clinic,Guest Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,715 St Mary's Rd,Winnipeg,Manitoba,204-414-7695,POINT (-97.11192151699998 49.85620421600004),-97.11192151699998,49.85620421600004
3,4,Medical Clinic,Memorial Medical Clinic,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,6,",,Winnipeg,595 Broadway Ave,Winnipeg,Manitoba,204-775-7756,POINT (-97.15408739999998 49.885809),-97.15408739999998,49.885809
4,5,Medical Clinic,Family Care Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,191 Marion St,Winnipeg,Manitoba,204-231-1724,POINT (-97.11990119999996 49.88165520000007),-97.11990119999996,49.88165520000007
5,6,Medical Clinic,Mount Carmel Clinic Pharmacy,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,886 Main St,Winnipeg,Manitoba,204-587-0834,POINT (-97.134445 49.910116),-97.134445,49.910116
6,7,Medical Clinic,Haven Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1763 Portage Ave,Winnipeg,Manitoba,204-832-4644,POINT (-97.21049172199997 49.87911453100003),-97.21049172199997,49.87911453100003
7,8,Medical Clinic,Kennedy Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,203 Kennedy St,Winnipeg,Manitoba,204-942-1999.,POINT (-97.14715059999997 49.88982250000004),-97.14715059999997,49.88982250000004
8,9,Medical Clinic,QuickCare Clinic - Dakota,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,3 620 Dakota St,Winnipeg,Manitoba,204-940-4332,POINT (-97.111974 49.835272),-97.111974,49.835272
9,10,Medical Clinic,Sunshine Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1000 Taylor Ave,Winnipeg,Manitoba,204-285-3994,POINT (-97.158518 49.85331050000008),-97.158518,49.85331050000008
10,11,Medical Clinic,Mobile Medical Clinic (Southern),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Southern Health-Santé Sud,200 381 Stonebridge Crossing,Steinbach,Manitoba,855-644-3515,POINT (-96.69342 49.530557),-96.69342,49.530557
11,12,Medical Clinic,Tache Obstetrics & Gynecology,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,305 400 Tache Ave,Winnipeg,Manitoba,204-237-4694,POINT (-97.12335 49.884714),-97.12335,49.884714
12,13,Medical Clinic,Misericordia Health Centre - CIVP,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,99 Cornish Ave,Winnipeg,Manitoba,204-789-7120,POINT (-97.16015525299997 49.87906173500005),-97.16015525299997,49.87906173500005
13,14,Medical Clinic,Keewatin Medical Center,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,6 998 Keewatin St,Winnipeg,Manitoba,204-615-0012,POINT (-97.19667800000001 49.94291450000003),-97.19667800000001,49.94291450000003
14,15,Medical Clinic,Pointe Du Bois Spillway Health Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Interlake-Eastern,End of Highway 313,Point Du Bois,Manitoba,204-884-3200,POINT (-95.550842 50.300744),-95.550842,50.300744
